2020-04-06 09:49:04,270 INFO    OPPORTUNITY, 	Kraken      , 	Bittrex     , 	GNO/ETH, 	0.0725, 	0.07192957, 	0.793040%, 	0.510000%
2020-04-06 09:49:48,286 INFO    OPPORTUNITY, 	Kraken      , 	Bittrex     , 	GNO/ETH, 	0.0725, 	0.07192957, 	0.793040%, 	0.510000%
2020-04-06 09:50:03,977 INFO    OPPORTUNITY, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	139.66, 	138.63, 	0.742985%, 	0.600000%
2020-04-06 09:50:04,746 INFO    OPPORTUNITY, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0079406, 	0.007742, 	2.565229%, 	0.350000%
2020-04-06 09:51:22,788 INFO    OPPORTUNITY, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	3.522e-06, 	1.85e-06, 	90.378378%, 	0.400000%
2020-04-06 09:51:33,488 INFO    OPPORTUNITY, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0097, 	0.00476, 	103.781513%, 	0.250000%
2020-04-06 09:51:39,649 INFO    OPPORTUNITY, 	Kraken      , 	Bitfinex    , 	GNO/USD, 	10.86, 	10.777, 	0.770159%, 	0.460000%
2020-04-06 09:52:44,997 INFO    OPPORTUNITY, 	Binance     , 	OKEX        , 	BNT/USDT, 	0.1927, 	0.192, 	0.364583%, 	0.250000%
2020-04-06 09:53:08,498 INFO    OPPORTUNITY, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6580.0, 	6539.89, 	0.613313%, 	0.600000%
2020-04-06 09:53:30,845 INFO    OPPORTUNITY, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0079322, 	0.007742, 	2.456730%, 	0.350000%
2020-04-06 09:54:45,567 INFO    OPPORTUNITY, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00243088, 	0.00238812, 	1.790530%, 	0.340000%
2020-04-06 09:55:45,869 INFO    OPPORTUNITY, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00792001, 	0.007742, 	2.299277%, 	0.240000%
2020-04-06 09:55:48,532 INFO    OPPORTUNITY, 	Binance     , 	Bitfinex    , 	ETH/EUR, 	139.66, 	139.22, 	0.316047%, 	0.300000%
2020-04-06 09:56:53,234 INFO    OPPORTUNITY, 	Poloniex    , 	Binance     , 	LOOM/BTC, 	2.12e-06, 	2.11e-06, 	0.473934%, 	0.190000%
2020-04-06 09:57:41,292 INFO    OPPORTUNITY, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6580.0, 	6553.2, 	0.408961%, 	0.350000%
2020-04-06 10:08:31,622 INFO    OPPORTUNITY, 	Poloniex    , 	Binance     , 	LOOM/BTC, 	2.12e-06, 	2.11e-06, 	0.473934%, 	0.190000%
2020-04-06 10:08:47,425 INFO    OPPORTUNITY, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.55e-06, 	1.33e-06, 	16.541353%, 	0.400000%
2020-04-06 10:09:10,678 INFO    OPPORTUNITY, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00794507, 	0.007742, 	2.622966%, 	0.240000%
2020-04-06 10:09:16,620 INFO    OPPORTUNITY, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0079495, 	0.007742, 	2.680186%, 	0.350000%
2020-04-06 10:09:31,343 INFO    OPPORTUNITY, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.0030194, 	0.9997, 	0.332040%, 	0.240000%
2020-04-06 10:10:03,526 INFO    OPPORTUNITY, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.55e-06, 	1.33e-06, 	16.541353%, 	0.240000%
2020-04-06 10:10:47,460 INFO    OPPORTUNITY, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.0030194, 	0.9997, 	0.332040%, 	0.240000%
2020-04-06 10:11:43,575 INFO    OPPORTUNITY, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.0030194, 	0.9997, 	0.332040%, 	0.240000%
2020-04-06 10:12:28,373 INFO    OPPORTUNITY, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	3.528e-06, 	1.85e-06, 	90.702703%, 	0.400000%
2020-04-06 10:12:40,019 INFO    OPPORTUNITY, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	56.06397929, 	54.32, 	3.210566%, 	0.240000%
2020-04-06 10:13:04,936 INFO    OPPORTUNITY, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.0030194, 	0.9997, 	0.332040%, 	0.240000%
2020-04-06 10:13:47,380 INFO    OPPORTUNITY, 	Binance     , 	OKEX        , 	BNT/USDT, 	0.1928, 	0.192, 	0.416667%, 	0.250000%
2020-04-06 10:13:57,854 INFO    OPPORTUNITY, 	OKEX        , 	Binance     , 	YOYOW/BTC, 	1.2e-06, 	1.15e-06, 	4.347826%, 	0.250000%
2020-04-06 10:13:59,025 INFO    OPPORTUNITY, 	Bittrex     , 	OKEX        , 	CRO/BTC, 	7.25e-06, 	7.22e-06, 	0.415512%, 	0.400000%
2020-04-06 10:14:25,866 INFO    OPPORTUNITY, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.0030194, 	0.9983, 	0.472744%, 	0.190000%
2020-04-06 10:15:39,612 INFO    OPPORTUNITY, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00794571, 	0.007742, 	2.631232%, 	0.240000%
2020-04-06 10:15:48,808 INFO    OPPORTUNITY, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002132, 	0.002123, 	0.423928%, 	0.350000%
2020-04-06 10:15:51,632 INFO    OPPORTUNITY, 	OKEX        , 	Bittrex     , 	BLOC/BTC, 	1.4e-07, 	3e-08, 	366.666667%, 	0.400000%
2020-04-06 10:16:13,558 INFO    OPPORTUNITY, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.37, 	0.358, 	3.351955%, 	0.400000%
2020-04-06 10:18:35,705 INFO    OPPORTUNITY, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.0030194, 	0.9997, 	0.332040%, 	0.240000%
2020-04-06 10:18:38,703 INFO    OPPORTUNITY, 	Bittrex     , 	Binance     , 	GTO/BTC, 	1.28e-06, 	6.7e-07, 	91.044776%, 	0.350000%
2020-04-06 10:19:59,699 INFO    OPPORTUNITY, 	Binance     , 	OKEX        , 	BNT/BTC, 	2.737e-05, 	2.73e-05, 	0.256410%, 	0.250000%
2020-04-06 10:21:24,066 INFO    OPPORTUNITY, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.0030194, 	0.9997, 	0.332040%, 	0.240000%
2020-04-06 10:21:57,207 INFO    OPPORTUNITY, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	3.523e-06, 	1.84e-06, 	91.467391%, 	0.400000%
2020-04-06 10:22:50,540 INFO    OPPORTUNITY, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	1.66e-07, 	8.433735%, 	0.400000%
2020-04-06 10:23:52,881 INFO    OPPORTUNITY, 	Poloniex    , 	Kraken      , 	REP/ETH, 	0.06571716, 	0.06541, 	0.469592%, 	0.350000%
2020-04-06 10:24:48,333 INFO    OPPORTUNITY, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00794801, 	0.007697, 	3.261141%, 	0.240000%
2020-04-06 10:24:55,681 INFO    OPPORTUNITY, 	Poloniex    , 	Kraken      , 	REP/ETH, 	0.06571716, 	0.06534, 	0.577227%, 	0.350000%
2020-04-06 10:25:00,703 INFO    OPPORTUNITY, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6611.5, 	6585.8, 	0.390234%, 	0.300000%
2020-04-06 10:25:04,333 INFO    OPPORTUNITY, 	Poloniex    , 	Bittrex     , 	LOOM/BTC, 	2.12e-06, 	2.11e-06, 	0.473934%, 	0.340000%
2020-04-06 10:26:00,670 INFO    OPPORTUNITY, 	Binance     , 	OKEX        , 	XMR/USDT, 	56.52, 	54.08, 	4.511834%, 	0.250000%
2020-04-06 10:27:10,368 INFO    OPPORTUNITY, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0079464, 	0.007607, 	4.461680%, 	0.350000%
2020-04-06 10:27:26,029 INFO    OPPORTUNITY, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.36845, 	0.356, 	3.497191%, 	0.250000%
2020-04-06 10:28:36,503 INFO    OPPORTUNITY, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	1.68e-07, 	7.142857%, 	0.400000%
2020-04-06 10:29:08,087 INFO    OPPORTUNITY, 	Poloniex    , 	Kraken      , 	REP/ETH, 	0.065001, 	0.06476, 	0.372143%, 	0.350000%
2020-04-06 10:52:03,424 INFO    OPPORTUNITY, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6655.01, 	6595.0, 	0.909932%, 	0.600000%
2020-04-06 10:52:19,678 INFO    OPPORTUNITY, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.0030194, 	0.9999, 	0.311971%, 	0.240000%
