2020-04-10 02:56:20, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	32.57, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:56:35, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	32.57, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:56:50, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	32.57, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:57:05, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	32.57, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:57:20, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	32.57, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:57:35, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	32.57, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:57:50, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	32.57, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:58:05, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	32.57, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:58:20, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	32.57, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:58:35, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	32.57, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:58:50, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	32.57, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:59:05, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	32.57, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:59:20, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	32.57, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:59:35, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	32.57, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:59:50, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	32.57, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 03:00:05, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	32.57, 	0.280112%, 	0.250000%, 	0.030112%
