2020-04-09 07:53:59, 	Binance     , 	OKEX        , 	GAS/BTC, 	0.0001777, 	5.09, 	0.000177, 	1.90415, 	0.395480%, 	0.250000%, 	0.145480%
2020-04-09 07:54:14, 	Binance     , 	OKEX        , 	GAS/BTC, 	0.0001778, 	0.59, 	0.000177, 	1.90415, 	0.451977%, 	0.250000%, 	0.201977%
2020-04-09 07:54:29, 	Binance     , 	OKEX        , 	GAS/BTC, 	0.0001774, 	24.05, 	0.000177, 	1.90415, 	0.225989%, 	0.250000%, 	-0.024011%
