2020-04-09 15:02:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	175052.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:02:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	175682.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:02:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	175682.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:03:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	175682.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:03:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	175682.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:03:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	175682.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:03:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	175682.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:04:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	180926.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:04:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	180926.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:04:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	180926.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:04:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	193071.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:05:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	128170.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:05:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	128170.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:05:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	128170.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:05:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	128170.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:06:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	128170.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:06:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	128170.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:06:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	128170.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:06:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	128170.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:07:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	128170.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:07:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	128170.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:07:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	128170.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:07:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	128170.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:08:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	131183.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:08:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	128170.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:08:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	171432.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:08:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.87e-06, 	19822.0, 	1.069519%, 	0.350000%, 	0.719519%
2020-04-09 15:09:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	212633.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:09:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	212633.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:09:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.87e-06, 	22481.0, 	1.069519%, 	0.350000%, 	0.719519%
2020-04-09 15:09:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.87e-06, 	25981.0, 	1.069519%, 	0.350000%, 	0.719519%
2020-04-09 15:10:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.87e-06, 	24577.0, 	1.069519%, 	0.350000%, 	0.719519%
2020-04-09 15:10:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.87e-06, 	24577.0, 	1.069519%, 	0.350000%, 	0.719519%
2020-04-09 15:10:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.87e-06, 	24577.0, 	1.069519%, 	0.350000%, 	0.719519%
2020-04-09 15:10:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	215646.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:11:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.87e-06, 	39197.0, 	1.069519%, 	0.350000%, 	0.719519%
2020-04-09 15:11:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.87e-06, 	39197.0, 	1.069519%, 	0.350000%, 	0.719519%
2020-04-09 15:11:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.87e-06, 	28506.0, 	1.069519%, 	0.350000%, 	0.719519%
2020-04-09 15:11:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.87e-06, 	28506.0, 	1.069519%, 	0.350000%, 	0.719519%
2020-04-09 15:12:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.87e-06, 	28506.0, 	1.069519%, 	0.350000%, 	0.719519%
2020-04-09 15:12:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.87e-06, 	28506.0, 	1.069519%, 	0.350000%, 	0.719519%
2020-04-09 15:12:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	215646.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:12:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	215646.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:13:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	203501.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:13:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	203501.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:13:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	203501.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:13:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	203501.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:14:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	203501.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:14:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	200488.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:14:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	200488.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:14:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:15:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:15:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:15:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:15:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:16:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:16:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:16:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:16:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:17:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:17:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:17:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:17:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:18:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:18:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:18:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:18:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:19:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:19:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:19:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
