2020-04-08 19:27:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03394731, 	627.91681265, 	0.617693%, 	0.510000%, 	0.107693%
2020-04-08 19:27:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03394719, 	151.76470588, 	0.618048%, 	0.510000%, 	0.108048%
2020-04-08 19:27:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034159, 	59.092, 	0.03394706, 	647.84466204, 	0.624325%, 	0.510000%, 	0.114325%
2020-04-08 19:27:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034159, 	59.092, 	0.03394691, 	43.114, 	0.624770%, 	0.510000%, 	0.114770%
2020-04-08 19:28:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03394671, 	151.76470588, 	0.619471%, 	0.510000%, 	0.109471%
2020-04-08 19:28:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03394647, 	151.76470588, 	0.620182%, 	0.510000%, 	0.110182%
2020-04-08 19:28:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03394635, 	151.76470588, 	0.620538%, 	0.510000%, 	0.110538%
2020-04-08 19:28:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03394623, 	151.76470588, 	0.620894%, 	0.510000%, 	0.110894%
2020-04-08 19:29:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033946, 	691.70870832, 	0.621575%, 	0.510000%, 	0.111575%
2020-04-08 19:29:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03394572, 	559.94440403, 	0.622405%, 	0.510000%, 	0.112405%
2020-04-08 19:29:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03394551, 	151.76470588, 	0.623028%, 	0.510000%, 	0.113028%
2020-04-08 19:29:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03391366, 	463.75955408, 	0.717528%, 	0.510000%, 	0.207528%
2020-04-08 19:30:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.0339135, 	406.36833232, 	0.718003%, 	0.510000%, 	0.208003%
2020-04-08 19:30:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03391334, 	613.93192686, 	0.718478%, 	0.510000%, 	0.208478%
2020-04-08 19:30:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.0339131, 	647.19492686, 	0.719191%, 	0.510000%, 	0.209191%
2020-04-08 19:30:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03387974, 	43.248, 	0.818365%, 	0.510000%, 	0.308365%
2020-04-08 19:31:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034163, 	10.282, 	0.03387965, 	43.245, 	0.836343%, 	0.510000%, 	0.326343%
2020-04-08 19:31:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034167, 	10.282, 	0.0338796, 	43.25, 	0.848298%, 	0.510000%, 	0.338298%
2020-04-08 19:31:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034169, 	37.282, 	0.03387954, 	43.25, 	0.854380%, 	0.510000%, 	0.344380%
2020-04-08 19:31:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034171, 	59.071, 	0.03385875, 	43.262, 	0.922214%, 	0.510000%, 	0.412214%
2020-04-08 19:32:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03385875, 	43.262, 	0.880865%, 	0.510000%, 	0.370865%
2020-04-08 19:32:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03385875, 	43.262, 	0.880865%, 	0.510000%, 	0.370865%
2020-04-08 19:32:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03385875, 	43.262, 	0.880865%, 	0.510000%, 	0.370865%
2020-04-08 19:32:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03385875, 	43.262, 	0.880865%, 	0.510000%, 	0.370865%
2020-04-08 19:33:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03385875, 	43.262, 	0.880865%, 	0.510000%, 	0.370865%
2020-04-08 19:33:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03385875, 	43.262, 	0.880865%, 	0.510000%, 	0.370865%
2020-04-08 19:33:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03385875, 	43.262, 	0.880865%, 	0.510000%, 	0.370865%
2020-04-08 19:33:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03385871, 	43.185, 	0.880985%, 	0.510000%, 	0.370985%
