2020-04-08 20:02:32, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.714e-05, 	141.15230655, 	2.7e-05, 	5068.89306571, 	0.518519%, 	0.450000%, 	0.068519%
2020-04-08 20:02:47, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.714e-05, 	141.15230655, 	2.7e-05, 	5068.89306571, 	0.518519%, 	0.450000%, 	0.068519%
2020-04-08 20:03:02, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.714e-05, 	141.15230655, 	2.7e-05, 	5068.89306571, 	0.518519%, 	0.450000%, 	0.068519%
2020-04-08 20:03:17, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.711e-05, 	142.67933884, 	2.7e-05, 	5068.89306571, 	0.407407%, 	0.450000%, 	-0.042593%
2020-04-08 20:28:23, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.68e-05, 	4999.975, 	0.783582%, 	0.450000%, 	0.333582%
2020-04-08 20:28:38, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.68e-05, 	4999.975, 	0.783582%, 	0.450000%, 	0.333582%
2020-04-08 20:29:57, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.67e-05, 	4999.975, 	1.161049%, 	0.450000%, 	0.711049%
2020-04-08 20:30:12, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.67e-05, 	4999.975, 	1.161049%, 	0.450000%, 	0.711049%
2020-04-08 20:30:27, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.67e-05, 	4999.975, 	1.161049%, 	0.450000%, 	0.711049%
2020-04-08 20:30:42, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.67e-05, 	4999.975, 	1.161049%, 	0.450000%, 	0.711049%
2020-04-08 20:30:57, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.67e-05, 	4999.975, 	1.161049%, 	0.450000%, 	0.711049%
2020-04-08 20:32:04, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.67e-05, 	4999.975, 	1.161049%, 	0.450000%, 	0.711049%
2020-04-08 20:32:19, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.67e-05, 	4999.975, 	1.161049%, 	0.450000%, 	0.711049%
2020-04-08 20:32:34, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.67e-05, 	4999.975, 	1.161049%, 	0.450000%, 	0.711049%
2020-04-08 20:32:49, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.67e-05, 	4999.975, 	1.161049%, 	0.450000%, 	0.711049%
