2020-04-07 20:34:12, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00784075, 	0.15044353, 	0.007542, 	15.99362522, 	3.961151%, 	0.240000%, 	3.721151%
2020-04-07 20:34:42, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00784075, 	0.15044353, 	0.007542, 	15.99362522, 	3.961151%, 	0.240000%, 	3.721151%
2020-04-07 20:35:12, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00784075, 	0.15044353, 	0.00754, 	15.73583493, 	3.988727%, 	0.240000%, 	3.748727%
2020-04-07 20:35:42, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00784075, 	0.15044353, 	0.00754, 	22.73583493, 	3.988727%, 	0.240000%, 	3.748727%
2020-04-07 20:36:12, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00782223, 	7.0, 	0.007539, 	15.73583493, 	3.756864%, 	0.240000%, 	3.516864%
2020-04-07 20:36:42, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00782239, 	63.88045462, 	0.007539, 	15.73583493, 	3.758987%, 	0.240000%, 	3.518987%
2020-04-07 20:37:12, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00782254, 	63.87922974, 	0.007538, 	15.73583493, 	3.774741%, 	0.240000%, 	3.534741%
2020-04-07 20:37:42, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00782243, 	0.01341395, 	0.007534, 	96.76987036, 	3.828378%, 	0.240000%, 	3.588378%
2020-04-07 20:38:12, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00782223, 	4.38804293, 	0.007533, 	85.92212903, 	3.839506%, 	0.240000%, 	3.599506%
2020-04-07 20:38:42, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00782247, 	0.01341382, 	0.007532, 	79.61510293, 	3.856479%, 	0.240000%, 	3.616479%
2020-04-07 20:39:12, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00782207, 	5.25485904, 	0.00753, 	78.7470621, 	3.878752%, 	0.240000%, 	3.638752%
2020-04-07 20:39:42, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00782208, 	4.23294765, 	0.007528, 	78.7470621, 	3.906482%, 	0.240000%, 	3.666482%
2020-04-07 20:58:39, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00784055, 	8.19654517, 	0.007534, 	81.3230621, 	4.068888%, 	0.240000%, 	3.828888%
2020-04-07 20:59:09, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00784055, 	8.19654517, 	0.007532, 	81.3230621, 	4.096522%, 	0.240000%, 	3.856522%
2020-04-07 20:59:39, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00784057, 	8.19652425, 	0.007532, 	81.3230621, 	4.096787%, 	0.240000%, 	3.856787%
