2020-04-11 14:30:02, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:30:09, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:30:17, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:30:24, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:30:32, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:30:39, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:30:47, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:30:54, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:31:02, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:31:09, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:31:17, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:31:24, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:31:32, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:31:39, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:31:47, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:31:54, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:32:02, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:32:09, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:32:17, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:32:24, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:32:32, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:32:39, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:32:47, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:32:54, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:33:02, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:33:09, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:33:17, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
