2020-04-08 18:31:25, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	128.72936, 	0.00015951, 	6.50527906, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:31:40, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	128.72936, 	0.00015951, 	6.50527906, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:31:55, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	128.72936, 	0.00015951, 	6.50527906, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:32:10, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	128.72936, 	0.00015951, 	5.8777322, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:32:25, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	128.72936, 	0.00015951, 	5.8777322, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:32:40, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	377.18694, 	0.00015951, 	0.02394248, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:32:55, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	377.18694, 	0.00015951, 	0.02394248, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:33:10, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	377.18694, 	0.00015951, 	0.02394248, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:33:25, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	377.18694, 	0.00015951, 	0.02394248, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:33:40, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	377.18694, 	0.00015951, 	0.02394248, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:33:55, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	377.18694, 	0.00015951, 	0.02394248, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:34:10, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	377.18694, 	0.00015951, 	0.02394248, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:34:25, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	377.18694, 	0.00015951, 	0.02394248, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:34:40, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	377.18694, 	0.00015951, 	0.02394248, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:34:55, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	377.18694, 	0.00015951, 	0.02394248, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:35:10, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	377.18694, 	0.00015951, 	0.02394248, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:35:25, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	377.18694, 	0.00015951, 	0.02394248, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:35:40, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	377.18694, 	0.00015951, 	0.02394248, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:35:55, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	377.18694, 	0.00015951, 	0.02394248, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:36:10, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	377.18694, 	0.00015951, 	0.02394248, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:36:25, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	377.18694, 	0.00015951, 	0.02394248, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:36:40, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	377.18694, 	0.00015951, 	0.02394248, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:36:55, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	377.18694, 	0.00015951, 	0.02394248, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:37:10, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	377.18694, 	0.00016029, 	0.07608324, 	-0.180922%, 	0.240000%, 	-0.420922%
