2020-04-07 21:08:07, 	Binance     , 	Kraken      , 	ETH/EUR, 	154.48, 	0.3406, 	153.1, 	0.20949, 	0.901372%, 	0.360000%, 	0.541372%
2020-04-07 21:08:37, 	Binance     , 	Kraken      , 	ETH/EUR, 	154.86, 	0.20949, 	153.59, 	0.06433, 	0.826877%, 	0.360000%, 	0.466877%
2020-04-07 21:09:07, 	Binance     , 	Kraken      , 	ETH/EUR, 	154.86, 	0.20949, 	153.78, 	0.06433, 	0.702302%, 	0.360000%, 	0.342302%
2020-04-07 21:09:37, 	Binance     , 	Kraken      , 	ETH/EUR, 	154.87, 	0.197, 	153.69, 	0.06433, 	0.767779%, 	0.360000%, 	0.407779%
2020-04-07 21:10:07, 	Binance     , 	Kraken      , 	ETH/EUR, 	154.86, 	0.20949, 	153.64, 	0.06433, 	0.794064%, 	0.360000%, 	0.434064%
2020-04-07 21:10:37, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.46, 	0.06433, 	153.29, 	9.85779, 	1.415617%, 	0.360000%, 	1.055617%
2020-04-07 21:11:07, 	Binance     , 	Kraken      , 	ETH/EUR, 	154.86, 	0.20949, 	152.88, 	9.9976, 	1.295133%, 	0.360000%, 	0.935133%
2020-04-07 21:11:37, 	Binance     , 	Kraken      , 	ETH/EUR, 	154.86, 	0.20949, 	153.15, 	0.52915, 	1.116552%, 	0.360000%, 	0.756552%
2020-04-07 21:12:07, 	Binance     , 	Kraken      , 	ETH/EUR, 	154.86, 	0.20949, 	152.89, 	0.52915, 	1.288508%, 	0.360000%, 	0.928508%
2020-04-07 21:12:37, 	Binance     , 	Kraken      , 	ETH/EUR, 	154.31, 	0.13357, 	152.51, 	0.43274, 	1.180250%, 	0.360000%, 	0.820250%
2020-04-07 21:13:07, 	Binance     , 	Kraken      , 	ETH/EUR, 	154.31, 	0.13357, 	152.41, 	0.43274, 	1.246637%, 	0.360000%, 	0.886637%
2020-04-07 21:13:37, 	Binance     , 	Kraken      , 	ETH/EUR, 	154.12, 	0.07153, 	152.12, 	0.08448, 	1.314752%, 	0.360000%, 	0.954752%
2020-04-07 21:14:07, 	Binance     , 	Kraken      , 	ETH/EUR, 	153.76, 	0.21099, 	151.88, 	0.51856, 	1.237819%, 	0.360000%, 	0.877819%
2020-04-07 21:14:37, 	Binance     , 	Kraken      , 	ETH/EUR, 	152.81, 	4.78051, 	151.71, 	0.21174, 	0.725068%, 	0.360000%, 	0.365068%
2020-04-07 21:15:07, 	Binance     , 	Kraken      , 	ETH/EUR, 	152.69, 	7.86595, 	151.44, 	0.21174, 	0.825409%, 	0.360000%, 	0.465409%
2020-04-07 21:15:37, 	Binance     , 	Kraken      , 	ETH/EUR, 	152.69, 	7.86595, 	151.02, 	0.21174, 	1.105814%, 	0.360000%, 	0.745814%
2020-04-07 21:16:07, 	Binance     , 	Kraken      , 	ETH/EUR, 	152.17, 	0.61781, 	150.86, 	0.568, 	0.868355%, 	0.360000%, 	0.508355%
2020-04-07 21:16:37, 	Binance     , 	Kraken      , 	ETH/EUR, 	152.17, 	0.13788, 	150.22, 	0.541, 	1.298096%, 	0.360000%, 	0.938096%
2020-04-07 21:17:07, 	Binance     , 	Kraken      , 	ETH/EUR, 	152.17, 	0.13788, 	149.99, 	0.873, 	1.453430%, 	0.360000%, 	1.093430%
2020-04-08 10:10:25, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	155.01, 	0.20727, 	0.619315%, 	0.360000%, 	0.259315%
2020-04-08 10:10:40, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	155.01, 	0.20727, 	0.619315%, 	0.360000%, 	0.259315%
2020-04-08 10:10:55, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	154.96, 	0.20727, 	0.651781%, 	0.360000%, 	0.291781%
2020-04-08 10:11:10, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	155.0, 	0.20727, 	0.625806%, 	0.360000%, 	0.265806%
2020-04-08 10:11:25, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.56, 	0.55081, 	155.01, 	0.00529, 	0.354816%, 	0.360000%, 	-0.005184%
