2020-04-09 11:03:50, 	Binance     , 	Poloniex    , 	POLY/BTC, 	2.81e-06, 	4365.0, 	2.8e-06, 	0.38561526, 	0.357143%, 	0.190000%, 	0.167143%
2020-04-09 11:04:05, 	Binance     , 	Poloniex    , 	POLY/BTC, 	2.81e-06, 	3883.0, 	2.8e-06, 	0.38561526, 	0.357143%, 	0.190000%, 	0.167143%
2020-04-09 11:04:20, 	Binance     , 	Poloniex    , 	POLY/BTC, 	2.79e-06, 	1253.0, 	2.8e-06, 	0.38561526, 	-0.357143%, 	0.190000%, 	-0.547143%
