2020-04-07 22:05:02, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.671e-05, 	29.22351069, 	2.656e-05, 	551.88226132, 	0.564759%, 	0.190000%, 	0.374759%
2020-04-07 22:05:32, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.671e-05, 	29.22351069, 	2.656e-05, 	551.88226132, 	0.564759%, 	0.190000%, 	0.374759%
2020-04-07 22:06:02, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.671e-05, 	29.22351069, 	2.656e-05, 	551.88226132, 	0.564759%, 	0.190000%, 	0.374759%
2020-04-07 22:06:32, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.671e-05, 	29.22351069, 	2.656e-05, 	551.88226132, 	0.564759%, 	0.190000%, 	0.374759%
2020-04-07 22:07:02, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.671e-05, 	29.22351069, 	2.656e-05, 	551.88226132, 	0.564759%, 	0.190000%, 	0.374759%
2020-04-07 22:07:32, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.671e-05, 	29.22351069, 	2.656e-05, 	551.88226132, 	0.564759%, 	0.190000%, 	0.374759%
2020-04-07 22:08:02, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.671e-05, 	29.22351069, 	2.656e-05, 	551.88226132, 	0.564759%, 	0.190000%, 	0.374759%
2020-04-07 22:08:32, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.671e-05, 	29.22351069, 	2.654e-05, 	551.88226132, 	0.640543%, 	0.190000%, 	0.450543%
2020-04-07 22:09:02, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.67e-05, 	73.44334126, 	2.654e-05, 	551.88226132, 	0.602864%, 	0.190000%, 	0.412864%
2020-04-07 22:09:32, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.67e-05, 	73.44334126, 	2.654e-05, 	551.88226132, 	0.602864%, 	0.190000%, 	0.412864%
2020-04-07 22:10:02, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.67e-05, 	73.44334126, 	2.654e-05, 	551.88226132, 	0.602864%, 	0.190000%, 	0.412864%
2020-04-07 22:10:32, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.67e-05, 	73.44334126, 	2.654e-05, 	551.88226132, 	0.602864%, 	0.190000%, 	0.412864%
2020-04-07 22:11:02, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.671e-05, 	13.70602208, 	2.654e-05, 	587.38267863, 	0.640543%, 	0.190000%, 	0.450543%
2020-04-07 22:11:32, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.671e-05, 	13.70602208, 	2.654e-05, 	587.38267863, 	0.640543%, 	0.190000%, 	0.450543%
2020-04-07 22:12:02, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.671e-05, 	13.70602208, 	2.654e-05, 	587.38267863, 	0.640543%, 	0.190000%, 	0.450543%
2020-04-07 22:12:32, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.67e-05, 	73.44334126, 	2.654e-05, 	587.38267863, 	0.602864%, 	0.190000%, 	0.412864%
