2020-04-08 08:00:15, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002361, 	5250.0, 	0.00234, 	8750.0, 	0.897436%, 	0.350000%, 	0.547436%
2020-04-08 08:00:45, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002362, 	5250.0, 	0.00234, 	8750.0, 	0.940171%, 	0.350000%, 	0.590171%
2020-04-08 08:01:15, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002363, 	5250.0, 	0.00234, 	8750.0, 	0.982906%, 	0.350000%, 	0.632906%
2020-04-08 08:01:45, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002363, 	5250.0, 	0.00234, 	8750.0, 	0.982906%, 	0.350000%, 	0.632906%
2020-04-08 08:02:15, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002363, 	5250.0, 	0.00234, 	8750.0, 	0.982906%, 	0.350000%, 	0.632906%
2020-04-08 08:02:45, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002364, 	5250.0, 	0.00234, 	8750.0, 	1.025641%, 	0.350000%, 	0.675641%
2020-04-08 08:03:15, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002364, 	5250.0, 	0.00234, 	8750.0, 	1.025641%, 	0.350000%, 	0.675641%
2020-04-08 08:03:45, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 08:04:15, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 08:04:45, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 08:05:15, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 08:05:45, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 08:06:15, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 08:06:45, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 08:07:15, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 08:07:45, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 08:08:15, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 08:08:45, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 08:09:15, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 08:09:45, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002371, 	5250.0, 	0.00234, 	8750.0, 	1.324786%, 	0.350000%, 	0.974786%
2020-04-08 08:10:15, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002371, 	5250.0, 	0.00234, 	8750.0, 	1.324786%, 	0.350000%, 	0.974786%
2020-04-08 08:10:45, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002371, 	5250.0, 	0.00234, 	8750.0, 	1.324786%, 	0.350000%, 	0.974786%
