2020-04-06 18:30:06 ,574 INFO ,   OPPORTUNITY ,Kraken       ,OKEX         ,XMR/BTC   ,0.008034     ,0.993            ,0.007844      ,27.19             ,2.422234%   ,0.410000% ,2.012234%
2020-04-06 18:30:10 ,904 INFO ,   OPPORTUNITY ,Bittrex      ,OKEX         ,XMR/BTC   ,0.00802221   ,0.0744           ,0.007844      ,101.05343         ,2.271928%   ,0.400000% ,1.871928%
2020-04-06 18:30:45 ,521 INFO ,   OPPORTUNITY ,OKEX         ,Binance      ,GTO/ETH   ,6.03e-05     ,20920.0          ,2.954e-05     ,8427.0            ,104.129993% ,0.250000% ,103.879993%
2020-04-06 18:31:32 ,997 INFO ,   OPPORTUNITY ,Poloniex     ,OKEX         ,XMR/BTC   ,0.00803045   ,39.2101924       ,0.007844      ,8.536             ,2.376976%   ,0.240000% ,2.136976%
2020-04-06 18:31:34 ,062 INFO ,   OPPORTUNITY ,Bitfinex     ,Bittrex      ,ETH/EUR   ,152.56       ,3.84748307       ,150.0         ,0.02323349        ,1.706667%   ,0.450000% ,1.256667%
2020-04-06 18:32:09 ,730 INFO ,   OPPORTUNITY ,Coinbase Pro ,Bittrex      ,ETH/EUR   ,152.75       ,26.26069892      ,150.0         ,32.5054654        ,1.833333%   ,0.750000% ,1.083333%
2020-04-06 18:32:16 ,121 INFO ,   OPPORTUNITY ,OKEX         ,Poloniex     ,NXT/BTC   ,1.55e-06     ,38621.16350769   ,1.31e-06      ,270.39870256      ,18.320611%  ,0.240000% ,18.080611%
2020-04-06 18:32:28 ,317 INFO ,   OPPORTUNITY ,Kraken       ,Bittrex      ,ETH/EUR   ,152.73       ,3.8617934        ,150.0         ,0.02323349        ,1.820000%   ,0.510000% ,1.310000%
2020-04-06 18:34:19 ,728 INFO ,   OPPORTUNITY ,OKEX         ,Binance      ,GTO/USDT  ,0.01         ,20920.5          ,0.00486       ,21305.5           ,105.761317% ,0.250000% ,105.511317%
2020-04-06 18:35:34 ,921 INFO ,   OPPORTUNITY ,Bittrex      ,OKEX         ,XMR/ETH   ,0.34983282   ,12.760301        ,0.346         ,0.54030928        ,1.107751%   ,0.400000% ,0.707751%
2020-04-06 18:35:46 ,708 INFO ,   OPPORTUNITY ,OKEX         ,Bittrex      ,BLOC/BTC  ,1.4e-07      ,7933478.25429235 ,3e-08         ,51130.94672499    ,366.666667% ,0.400000% ,366.266667%
2020-04-06 18:37:28 ,466 INFO ,   OPPORTUNITY ,Bitfinex     ,OKEX         ,XMR/BTC   ,0.0080161    ,5.35162488       ,0.007844      ,7.0               ,2.194034%   ,0.350000% ,1.844034%
2020-04-06 18:38:40 ,289 INFO ,   OPPORTUNITY ,Poloniex     ,Kraken       ,REP/ETH   ,0.062        ,0.00016468       ,0.06176       ,30.0              ,0.388601%   ,0.350000% ,0.038601%
