2020-04-10 08:49:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.545, 	900.0, 	1.658966%, 	0.350000%, 	1.308966%
2020-04-10 08:49:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.545, 	965.5935, 	1.658966%, 	0.350000%, 	1.308966%
2020-04-10 08:49:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.549, 	65.5935, 	1.569576%, 	0.350000%, 	1.219576%
2020-04-10 08:49:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.552, 	65.5935, 	1.502636%, 	0.350000%, 	1.152636%
2020-04-10 08:50:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.554, 	67.0935, 	1.458059%, 	0.350000%, 	1.108059%
2020-04-10 08:50:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.553, 	65.5935, 	1.480343%, 	0.350000%, 	1.130343%
2020-04-10 08:50:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.553, 	90.3286, 	1.480343%, 	0.350000%, 	1.130343%
2020-04-10 08:50:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.553, 	155.9221, 	1.480343%, 	0.350000%, 	1.130343%
2020-04-10 08:51:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.553, 	90.3286, 	1.480343%, 	0.350000%, 	1.130343%
2020-04-10 08:51:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.553, 	150.428, 	1.480343%, 	0.350000%, 	1.130343%
2020-04-10 08:51:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.553, 	84.8345, 	1.480343%, 	0.350000%, 	1.130343%
2020-04-10 08:51:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.553, 	84.8345, 	1.480343%, 	0.350000%, 	1.130343%
2020-04-10 08:52:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.553, 	83.8345, 	1.480343%, 	0.350000%, 	1.130343%
2020-04-10 08:52:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.553, 	55.0958, 	1.480343%, 	0.350000%, 	1.130343%
2020-04-10 08:52:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.553, 	120.6893, 	1.480343%, 	0.350000%, 	1.130343%
2020-04-10 08:52:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.552, 	1856.1522, 	1.502636%, 	0.350000%, 	1.152636%
2020-04-10 08:53:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.551, 	65.5935, 	1.524940%, 	0.350000%, 	1.174940%
2020-04-10 08:53:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.551, 	65.5935, 	1.524940%, 	0.350000%, 	1.174940%
2020-04-10 08:53:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.551, 	698.5935, 	1.524940%, 	0.350000%, 	1.174940%
2020-04-10 08:53:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.548, 	54.5012, 	1.591909%, 	0.350000%, 	1.241909%
2020-04-10 08:54:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.548, 	53.4019, 	1.591909%, 	0.350000%, 	1.241909%
2020-04-10 08:54:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.545, 	53.4019, 	1.658966%, 	0.350000%, 	1.308966%
2020-04-10 08:54:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.543, 	68.7999, 	1.703720%, 	0.350000%, 	1.353720%
2020-04-10 08:54:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.538, 	5.4936, 	1.815778%, 	0.350000%, 	1.465778%
2020-04-10 08:55:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.538, 	750.0, 	1.815778%, 	0.350000%, 	1.465778%
2020-04-10 08:55:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.538, 	71.0871, 	1.815778%, 	0.350000%, 	1.465778%
2020-04-10 08:55:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.537, 	5.4936, 	1.838219%, 	0.350000%, 	1.488219%
2020-04-10 08:55:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.536, 	5.4936, 	1.860670%, 	0.350000%, 	1.510670%
2020-04-10 08:56:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.537, 	11.4361, 	1.838219%, 	0.350000%, 	1.488219%
2020-04-10 08:56:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.537, 	6.3516, 	1.838219%, 	0.350000%, 	1.488219%
2020-04-10 08:56:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.537, 	4.3821, 	1.838219%, 	0.350000%, 	1.488219%
2020-04-10 08:56:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.537, 	4.3821, 	1.838219%, 	0.350000%, 	1.488219%
2020-04-10 08:57:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.537, 	4.3821, 	1.838219%, 	0.350000%, 	1.488219%
2020-04-10 08:57:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.538, 	972.5174, 	1.815778%, 	0.350000%, 	1.465778%
2020-04-10 08:57:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.538, 	819.1762, 	1.815778%, 	0.350000%, 	1.465778%
2020-04-10 08:57:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.538, 	487.0116, 	1.815778%, 	0.350000%, 	1.465778%
2020-04-10 08:58:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.538, 	469.3325, 	1.815778%, 	0.350000%, 	1.465778%
2020-04-10 08:58:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.538, 	448.6763, 	1.815778%, 	0.350000%, 	1.465778%
2020-04-10 08:58:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.537, 	316.0744, 	1.838219%, 	0.350000%, 	1.488219%
2020-04-10 08:58:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.538, 	428.826, 	1.815778%, 	0.350000%, 	1.465778%
2020-04-10 08:59:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.54, 	5.0, 	1.770925%, 	0.350000%, 	1.420925%
2020-04-10 08:59:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.539, 	900.0, 	1.793347%, 	0.350000%, 	1.443347%
2020-04-10 08:59:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.54, 	5.0, 	1.770925%, 	0.350000%, 	1.420925%
2020-04-10 08:59:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.539, 	900.0, 	1.793347%, 	0.350000%, 	1.443347%
2020-04-10 09:00:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.536, 	41.396, 	1.860670%, 	0.350000%, 	1.510670%
2020-04-10 09:00:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.535, 	1.0, 	1.883131%, 	0.350000%, 	1.533131%
2020-04-10 09:00:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.535, 	751.0, 	1.883131%, 	0.350000%, 	1.533131%
2020-04-10 09:00:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.536, 	46.431, 	1.860670%, 	0.350000%, 	1.510670%
2020-04-10 09:01:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.525, 	5.0, 	2.108287%, 	0.350000%, 	1.758287%
2020-04-10 09:01:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.522, 	65.5935, 	2.176028%, 	0.350000%, 	1.826028%
2020-04-10 09:01:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.527, 	3.0, 	2.063176%, 	0.350000%, 	1.713176%
2020-04-10 09:01:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.526, 	13.2626, 	2.085727%, 	0.350000%, 	1.735727%
2020-04-10 09:02:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.525, 	54.5757, 	2.108287%, 	0.350000%, 	1.758287%
2020-04-10 09:02:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.526, 	702.0164, 	2.085727%, 	0.350000%, 	1.735727%
2020-04-10 09:02:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.52, 	65.5935, 	2.221239%, 	0.350000%, 	1.871239%
2020-04-10 09:02:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.515, 	65.5935, 	2.334441%, 	0.350000%, 	1.984441%
2020-04-10 09:03:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.511, 	1597.0, 	2.425183%, 	0.350000%, 	2.075183%
2020-04-10 09:03:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.512, 	65.5935, 	2.402482%, 	0.350000%, 	2.052482%
2020-04-10 09:03:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.505, 	5.0, 	2.561598%, 	0.350000%, 	2.211598%
2020-04-10 09:03:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.514, 	9.9667, 	2.357111%, 	0.350000%, 	2.007111%
2020-04-10 09:04:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.525, 	393.2953, 	2.108287%, 	0.350000%, 	1.758287%
2020-04-10 09:04:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.53, 	5.0, 	1.995585%, 	0.350000%, 	1.645585%
2020-04-10 09:04:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.533, 	893.31, 	1.928083%, 	0.350000%, 	1.578083%
2020-04-10 09:04:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.53, 	825.8151, 	1.995585%, 	0.350000%, 	1.645585%
2020-04-10 09:05:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.529, 	893.1812, 	2.018106%, 	0.350000%, 	1.668106%
2020-04-10 09:05:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.529, 	847.7282, 	2.018106%, 	0.350000%, 	1.668106%
2020-04-10 09:05:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.528, 	350.0, 	2.040636%, 	0.350000%, 	1.690636%
2020-04-10 09:05:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.53, 	5.0, 	1.995585%, 	0.350000%, 	1.645585%
2020-04-10 09:06:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.535, 	5.0, 	1.883131%, 	0.350000%, 	1.533131%
2020-04-10 09:06:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.538, 	238.1314, 	1.815778%, 	0.350000%, 	1.465778%
2020-04-10 09:06:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.54, 	3.3061, 	1.770925%, 	0.350000%, 	1.420925%
2020-04-10 09:06:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.548, 	8.8559, 	1.591909%, 	0.350000%, 	1.241909%
2020-04-10 09:07:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.548, 	335.1968, 	1.591909%, 	0.350000%, 	1.241909%
2020-04-10 09:07:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.548, 	378.9903, 	1.591909%, 	0.350000%, 	1.241909%
2020-04-10 09:07:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.547, 	750.0, 	1.614251%, 	0.350000%, 	1.264251%
2020-04-10 09:07:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.546, 	65.5935, 	1.636604%, 	0.350000%, 	1.286604%
2020-04-10 09:08:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.544, 	65.5935, 	1.681338%, 	0.350000%, 	1.331338%
2020-04-10 09:08:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.544, 	900.0, 	1.681338%, 	0.350000%, 	1.331338%
2020-04-10 09:08:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.544, 	197.4792, 	1.681338%, 	0.350000%, 	1.331338%
2020-04-10 09:08:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.547, 	250.0, 	1.614251%, 	0.350000%, 	1.264251%
2020-04-10 09:09:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.548, 	10.9962, 	1.591909%, 	0.350000%, 	1.241909%
2020-04-10 09:09:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.549, 	900.0, 	1.569576%, 	0.350000%, 	1.219576%
2020-04-10 09:09:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.549, 	900.0, 	1.569576%, 	0.350000%, 	1.219576%
2020-04-10 09:09:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.549, 	965.5935, 	1.569576%, 	0.350000%, 	1.219576%
2020-04-10 09:10:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.548, 	65.5935, 	1.591909%, 	0.350000%, 	1.241909%
2020-04-10 09:10:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.548, 	65.5935, 	1.591909%, 	0.350000%, 	1.241909%
2020-04-10 09:10:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.548, 	65.5935, 	1.591909%, 	0.350000%, 	1.241909%
2020-04-10 09:10:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.547, 	900.0, 	1.614251%, 	0.350000%, 	1.264251%
2020-04-10 09:11:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.541, 	5.4588, 	1.748514%, 	0.350000%, 	1.398514%
2020-04-10 09:11:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.538, 	88.4, 	1.815778%, 	0.350000%, 	1.465778%
