2020-04-08 19:08:26, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.692e-05, 	587.21927787, 	2.66e-05, 	14508.0, 	1.203008%, 	0.350000%, 	0.853008%
2020-04-08 19:08:41, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.692e-05, 	587.21927787, 	2.66e-05, 	14388.0, 	1.203008%, 	0.350000%, 	0.853008%
2020-04-08 19:08:56, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.692e-05, 	587.21927787, 	2.659e-05, 	748.0, 	1.241068%, 	0.350000%, 	0.891068%
2020-04-08 19:09:11, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.699e-05, 	584.20373205, 	2.659e-05, 	811.0, 	1.504325%, 	0.350000%, 	1.154325%
2020-04-08 19:09:26, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.699e-05, 	584.20373205, 	2.659e-05, 	871.0, 	1.504325%, 	0.350000%, 	1.154325%
2020-04-08 19:09:41, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.699e-05, 	584.20373205, 	2.659e-05, 	45.0, 	1.504325%, 	0.350000%, 	1.154325%
2020-04-08 19:09:56, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.699e-05, 	584.20373205, 	2.66e-05, 	7991.0, 	1.466165%, 	0.350000%, 	1.116165%
2020-04-08 19:10:11, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.699e-05, 	584.20373205, 	2.66e-05, 	8064.0, 	1.466165%, 	0.350000%, 	1.116165%
2020-04-08 19:10:26, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.702e-05, 	600.25262403, 	2.661e-05, 	497.0, 	1.540774%, 	0.350000%, 	1.190774%
2020-04-08 19:10:41, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.702e-05, 	600.25262403, 	2.661e-05, 	527.0, 	1.540774%, 	0.350000%, 	1.190774%
2020-04-08 19:10:56, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.698e-05, 	4999.9, 	2.659e-05, 	43156.0, 	1.466717%, 	0.350000%, 	1.116717%
2020-04-08 19:11:11, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.659e-05, 	40218.0, 	1.504325%, 	0.350000%, 	1.154325%
2020-04-08 19:11:26, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.659e-05, 	39505.0, 	1.504325%, 	0.350000%, 	1.154325%
2020-04-08 19:11:41, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.659e-05, 	38624.0, 	1.504325%, 	0.350000%, 	1.154325%
2020-04-08 19:11:56, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.657e-05, 	33.0, 	1.580730%, 	0.350000%, 	1.230730%
2020-04-08 19:12:11, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.659e-05, 	38644.0, 	1.504325%, 	0.350000%, 	1.154325%
2020-04-08 19:12:26, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.659e-05, 	35210.0, 	1.504325%, 	0.350000%, 	1.154325%
2020-04-08 19:12:41, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.659e-05, 	29852.0, 	1.504325%, 	0.350000%, 	1.154325%
2020-04-08 19:12:56, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.659e-05, 	29802.0, 	1.504325%, 	0.350000%, 	1.154325%
2020-04-08 19:13:11, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.658e-05, 	40.0, 	1.542513%, 	0.350000%, 	1.192513%
2020-04-08 19:13:26, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.659e-05, 	29085.0, 	1.504325%, 	0.350000%, 	1.154325%
2020-04-08 19:13:41, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.658e-05, 	2000.0, 	1.542513%, 	0.350000%, 	1.192513%
2020-04-08 19:13:56, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.658e-05, 	1696.0, 	1.542513%, 	0.350000%, 	1.192513%
2020-04-08 19:14:11, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.658e-05, 	1787.0, 	1.542513%, 	0.350000%, 	1.192513%
2020-04-08 19:14:26, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.658e-05, 	886.0, 	1.542513%, 	0.350000%, 	1.192513%
2020-04-08 19:14:41, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.658e-05, 	894.0, 	1.542513%, 	0.350000%, 	1.192513%
2020-04-08 19:14:56, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.699e-05, 	1368.45369632, 	2.658e-05, 	975.0, 	1.542513%, 	0.350000%, 	1.192513%
2020-04-08 19:15:11, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.658e-05, 	832.0, 	1.542513%, 	0.350000%, 	1.192513%
2020-04-08 19:15:26, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.658e-05, 	190.0, 	1.542513%, 	0.350000%, 	1.192513%
2020-04-08 19:15:41, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.658e-05, 	276.0, 	1.542513%, 	0.350000%, 	1.192513%
2020-04-08 19:15:56, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.659e-05, 	29435.0, 	1.504325%, 	0.350000%, 	1.154325%
2020-04-08 19:16:11, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.659e-05, 	28464.0, 	1.504325%, 	0.350000%, 	1.154325%
2020-04-08 19:16:26, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.659e-05, 	12461.0, 	1.504325%, 	0.350000%, 	1.154325%
2020-04-08 19:16:41, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.704e-05, 	745.72342269, 	2.663e-05, 	12458.0, 	1.539617%, 	0.350000%, 	1.189617%
2020-04-08 19:16:56, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.707e-05, 	744.08580534, 	2.665e-05, 	1009.0, 	1.575985%, 	0.350000%, 	1.225985%
2020-04-08 19:17:11, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.707e-05, 	744.08580534, 	2.665e-05, 	931.0, 	1.575985%, 	0.350000%, 	1.225985%
2020-04-08 19:17:26, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.707e-05, 	744.08580534, 	2.665e-05, 	347.0, 	1.575985%, 	0.350000%, 	1.225985%
2020-04-08 19:17:41, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.707e-05, 	744.08580534, 	2.665e-05, 	6.0, 	1.575985%, 	0.350000%, 	1.225985%
2020-04-08 19:17:56, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.707e-05, 	744.08580534, 	2.665e-05, 	25.0, 	1.575985%, 	0.350000%, 	1.225985%
2020-04-08 19:18:11, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.707e-05, 	744.08580534, 	2.665e-05, 	104.0, 	1.575985%, 	0.350000%, 	1.225985%
2020-04-08 19:18:26, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.707e-05, 	744.08580534, 	2.669e-05, 	1340.0, 	1.423754%, 	0.350000%, 	1.073754%
2020-04-08 19:18:41, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.669e-05, 	2173.0, 	1.536156%, 	0.350000%, 	1.186156%
2020-04-08 19:18:56, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.669e-05, 	2175.0, 	1.536156%, 	0.350000%, 	1.186156%
2020-04-08 19:19:11, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.669e-05, 	2247.0, 	1.536156%, 	0.350000%, 	1.186156%
2020-04-08 19:19:26, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.67e-05, 	41325.0, 	1.498127%, 	0.350000%, 	1.148127%
2020-04-08 19:19:41, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.67e-05, 	47556.0, 	1.498127%, 	0.350000%, 	1.148127%
2020-04-08 19:19:56, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.669e-05, 	18.0, 	1.536156%, 	0.350000%, 	1.186156%
2020-04-08 19:20:11, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.667e-05, 	2149.0, 	1.612298%, 	0.350000%, 	1.262298%
2020-04-08 19:20:26, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.668e-05, 	99.0, 	1.574213%, 	0.350000%, 	1.224213%
2020-04-08 19:20:41, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.668e-05, 	204.0, 	1.574213%, 	0.350000%, 	1.224213%
2020-04-08 19:20:56, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.668e-05, 	231.0, 	1.574213%, 	0.350000%, 	1.224213%
2020-04-08 19:21:11, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.668e-05, 	273.0, 	1.574213%, 	0.350000%, 	1.224213%
2020-04-08 19:21:26, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.669e-05, 	142.0, 	1.536156%, 	0.350000%, 	1.186156%
2020-04-08 19:21:41, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.669e-05, 	382.0, 	1.536156%, 	0.350000%, 	1.186156%
2020-04-08 19:21:56, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.667e-05, 	146.0, 	1.612298%, 	0.350000%, 	1.262298%
2020-04-08 19:22:11, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.666e-05, 	1473.0, 	1.650413%, 	0.350000%, 	1.300413%
2020-04-08 19:22:26, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.706e-05, 	4999.9, 	2.667e-05, 	238.0, 	1.462317%, 	0.350000%, 	1.112317%
2020-04-08 19:22:41, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	726.73373503, 	2.669e-05, 	421.0, 	1.536156%, 	0.350000%, 	1.186156%
2020-04-08 19:22:56, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.709e-05, 	4999.9, 	2.669e-05, 	511.0, 	1.498689%, 	0.350000%, 	1.148689%
2020-04-08 19:23:11, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	749.03340666, 	2.669e-05, 	73.0, 	1.536156%, 	0.350000%, 	1.186156%
2020-04-08 19:23:27, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	749.03340666, 	2.669e-05, 	95.0, 	1.536156%, 	0.350000%, 	1.186156%
