2020-04-10 00:46:41, 	Bittrex     , 	Bitfinex    , 	WAXP/BTC, 	4.21e-06, 	29999.99999988, 	4.19e-06, 	23072.08595538, 	0.477327%, 	0.450000%, 	0.027327%
2020-04-10 00:46:56, 	Bittrex     , 	Bitfinex    , 	WAXP/BTC, 	4.21e-06, 	29999.99999988, 	4.19e-06, 	23072.08595538, 	0.477327%, 	0.450000%, 	0.027327%
2020-04-10 00:47:11, 	Bittrex     , 	Bitfinex    , 	WAXP/BTC, 	4.21e-06, 	29999.99999988, 	4.19e-06, 	23072.08595538, 	0.477327%, 	0.450000%, 	0.027327%
2020-04-10 00:47:26, 	Bittrex     , 	Bitfinex    , 	WAXP/BTC, 	4.21e-06, 	29999.99999988, 	4.19e-06, 	23072.08595538, 	0.477327%, 	0.450000%, 	0.027327%
2020-04-10 00:47:41, 	Bittrex     , 	Bitfinex    , 	WAXP/BTC, 	4.21e-06, 	29999.99999988, 	4.19e-06, 	23072.08595538, 	0.477327%, 	0.450000%, 	0.027327%
2020-04-10 00:47:56, 	Bittrex     , 	Bitfinex    , 	WAXP/BTC, 	4.21e-06, 	29999.99999988, 	4.19e-06, 	22666.08595538, 	0.477327%, 	0.450000%, 	0.027327%
2020-04-10 00:48:11, 	Bittrex     , 	Bitfinex    , 	WAXP/BTC, 	4.21e-06, 	29999.99999988, 	4.19e-06, 	22200.08595538, 	0.477327%, 	0.450000%, 	0.027327%
2020-04-10 00:48:26, 	Bittrex     , 	Bitfinex    , 	WAXP/BTC, 	4.21e-06, 	29999.99999988, 	4.19e-06, 	22200.08595538, 	0.477327%, 	0.450000%, 	0.027327%
2020-04-10 00:48:41, 	Bittrex     , 	Bitfinex    , 	WAXP/BTC, 	4.21e-06, 	29999.99999988, 	4.19e-06, 	21800.08595538, 	0.477327%, 	0.450000%, 	0.027327%
2020-04-10 00:48:56, 	Bittrex     , 	Bitfinex    , 	WAXP/BTC, 	4.19e-06, 	26880.60431826, 	4.19e-06, 	21387.08595538, 	0.000000%, 	0.450000%, 	-0.450000%
