2020-04-08 17:42:28, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0275, 	16.77026057, 	1.02205, 	151.449, 	0.533242%, 	0.460000%, 	0.073242%
2020-04-08 17:42:43, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0222, 	374.37483197, 	1.02205, 	151.449, 	0.014676%, 	0.460000%, 	-0.445324%
2020-04-08 17:43:48, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	151.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:44:03, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	151.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:44:18, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	151.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:44:33, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	151.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:44:48, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	151.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:45:03, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	151.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:45:18, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	151.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:45:33, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	151.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:45:48, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	151.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:46:03, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	151.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:46:18, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	151.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:46:33, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	151.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:46:48, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0274, 	553.88112711, 	1.02205, 	151.449, 	0.523458%, 	0.460000%, 	0.063458%
2020-04-08 17:47:03, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	2046.41380016, 	1.02205, 	151.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:47:18, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	151.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:47:33, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	151.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:47:48, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	151.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:48:03, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	151.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:48:18, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	151.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:48:33, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	451.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:48:48, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	451.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:49:03, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	451.449, 	0.513673%, 	0.460000%, 	0.053673%
