2020-04-11 12:22:10, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	864.895, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:22:25, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	818.52, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:22:40, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	887.293, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:22:55, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	887.293, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:23:10, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.0035, 	667.864, 	0.00348, 	6666.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-11 12:23:25, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.0035, 	667.864, 	0.00348, 	6666.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-11 12:23:40, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	826.957, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:23:55, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	826.957, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:24:10, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	826.957, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:24:25, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	872.943, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:24:40, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	872.943, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:24:55, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	872.943, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:25:10, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	765.93, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:25:25, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	747.74, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
