2020-04-09 00:39:36, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1347.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:39:51, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1347.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:40:06, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1347.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:40:21, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1347.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:40:36, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1347.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:40:51, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1347.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:41:06, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1347.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:41:21, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1347.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:41:36, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1347.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:41:51, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1347.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:42:06, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	618.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:42:21, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	618.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:42:36, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	618.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:42:51, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	618.70934315, 	1.32e-06, 	294.82470471, 	0.000000%, 	0.340000%, 	-0.340000%
2020-04-09 05:41:59, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.33e-06, 	3.22e-06, 	1.32e-06, 	29026.8837, 	0.757576%, 	0.340000%, 	0.417576%
2020-04-09 05:42:14, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	78629.98909459, 	1.32e-06, 	29026.8837, 	0.000000%, 	0.340000%, 	-0.340000%
