2020-04-09 17:00:11, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6738.46, 	0.0348, 	6701.893, 	0.17478431, 	0.545622%, 	0.350000%, 	0.195622%
2020-04-09 17:00:27, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6738.46, 	0.0348, 	6701.892, 	0.36828666, 	0.545637%, 	0.350000%, 	0.195637%
2020-04-09 17:00:42, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6738.46, 	0.0348, 	6701.891, 	0.17932902, 	0.545652%, 	0.350000%, 	0.195652%
2020-04-09 17:00:57, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6738.46, 	0.0348, 	6701.89, 	0.36828666, 	0.545667%, 	0.350000%, 	0.195667%
2020-04-09 17:01:12, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6738.46, 	0.0348, 	6701.89, 	0.36828666, 	0.545667%, 	0.350000%, 	0.195667%
2020-04-09 17:01:27, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6738.46, 	0.0348, 	6701.891, 	0.17932902, 	0.545652%, 	0.350000%, 	0.195652%
2020-04-09 17:01:42, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6743.88, 	0.0346, 	6701.891, 	0.17932902, 	0.626525%, 	0.350000%, 	0.276525%
2020-04-09 17:01:57, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6749.29, 	0.0304, 	6701.891, 	0.17932902, 	0.707248%, 	0.350000%, 	0.357248%
2020-04-09 17:02:12, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6749.29, 	0.0304, 	6701.799, 	0.18184593, 	0.708631%, 	0.350000%, 	0.358631%
2020-04-09 17:02:27, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6749.29, 	0.0304, 	6701.799, 	0.18184593, 	0.708631%, 	0.350000%, 	0.358631%
2020-04-09 17:02:42, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6743.88, 	0.009713, 	6701.799, 	0.18184593, 	0.627906%, 	0.350000%, 	0.277906%
2020-04-09 17:02:57, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6750.54, 	0.0195, 	6701.799, 	0.18184593, 	0.727282%, 	0.350000%, 	0.377282%
2020-04-09 17:03:12, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6750.54, 	0.0195, 	6744.53, 	0.04364, 	0.089109%, 	0.350000%, 	-0.260891%
2020-04-09 17:42:03, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6737.14, 	0.002334, 	6710.091, 	0.36668361, 	0.403109%, 	0.350000%, 	0.053109%
2020-04-09 17:42:18, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6737.14, 	0.002334, 	6710.091, 	0.36668361, 	0.403109%, 	0.350000%, 	0.053109%
2020-04-09 17:42:33, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6737.14, 	0.002334, 	6710.091, 	0.36668361, 	0.403109%, 	0.350000%, 	0.053109%
2020-04-09 17:42:48, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6737.14, 	0.002334, 	6710.046, 	0.04387, 	0.403783%, 	0.350000%, 	0.053783%
2020-04-09 17:43:03, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6737.14, 	0.002334, 	6709.687, 	0.04387, 	0.409155%, 	0.350000%, 	0.059155%
2020-04-09 17:43:18, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6737.14, 	0.002334, 	6709.6, 	0.767, 	0.410457%, 	0.350000%, 	0.060457%
