2020-04-07 21:13:07, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6660.88, 	0.275119, 	6575.3, 	0.02346, 	1.301538%, 	0.300000%, 	1.001538%
2020-04-07 21:13:37, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6648.25, 	0.002365, 	6565.0, 	0.010793, 	1.268088%, 	0.300000%, 	0.968088%
2020-04-07 21:14:07, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6635.65, 	0.002369, 	6566.3, 	0.011783, 	1.056150%, 	0.300000%, 	0.756150%
2020-04-07 21:14:37, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6635.65, 	0.002369, 	6576.6, 	0.011783, 	0.897880%, 	0.300000%, 	0.597880%
2020-04-07 21:15:07, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6635.65, 	0.002369, 	6559.3, 	0.011783, 	1.163996%, 	0.300000%, 	0.863996%
2020-04-07 21:15:37, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6635.1, 	0.140369, 	6541.6, 	0.021944, 	1.429314%, 	0.300000%, 	1.129314%
2020-04-07 21:16:07, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6614.4, 	0.01, 	6541.2, 	0.014575, 	1.119061%, 	0.300000%, 	0.819061%
2020-04-07 21:16:37, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6614.4, 	0.01, 	6532.6, 	0.01259, 	1.252181%, 	0.300000%, 	0.952181%
2020-04-07 21:17:07, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6600.51, 	0.007736, 	6526.0, 	0.02238, 	1.141741%, 	0.300000%, 	0.841741%
2020-04-07 21:17:37, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6580.0, 	1.125485, 	6510.9, 	0.218035, 	1.061297%, 	0.300000%, 	0.761297%
2020-04-07 21:41:48, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6621.3, 	0.141661, 	6561.4, 	0.029011, 	0.912915%, 	0.300000%, 	0.612915%
2020-04-07 21:42:18, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6621.29, 	0.0151, 	6566.0, 	0.029011, 	0.842065%, 	0.300000%, 	0.542065%
2020-04-07 21:42:48, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6621.3, 	0.109201, 	6566.0, 	0.029011, 	0.842217%, 	0.300000%, 	0.542217%
2020-04-07 21:43:18, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6621.3, 	0.109201, 	6565.2, 	0.029011, 	0.854506%, 	0.300000%, 	0.554506%
2020-04-07 21:43:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6621.29, 	0.0151, 	6566.1, 	0.1802, 	0.840529%, 	0.300000%, 	0.540529%
2020-04-07 21:44:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6621.29, 	0.0151, 	6561.4, 	0.1802, 	0.912763%, 	0.300000%, 	0.612763%
2020-04-07 21:44:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6616.0, 	0.003796, 	6557.0, 	0.1802, 	0.899802%, 	0.300000%, 	0.599802%
2020-04-07 21:45:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6610.52, 	0.002378, 	6549.5, 	0.1802, 	0.931674%, 	0.300000%, 	0.631674%
2020-04-07 21:45:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6602.0, 	0.110621, 	6538.5, 	0.5, 	0.971171%, 	0.300000%, 	0.671171%
2020-04-07 21:46:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6602.0, 	0.110621, 	6551.7, 	0.1802, 	0.767740%, 	0.300000%, 	0.467740%
2020-04-07 21:46:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6602.0, 	0.110621, 	6542.6, 	0.0144, 	0.907896%, 	0.300000%, 	0.607896%
2020-04-07 21:47:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6602.0, 	0.110621, 	6549.0, 	0.007693, 	0.809284%, 	0.300000%, 	0.509284%
2020-04-07 21:47:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6602.01, 	0.185434, 	6553.8, 	0.1802, 	0.735604%, 	0.300000%, 	0.435604%
2020-04-07 21:48:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6605.0, 	0.1, 	6549.4, 	0.1802, 	0.848933%, 	0.300000%, 	0.548933%
2020-04-07 21:48:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6605.0, 	0.1, 	6549.4, 	0.1802, 	0.848933%, 	0.300000%, 	0.548933%
2020-04-07 21:49:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6605.01, 	0.18535, 	6553.8, 	0.1802, 	0.781379%, 	0.300000%, 	0.481379%
2020-04-07 21:49:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6605.01, 	0.18535, 	6557.6, 	0.175802, 	0.722978%, 	0.300000%, 	0.422978%
2020-04-07 21:50:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6605.0, 	0.1, 	6551.7, 	0.175802, 	0.813529%, 	0.300000%, 	0.513529%
2020-04-07 21:50:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6605.0, 	0.05, 	6542.5, 	0.238064, 	0.955292%, 	0.300000%, 	0.655292%
2020-04-07 21:51:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6602.0, 	0.110621, 	6543.3, 	0.238064, 	0.897101%, 	0.300000%, 	0.597101%
2020-04-07 21:51:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6602.0, 	0.110621, 	6550.8, 	0.111064, 	0.781584%, 	0.300000%, 	0.481584%
2020-04-07 21:52:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6602.0, 	0.110621, 	6546.6, 	0.111064, 	0.846241%, 	0.300000%, 	0.546241%
2020-04-07 21:52:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6598.2, 	0.006389, 	6545.9, 	0.111064, 	0.798973%, 	0.300000%, 	0.498973%
2020-04-07 21:53:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6598.16, 	0.068562, 	6545.9, 	0.111064, 	0.798362%, 	0.300000%, 	0.498362%
2020-04-07 21:53:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6598.16, 	0.068562, 	6545.9, 	0.111064, 	0.798362%, 	0.300000%, 	0.498362%
