2020-04-07 09:50:28,439 INFO ,no opportunity, 	Kraken      , 	Bitfinex    , 	BAT/USD, 	0.16457, 	1217.95262, 	0.16629, 	1202.71814, 	-1.034338%, 	0.460000%, 	-1.494338%
2020-04-07 09:50:28,634 INFO ,no opportunity, 	Coinbase Pro, 	Bittrex     , 	ZEC/BTC, 	0.005049, 	16.8621, 	0.0050599, 	16.8559, 	-0.215419%, 	0.750000%, 	-0.965419%
2020-04-07 09:50:28,634 INFO ,no opportunity, 	Bittrex     , 	Coinbase Pro, 	ZEC/BTC, 	0.00505578, 	16.8621, 	0.005058, 	16.8559, 	-0.043891%, 	0.750000%, 	-0.793891%
2020-04-07 09:50:29,129 INFO ,no opportunity, 	Poloniex    , 	Binance     , 	XLM/BTC, 	6.86e-06, 	10265.01913132, 	6.87e-06, 	44.17680886, 	-0.145560%, 	0.190000%, 	-0.335560%
2020-04-07 09:50:29,129 INFO ,no opportunity, 	Binance     , 	Poloniex    , 	XLM/BTC, 	6.86e-06, 	10265.01913132, 	6.87e-06, 	44.17680886, 	-0.145560%, 	0.190000%, 	-0.335560%
2020-04-07 09:50:29,320 INFO ,no opportunity, 	Bitfinex    , 	BitMEX      , 	BTC/USD, 	7344.5, 	3.69057541, 	7340.5, 	2.75990007, 	0.054492%, 	0.700000%, 	-0.645508%
2020-04-07 09:50:29,320 INFO ,no opportunity, 	BitMEX      , 	Bitfinex    , 	BTC/USD, 	7340.0, 	3.69057541, 	7344.6, 	2.75990007, 	-0.062631%, 	0.700000%, 	-0.762631%
2020-04-07 09:50:29,828 INFO ,no opportunity, 	Kraken      , 	OKEX        , 	ETC/BTC, 	0.000767, 	525.08, 	0.0007682, 	49.736, 	-0.156209%, 	0.410000%, 	-0.566209%
2020-04-07 09:50:29,828 INFO ,no opportunity, 	OKEX        , 	Kraken      , 	ETC/BTC, 	0.0007679, 	525.08, 	0.00077, 	49.736, 	-0.272727%, 	0.410000%, 	-0.682727%
2020-04-07 09:50:30,252 INFO ,no opportunity, 	Coinbase Pro, 	Binance     , 	XTZ/BTC, 	0.00026474, 	248.36, 	0.0002647, 	1290.0, 	0.015111%, 	0.600000%, 	-0.584889%
2020-04-07 09:50:30,252 INFO ,no opportunity, 	Binance     , 	Coinbase Pro, 	XTZ/BTC, 	0.0002645, 	248.36, 	0.00026542, 	1290.0, 	-0.346620%, 	0.600000%, 	-0.946620%
2020-04-07 09:50:30,639 INFO ,no opportunity, 	Poloniex    , 	Bittrex     , 	BTS/BTC, 	2.54e-06, 	6630.36451753, 	2.57e-06, 	39.49011858, 	-1.167315%, 	0.340000%, 	-1.507315%
2020-04-07 09:50:30,639 INFO ,no opportunity, 	Bittrex     , 	Poloniex    , 	BTS/BTC, 	2.54e-06, 	6630.36451753, 	2.55e-06, 	39.49011858, 	-0.392157%, 	0.340000%, 	-0.732157%
2020-04-07 09:50:30,976 INFO ,no opportunity, 	Bitfinex    , 	OKEX        , 	TRX/BTC, 	1.87e-06, 	493126.53037692, 	1.875e-06, 	295088.95711284, 	-0.266667%, 	0.350000%, 	-0.616667%
2020-04-07 09:50:30,977 INFO ,no opportunity, 	OKEX        , 	Bitfinex    , 	TRX/BTC, 	1.873e-06, 	493126.53037692, 	1.88e-06, 	295088.95711284, 	-0.372340%, 	0.350000%, 	-0.722340%
2020-04-07 09:50:31,283 INFO ,no opportunity, 	Kraken      , 	BitMEX      , 	BTC/USD, 	7346.1, 	1.09, 	7340.5, 	0.294, 	0.076289%, 	0.760000%, 	-0.683711%
2020-04-07 09:50:31,283 INFO ,no opportunity, 	BitMEX      , 	Kraken      , 	BTC/USD, 	7340.0, 	1.09, 	7349.7, 	0.294, 	-0.131978%, 	0.760000%, 	-0.891978%
2020-04-07 09:50:31,854 INFO ,no opportunity, 	Coinbase Pro, 	Bitfinex    , 	EOS/EUR, 	2.548, 	622.9, 	2.5475, 	5.8, 	0.019627%, 	0.700000%, 	-0.680373%
2020-04-07 09:50:31,854 INFO ,no opportunity, 	Bitfinex    , 	Coinbase Pro, 	EOS/EUR, 	2.5459, 	622.9, 	2.55, 	5.8, 	-0.160784%, 	0.700000%, 	-0.860784%
2020-04-07 09:50:32,335 INFO ,no opportunity, 	Poloniex    , 	Kraken      , 	BCH/BTC, 	0.03495503, 	1.98227678, 	0.035, 	5.71923054, 	-0.128486%, 	0.350000%, 	-0.478486%
2020-04-07 09:50:32,335 INFO ,no opportunity, 	Kraken      , 	Poloniex    , 	BCH/BTC, 	0.03497, 	1.98227678, 	0.03502312, 	5.71923054, 	-0.151671%, 	0.350000%, 	-0.501671%
