2020-04-10 00:55:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000434, 	4341.33430047, 	0.2838, 	663.265, 	2.186166%, 	0.400000%, 	1.786166%
2020-04-10 00:55:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000434, 	4341.33430047, 	0.2838, 	2.708, 	2.186166%, 	0.400000%, 	1.786166%
2020-04-10 00:55:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000453, 	4275.11983281, 	0.2831, 	660.557, 	2.438901%, 	0.400000%, 	2.038901%
2020-04-10 00:56:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000453, 	4275.11983281, 	0.2831, 	660.557, 	2.438901%, 	0.400000%, 	2.038901%
2020-04-10 00:56:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000453, 	4275.11983281, 	0.2831, 	660.557, 	2.438901%, 	0.400000%, 	2.038901%
2020-04-10 00:56:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000478, 	4275.11702688, 	0.2831, 	660.557, 	2.438990%, 	0.400000%, 	2.038990%
2020-04-10 00:56:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000503, 	4275.11422094, 	0.2831, 	660.557, 	2.439078%, 	0.400000%, 	2.039078%
2020-04-10 00:57:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000513, 	4275.11309857, 	0.2832, 	961.601, 	2.402941%, 	0.400000%, 	2.002941%
2020-04-10 00:57:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000513, 	4275.11309857, 	0.2831, 	660.557, 	2.439113%, 	0.400000%, 	2.039113%
2020-04-10 00:57:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000525, 	4275.11175172, 	0.2831, 	660.557, 	2.439156%, 	0.400000%, 	2.039156%
2020-04-10 00:57:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000525, 	4275.11175172, 	0.2831, 	660.557, 	2.439156%, 	0.400000%, 	2.039156%
2020-04-10 00:58:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000555, 	4242.59576456, 	0.2831, 	660.557, 	2.439262%, 	0.400000%, 	2.039262%
2020-04-10 00:58:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000555, 	4242.59576456, 	0.2831, 	660.557, 	2.439262%, 	0.400000%, 	2.039262%
2020-04-10 00:58:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000572, 	4242.59385653, 	0.2831, 	660.557, 	2.439322%, 	0.400000%, 	2.039322%
2020-04-10 00:58:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000572, 	4242.59385653, 	0.2831, 	660.557, 	2.439322%, 	0.400000%, 	2.039322%
