2020-04-09 18:56:35, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	19.06, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:56:50, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	19.06, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:57:05, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	19.06, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:57:20, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	19.06, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:57:35, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	19.06, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:57:50, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0527, 	380.15, 	1.049, 	0.96855578, 	0.352717%, 	0.190000%, 	0.162717%
2020-04-09 18:58:05, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0526, 	67.09, 	1.049, 	0.96855578, 	0.343184%, 	0.190000%, 	0.153184%
2020-04-09 18:58:20, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.052, 	73.0, 	1.049, 	0.96855578, 	0.285987%, 	0.190000%, 	0.095987%
2020-04-09 18:58:35, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	19.06, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:58:50, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0513, 	15.32, 	1.05291883, 	23.30461295, 	-0.153747%, 	0.190000%, 	-0.343747%
