2020-04-09 04:08:45, 	Bittrex     , 	OKEX        , 	CRO/BTC, 	7.36e-06, 	4239.77634858, 	7.32e-06, 	137.972, 	0.546448%, 	0.400000%, 	0.146448%
2020-04-09 04:09:00, 	Bittrex     , 	OKEX        , 	CRO/BTC, 	7.36e-06, 	4239.77634858, 	7.32e-06, 	137.972, 	0.546448%, 	0.400000%, 	0.146448%
2020-04-09 04:09:15, 	Bittrex     , 	OKEX        , 	CRO/BTC, 	7.36e-06, 	4239.77634858, 	7.35e-06, 	329.4974, 	0.136054%, 	0.400000%, 	-0.263946%
