2020-04-09 15:05:04, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.32e-06, 	289.19095643, 	2.313e-06, 	400.0, 	0.302637%, 	0.240000%, 	0.062637%
2020-04-09 15:05:19, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.32e-06, 	289.19095643, 	2.313e-06, 	400.0, 	0.302637%, 	0.240000%, 	0.062637%
2020-04-09 15:05:34, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.32e-06, 	289.19095643, 	2.313e-06, 	400.0, 	0.302637%, 	0.240000%, 	0.062637%
2020-04-09 15:05:49, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.32e-06, 	289.19095643, 	2.313e-06, 	400.0, 	0.302637%, 	0.240000%, 	0.062637%
2020-04-09 15:06:04, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.32e-06, 	289.19095643, 	2.313e-06, 	400.0, 	0.302637%, 	0.240000%, 	0.062637%
2020-04-09 15:06:19, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.32e-06, 	289.19095643, 	2.313e-06, 	400.0, 	0.302637%, 	0.240000%, 	0.062637%
2020-04-09 15:06:34, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.32e-06, 	289.19095643, 	2.313e-06, 	400.0, 	0.302637%, 	0.240000%, 	0.062637%
2020-04-09 15:06:49, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.32e-06, 	289.19095643, 	2.313e-06, 	400.0, 	0.302637%, 	0.240000%, 	0.062637%
2020-04-09 15:07:04, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.32e-06, 	289.19095643, 	2.319e-06, 	400.0, 	0.043122%, 	0.240000%, 	-0.196878%
2020-04-10 02:02:31, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	400.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:02:46, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	400.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:03:01, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	400.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:03:16, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	400.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:03:31, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	400.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:03:46, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	400.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:04:01, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	400.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:04:16, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	400.0, 	0.257069%, 	0.240000%, 	0.017069%
