2020-04-08 18:31:52, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.42, 	129.802, 	5.37, 	219.237463, 	0.931099%, 	0.760000%, 	0.171099%
2020-04-08 18:32:07, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.42, 	129.802, 	5.369, 	288.437, 	0.949898%, 	0.760000%, 	0.189898%
2020-04-08 18:32:22, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.42, 	129.802, 	5.364, 	147.803, 	1.043997%, 	0.760000%, 	0.283997%
2020-04-08 18:32:37, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.42, 	129.802, 	5.36, 	66.029, 	1.119403%, 	0.760000%, 	0.359403%
2020-04-08 18:32:52, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.42, 	95.402, 	5.356, 	74.4, 	1.194922%, 	0.760000%, 	0.434922%
2020-04-08 18:33:07, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.42, 	95.402, 	5.357, 	147.803, 	1.176031%, 	0.760000%, 	0.416031%
2020-04-08 18:33:22, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.42, 	95.402, 	5.356, 	74.4, 	1.194922%, 	0.760000%, 	0.434922%
2020-04-08 18:33:37, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.42, 	95.402, 	5.357, 	147.803, 	1.176031%, 	0.760000%, 	0.416031%
2020-04-08 18:33:52, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.42, 	95.402, 	5.356, 	74.4, 	1.194922%, 	0.760000%, 	0.434922%
2020-04-08 18:34:07, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.42, 	95.402, 	5.356, 	74.4, 	1.194922%, 	0.760000%, 	0.434922%
2020-04-08 18:34:22, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.411, 	598.0, 	5.356, 	222.203, 	1.026886%, 	0.760000%, 	0.266886%
2020-04-08 18:34:37, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.41, 	29.1, 	5.355, 	160.4, 	1.027077%, 	0.760000%, 	0.267077%
2020-04-08 18:34:52, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.41, 	29.1, 	5.351, 	74.4, 	1.102598%, 	0.760000%, 	0.342598%
2020-04-08 18:35:07, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.391, 	10.206, 	5.354, 	147.803, 	0.691072%, 	0.760000%, 	-0.068928%
2020-04-08 18:45:44, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.399, 	300.0, 	5.356, 	80.0, 	0.802838%, 	0.760000%, 	0.042838%
2020-04-08 18:45:59, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.398, 	598.0, 	5.356, 	77.11, 	0.784167%, 	0.760000%, 	0.024167%
2020-04-08 18:46:14, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.401, 	300.0, 	5.356, 	77.11, 	0.840179%, 	0.760000%, 	0.080179%
2020-04-08 18:46:29, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.402, 	598.0, 	5.358, 	297.4, 	0.821202%, 	0.760000%, 	0.061202%
2020-04-08 18:46:44, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.406, 	598.0, 	5.354, 	77.11, 	0.971236%, 	0.760000%, 	0.211236%
2020-04-08 18:46:59, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.408, 	598.0, 	5.356, 	77.11, 	0.970874%, 	0.760000%, 	0.210874%
2020-04-08 18:47:14, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.401, 	598.0, 	5.356, 	77.11, 	0.840179%, 	0.760000%, 	0.080179%
2020-04-08 18:47:29, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.402, 	300.0, 	5.354, 	77.11, 	0.896526%, 	0.760000%, 	0.136526%
2020-04-08 18:47:44, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.405, 	620.6, 	5.354, 	77.11, 	0.952559%, 	0.760000%, 	0.192559%
