2020-04-11 11:18:38, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	367555.94027991, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:18:53, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	367555.94027991, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:19:08, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	367555.94027991, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:19:23, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	367555.94027991, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:19:38, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	367555.94027991, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:19:53, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	367555.94027991, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:20:08, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	367555.94027991, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:20:23, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	367555.94027991, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:20:38, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	367555.94027991, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:20:53, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	367555.94027991, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:21:08, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	367555.94027991, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:21:23, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	367555.94027991, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:21:38, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	367555.94027991, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:21:53, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	367555.94027991, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:22:08, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	367555.94027991, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:22:23, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	367555.94027991, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:22:38, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	367555.94027991, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:22:53, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	367555.94027991, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:23:08, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	367555.94027991, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:23:23, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	367555.94027991, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:23:38, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	367555.94027991, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:23:53, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	367555.94027991, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:24:08, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.18e-07, 	1024.56, 	9.2e-07, 	367555.94027991, 	-0.217391%, 	0.400000%, 	-0.617391%
