2020-04-08 18:35:44, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	22.261, 	0.00079314, 	101.493, 	0.864917%, 	0.510000%, 	0.354917%
2020-04-08 18:35:59, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	22.261, 	0.00079312, 	101.385, 	0.867460%, 	0.510000%, 	0.357460%
2020-04-08 18:36:14, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	22.261, 	0.00079312, 	101.385, 	0.867460%, 	0.510000%, 	0.357460%
2020-04-08 18:36:29, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	80.725, 	0.00079301, 	101.406, 	0.881452%, 	0.510000%, 	0.371452%
2020-04-08 18:36:44, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	80.725, 	0.00079279, 	445.286527, 	0.909446%, 	0.510000%, 	0.399446%
2020-04-08 18:36:59, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	59.425, 	0.00079275, 	101.389, 	0.914538%, 	0.510000%, 	0.404538%
2020-04-08 18:37:14, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	9.167, 	0.00079261, 	548.520671, 	0.932363%, 	0.510000%, 	0.422363%
2020-04-08 18:37:29, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079248, 	101.486, 	0.948920%, 	0.510000%, 	0.438920%
2020-04-08 18:37:44, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079244, 	101.47, 	0.954015%, 	0.510000%, 	0.444015%
2020-04-08 18:37:59, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	31.061, 	0.00079244, 	101.47, 	0.954015%, 	0.510000%, 	0.444015%
2020-04-08 18:38:14, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	26.967, 	0.00079244, 	101.47, 	0.954015%, 	0.510000%, 	0.444015%
2020-04-08 18:38:29, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079244, 	101.47, 	0.954015%, 	0.510000%, 	0.444015%
2020-04-08 18:38:44, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	59.425, 	0.00079244, 	101.47, 	0.954015%, 	0.510000%, 	0.444015%
2020-04-08 18:38:59, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079244, 	101.47, 	0.954015%, 	0.510000%, 	0.444015%
2020-04-08 18:39:14, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079244, 	101.47, 	0.954015%, 	0.510000%, 	0.444015%
2020-04-08 18:39:29, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079239, 	101.531, 	0.960386%, 	0.510000%, 	0.450386%
2020-04-08 18:39:44, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079197, 	181.611, 	1.013927%, 	0.510000%, 	0.503927%
2020-04-08 18:39:59, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079215, 	190.27685042, 	0.990974%, 	0.510000%, 	0.480974%
2020-04-08 18:40:14, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079212, 	273.61060765, 	0.994799%, 	0.510000%, 	0.484799%
2020-04-08 18:40:29, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079208, 	101.517, 	0.999899%, 	0.510000%, 	0.489899%
