2020-04-10 08:02:05, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.758e-07, 	12400.0, 	0.882724%, 	0.350000%, 	0.532724%
2020-04-10 08:02:20, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.758e-07, 	6300.0, 	0.882724%, 	0.350000%, 	0.532724%
2020-04-10 08:02:35, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.759e-07, 	289300.0, 	0.861526%, 	0.350000%, 	0.511526%
2020-04-10 08:02:50, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	86150.31371759, 	4.759e-07, 	289300.0, 	0.861526%, 	0.350000%, 	0.511526%
2020-04-10 08:03:05, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	49964.7780648, 	4.758e-07, 	91728.11, 	0.882724%, 	0.350000%, 	0.532724%
2020-04-10 08:03:20, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	49964.7780648, 	4.758e-07, 	268853.99, 	0.882724%, 	0.350000%, 	0.532724%
2020-04-10 08:03:35, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.756e-07, 	280937.01, 	0.925147%, 	0.350000%, 	0.575147%
2020-04-10 08:03:50, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.751e-07, 	286700.0, 	1.031362%, 	0.350000%, 	0.681362%
2020-04-10 08:04:05, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.751e-07, 	364921.84, 	1.031362%, 	0.350000%, 	0.681362%
2020-04-10 08:04:20, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.759e-07, 	329763.72, 	0.861526%, 	0.350000%, 	0.511526%
2020-04-10 08:04:35, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.751e-07, 	616600.32, 	1.031362%, 	0.350000%, 	0.681362%
2020-04-10 08:04:50, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.747e-07, 	256155.0, 	1.116495%, 	0.350000%, 	0.766495%
2020-04-10 08:05:05, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.769e-07, 	376622.18, 	0.650031%, 	0.350000%, 	0.300031%
2020-04-10 08:05:20, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.756e-07, 	173803.13, 	0.925147%, 	0.350000%, 	0.575147%
2020-04-10 08:05:35, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.752e-07, 	181609.85, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-10 08:05:50, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.751e-07, 	298792.86, 	1.031362%, 	0.350000%, 	0.681362%
2020-04-10 08:06:05, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.75e-07, 	89692.86, 	1.052632%, 	0.350000%, 	0.702632%
2020-04-10 08:06:20, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.749e-07, 	20055.0, 	1.073910%, 	0.350000%, 	0.723910%
2020-04-10 08:06:35, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.749e-07, 	3900.0, 	1.073910%, 	0.350000%, 	0.723910%
2020-04-10 08:06:50, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.748e-07, 	71860.63, 	1.095198%, 	0.350000%, 	0.745198%
2020-04-10 08:07:05, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.747e-07, 	16100.0, 	1.116495%, 	0.350000%, 	0.766495%
2020-04-10 08:07:20, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.747e-07, 	12400.0, 	1.116495%, 	0.350000%, 	0.766495%
2020-04-10 08:07:35, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.745e-07, 	21800.0, 	1.159115%, 	0.350000%, 	0.809115%
2020-04-10 08:07:50, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	24081.29296317, 	4.744e-07, 	255613.89, 	1.180438%, 	0.350000%, 	0.830438%
2020-04-10 08:08:05, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.747e-07, 	12400.0, 	1.116495%, 	0.350000%, 	0.766495%
2020-04-10 08:08:20, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.747e-07, 	16100.0, 	1.116495%, 	0.350000%, 	0.766495%
2020-04-10 08:08:35, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.748e-07, 	64883.45, 	1.095198%, 	0.350000%, 	0.745198%
2020-04-10 08:09:49, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.748e-07, 	48683.45, 	1.095198%, 	0.350000%, 	0.745198%
2020-04-10 08:10:04, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.748e-07, 	48683.45, 	1.095198%, 	0.350000%, 	0.745198%
2020-04-10 08:10:19, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.748e-07, 	48683.45, 	1.095198%, 	0.350000%, 	0.745198%
2020-04-10 08:10:34, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.757e-07, 	201190.75, 	0.903931%, 	0.350000%, 	0.553931%
2020-04-10 08:10:49, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.764e-07, 	98319.24, 	0.755668%, 	0.350000%, 	0.405668%
2020-04-10 08:11:04, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.764e-07, 	92919.24, 	0.755668%, 	0.350000%, 	0.405668%
2020-04-10 08:11:19, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.762e-07, 	4100.0, 	0.797984%, 	0.350000%, 	0.447984%
2020-04-10 08:11:34, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.76e-07, 	16500.0, 	0.840336%, 	0.350000%, 	0.490336%
2020-04-10 08:11:49, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.76e-07, 	16500.0, 	0.840336%, 	0.350000%, 	0.490336%
2020-04-10 08:12:04, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.756e-07, 	16500.0, 	0.925147%, 	0.350000%, 	0.575147%
2020-04-10 08:12:19, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.754e-07, 	16500.0, 	0.967606%, 	0.350000%, 	0.617606%
2020-04-10 08:12:34, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.755e-07, 	208500.0, 	0.946372%, 	0.350000%, 	0.596372%
2020-04-10 08:12:49, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.753e-07, 	152160.68, 	0.988849%, 	0.350000%, 	0.638849%
2020-04-10 08:13:04, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.753e-07, 	238142.02, 	0.988849%, 	0.350000%, 	0.638849%
2020-04-10 08:13:19, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.751e-07, 	280326.34, 	1.031362%, 	0.350000%, 	0.681362%
2020-04-10 08:13:34, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.751e-07, 	287981.34, 	1.031362%, 	0.350000%, 	0.681362%
2020-04-10 08:13:49, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.749e-07, 	261150.46, 	1.073910%, 	0.350000%, 	0.723910%
2020-04-10 08:14:04, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.747e-07, 	245831.22, 	1.116495%, 	0.350000%, 	0.766495%
2020-04-10 08:14:19, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.747e-07, 	34855.0, 	1.116495%, 	0.350000%, 	0.766495%
2020-04-10 08:14:34, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.749e-07, 	4100.0, 	1.073910%, 	0.350000%, 	0.723910%
2020-04-10 08:14:49, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.75e-07, 	16500.0, 	1.052632%, 	0.350000%, 	0.702632%
2020-04-10 08:15:04, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.75e-07, 	16500.0, 	1.052632%, 	0.350000%, 	0.702632%
2020-04-10 08:15:19, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.75e-07, 	12400.0, 	1.052632%, 	0.350000%, 	0.702632%
2020-04-10 08:15:34, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.753e-07, 	4100.0, 	0.988849%, 	0.350000%, 	0.638849%
2020-04-10 08:15:49, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.754e-07, 	16500.0, 	0.967606%, 	0.350000%, 	0.617606%
2020-04-10 08:16:04, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.754e-07, 	4100.0, 	0.967606%, 	0.350000%, 	0.617606%
2020-04-10 08:16:19, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.754e-07, 	4100.0, 	0.967606%, 	0.350000%, 	0.617606%
2020-04-10 08:16:34, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.754e-07, 	4100.0, 	0.967606%, 	0.350000%, 	0.617606%
2020-04-10 08:16:49, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.754e-07, 	4100.0, 	0.967606%, 	0.350000%, 	0.617606%
2020-04-10 08:17:04, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.75e-07, 	231600.0, 	1.052632%, 	0.350000%, 	0.702632%
2020-04-10 08:17:19, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.754e-07, 	89585.67, 	0.967606%, 	0.350000%, 	0.617606%
2020-04-10 08:17:34, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.751e-07, 	285000.0, 	1.031362%, 	0.350000%, 	0.681362%
2020-04-10 08:17:49, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.752e-07, 	3100.0, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-10 08:18:04, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.752e-07, 	3100.0, 	1.010101%, 	0.350000%, 	0.660101%
