2020-04-10 06:19:42, 	Bitfinex    , 	OKEX        , 	ALGO/USDT, 	0.1797, 	1725.00305628, 	0.179, 	12791.5604, 	0.391061%, 	0.350000%, 	0.041061%
2020-04-10 06:19:57, 	Bitfinex    , 	OKEX        , 	ALGO/USDT, 	0.1797, 	1725.00305628, 	0.179, 	64167.613, 	0.391061%, 	0.350000%, 	0.041061%
2020-04-10 06:20:12, 	Bitfinex    , 	OKEX        , 	ALGO/USDT, 	0.17758, 	3342.84300038, 	0.178, 	15261.3178, 	-0.235955%, 	0.350000%, 	-0.585955%
