2020-04-08 17:16:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.663e-05, 	95.7717636, 	3.606e-05, 	15.0, 	1.580699%, 	0.350000%, 	1.230699%
2020-04-08 17:17:14, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.663e-05, 	95.7717636, 	3.606e-05, 	15.0, 	1.580699%, 	0.350000%, 	1.230699%
2020-04-08 17:17:29, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.663e-05, 	95.7717636, 	3.606e-05, 	15.0, 	1.580699%, 	0.350000%, 	1.230699%
2020-04-08 17:17:44, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.663e-05, 	95.7717636, 	3.606e-05, 	15.0, 	1.580699%, 	0.350000%, 	1.230699%
2020-04-08 17:17:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.663e-05, 	95.7717636, 	3.606e-05, 	15.0, 	1.580699%, 	0.350000%, 	1.230699%
2020-04-08 17:18:14, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.662e-05, 	15.0, 	3.606e-05, 	15.0, 	1.552967%, 	0.350000%, 	1.202967%
2020-04-08 17:18:29, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.663e-05, 	95.60864423, 	3.606e-05, 	15.0, 	1.580699%, 	0.350000%, 	1.230699%
2020-04-08 17:18:44, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.663e-05, 	95.60864423, 	3.606e-05, 	15.0, 	1.580699%, 	0.350000%, 	1.230699%
2020-04-08 17:18:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.663e-05, 	95.60864423, 	3.608e-05, 	5643.0, 	1.524390%, 	0.350000%, 	1.174390%
2020-04-08 17:19:14, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.663e-05, 	95.60864423, 	3.608e-05, 	5643.0, 	1.524390%, 	0.350000%, 	1.174390%
2020-04-08 17:19:29, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.663e-05, 	95.60864423, 	3.609e-05, 	3384.0, 	1.496259%, 	0.350000%, 	1.146259%
2020-04-08 17:19:44, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.663e-05, 	95.60864423, 	3.609e-05, 	9384.0, 	1.496259%, 	0.350000%, 	1.146259%
2020-04-08 17:19:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.663e-05, 	95.60864423, 	3.609e-05, 	9384.0, 	1.496259%, 	0.350000%, 	1.146259%
2020-04-08 17:20:14, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.663e-05, 	95.60864423, 	3.609e-05, 	9384.0, 	1.496259%, 	0.350000%, 	1.146259%
2020-04-08 17:20:29, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.663e-05, 	95.60864423, 	3.608e-05, 	5391.0, 	1.524390%, 	0.350000%, 	1.174390%
2020-04-08 17:20:44, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.663e-05, 	95.60864423, 	3.608e-05, 	6740.0, 	1.524390%, 	0.350000%, 	1.174390%
2020-04-08 17:20:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.663e-05, 	95.60864423, 	3.608e-05, 	6740.0, 	1.524390%, 	0.350000%, 	1.174390%
2020-04-08 17:21:14, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.663e-05, 	95.60864423, 	3.608e-05, 	6740.0, 	1.524390%, 	0.350000%, 	1.174390%
2020-04-08 17:21:29, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.663e-05, 	95.60864423, 	3.608e-05, 	6740.0, 	1.524390%, 	0.350000%, 	1.174390%
2020-04-08 17:21:44, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.663e-05, 	95.60864423, 	3.608e-05, 	6458.0, 	1.524390%, 	0.350000%, 	1.174390%
2020-04-08 17:21:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.663e-05, 	95.60864423, 	3.608e-05, 	6693.0, 	1.524390%, 	0.350000%, 	1.174390%
2020-04-08 17:22:14, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.662e-05, 	15.0, 	3.608e-05, 	6458.0, 	1.496674%, 	0.350000%, 	1.146674%
2020-04-08 17:22:29, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.664e-05, 	27.62147397, 	3.607e-05, 	5026.0, 	1.580261%, 	0.350000%, 	1.230261%
2020-04-08 17:22:44, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.664e-05, 	27.62147397, 	3.607e-05, 	5026.0, 	1.580261%, 	0.350000%, 	1.230261%
2020-04-08 17:22:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.664e-05, 	27.62147397, 	3.607e-05, 	5026.0, 	1.580261%, 	0.350000%, 	1.230261%
2020-04-08 17:23:14, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.664e-05, 	27.62147397, 	3.607e-05, 	5026.0, 	1.580261%, 	0.350000%, 	1.230261%
2020-04-08 17:23:29, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.664e-05, 	27.62147397, 	3.607e-05, 	5026.0, 	1.580261%, 	0.350000%, 	1.230261%
2020-04-08 17:23:44, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.664e-05, 	27.62147397, 	3.607e-05, 	5026.0, 	1.580261%, 	0.350000%, 	1.230261%
2020-04-08 17:23:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.664e-05, 	27.62147397, 	3.607e-05, 	5026.0, 	1.580261%, 	0.350000%, 	1.230261%
2020-04-08 17:24:14, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.664e-05, 	27.62147397, 	3.607e-05, 	5261.0, 	1.580261%, 	0.350000%, 	1.230261%
2020-04-08 17:24:29, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.664e-05, 	27.62147397, 	3.606e-05, 	6.0, 	1.608430%, 	0.350000%, 	1.258430%
2020-04-08 17:24:44, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.664e-05, 	27.62147397, 	3.606e-05, 	6.0, 	1.608430%, 	0.350000%, 	1.258430%
2020-04-08 17:24:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.664e-05, 	27.62147397, 	3.606e-05, 	6.0, 	1.608430%, 	0.350000%, 	1.258430%
2020-04-08 17:25:14, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.664e-05, 	27.62147397, 	3.606e-05, 	6.0, 	1.608430%, 	0.350000%, 	1.258430%
2020-04-08 17:25:29, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.664e-05, 	27.62147397, 	3.606e-05, 	6.0, 	1.608430%, 	0.350000%, 	1.258430%
2020-04-08 17:25:44, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.664e-05, 	27.62147397, 	3.606e-05, 	6.0, 	1.608430%, 	0.350000%, 	1.258430%
2020-04-08 17:25:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.664e-05, 	27.62147397, 	3.606e-05, 	6.0, 	1.608430%, 	0.350000%, 	1.258430%
2020-04-08 17:26:14, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	28.04771829, 	3.606e-05, 	6.0, 	1.636162%, 	0.350000%, 	1.286162%
2020-04-08 17:26:29, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.47946728, 	3.606e-05, 	6.0, 	1.691625%, 	0.350000%, 	1.341625%
2020-04-08 17:26:44, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.47946728, 	3.606e-05, 	3.0, 	1.691625%, 	0.350000%, 	1.341625%
2020-04-08 17:26:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.47946728, 	3.606e-05, 	3.0, 	1.691625%, 	0.350000%, 	1.341625%
2020-04-08 17:27:14, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.47946728, 	3.606e-05, 	3.0, 	1.691625%, 	0.350000%, 	1.341625%
2020-04-08 17:27:29, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.47946728, 	3.606e-05, 	3.0, 	1.691625%, 	0.350000%, 	1.341625%
2020-04-08 17:27:44, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.47946728, 	3.605e-05, 	5019.0, 	1.719834%, 	0.350000%, 	1.369834%
2020-04-08 17:27:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.47946728, 	3.606e-05, 	2003.0, 	1.691625%, 	0.350000%, 	1.341625%
2020-04-08 17:28:14, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.47946728, 	3.606e-05, 	2003.0, 	1.691625%, 	0.350000%, 	1.341625%
2020-04-08 17:28:29, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.33749795, 	3.605e-05, 	5336.0, 	1.719834%, 	0.350000%, 	1.369834%
2020-04-08 17:28:44, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.33749795, 	3.606e-05, 	2003.0, 	1.691625%, 	0.350000%, 	1.341625%
2020-04-08 17:28:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.33749795, 	3.606e-05, 	2003.0, 	1.691625%, 	0.350000%, 	1.341625%
2020-04-08 17:29:14, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.33749795, 	3.606e-05, 	2003.0, 	1.691625%, 	0.350000%, 	1.341625%
2020-04-08 17:29:29, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.33749795, 	3.606e-05, 	2003.0, 	1.691625%, 	0.350000%, 	1.341625%
2020-04-08 17:29:44, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.33749795, 	3.605e-05, 	6.0, 	1.719834%, 	0.350000%, 	1.369834%
2020-04-08 17:29:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.33749795, 	3.605e-05, 	6.0, 	1.719834%, 	0.350000%, 	1.369834%
