2020-04-07 22:44:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.94424412, 	66.0294822, 	54.52, 	96.40456, 	2.612333%, 	0.400000%, 	2.212333%
2020-04-07 22:44:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.90207028, 	96.798048, 	54.51, 	45.5903566, 	2.553789%, 	0.400000%, 	2.153789%
2020-04-07 22:45:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.92921328, 	96.40456, 	54.5, 	59.04770392, 	2.622410%, 	0.400000%, 	2.222410%
2020-04-07 22:45:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.82321201, 	79.09251178, 	54.44, 	97.978512, 	2.540801%, 	0.400000%, 	2.140801%
2020-04-07 22:46:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.72407826, 	6.1, 	54.47, 	6.0, 	2.302328%, 	0.400000%, 	1.902328%
2020-04-07 22:46:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.82515551, 	4.464, 	54.46, 	4.463, 	2.506712%, 	0.400000%, 	2.106712%
2020-04-07 22:47:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.8318915, 	97.191536, 	54.45, 	4.459, 	2.537909%, 	0.400000%, 	2.137909%
2020-04-07 22:47:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.83641742, 	96.40456, 	54.44, 	97.289908, 	2.565058%, 	0.400000%, 	2.165058%
2020-04-07 22:48:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.83641744, 	97.191536, 	54.42, 	98.076884, 	2.602752%, 	0.400000%, 	2.202752%
2020-04-07 22:48:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.83641745, 	4.461, 	54.41, 	98.175256, 	2.621609%, 	0.400000%, 	2.221609%
2020-04-07 22:49:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.8364175, 	97.486652, 	54.41, 	98.175256, 	2.621609%, 	0.400000%, 	2.221609%
2020-04-07 22:49:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.83641754, 	101.24951082, 	54.51, 	97.88014, 	2.433347%, 	0.400000%, 	2.033347%
2020-04-07 22:50:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.83641762, 	98.076884, 	54.53, 	37.67835913, 	2.395778%, 	0.400000%, 	1.995778%
2020-04-07 22:50:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.83641764, 	5.14469453, 	54.53, 	6.0, 	2.395778%, 	0.400000%, 	1.995778%
