2020-04-07 21:12:07, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.68e-05, 	41026.0, 	2.91e-05, 	1909.0, 	95.189003%, 	0.250000%, 	94.939003%
2020-04-07 21:12:37, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	31250.0, 	2.91e-05, 	1909.0, 	95.532646%, 	0.250000%, 	95.282646%
2020-04-07 21:13:07, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	31250.0, 	2.91e-05, 	1909.0, 	95.532646%, 	0.250000%, 	95.282646%
2020-04-07 21:13:37, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.68e-05, 	14150.0, 	2.909e-05, 	4757.0, 	95.256102%, 	0.250000%, 	95.006102%
2020-04-07 21:14:07, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.68e-05, 	4501.0, 	2.909e-05, 	4757.0, 	95.256102%, 	0.250000%, 	95.006102%
2020-04-07 21:14:37, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.7e-05, 	8373.0, 	2.909e-05, 	4757.0, 	95.943623%, 	0.250000%, 	95.693623%
2020-04-07 21:15:07, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.7e-05, 	52820.0, 	2.909e-05, 	4757.0, 	95.943623%, 	0.250000%, 	95.693623%
2020-04-07 21:15:37, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.7e-05, 	52921.0, 	2.909e-05, 	4757.0, 	95.943623%, 	0.250000%, 	95.693623%
2020-04-07 21:16:07, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.73e-05, 	52990.0, 	2.909e-05, 	4757.0, 	96.974905%, 	0.250000%, 	96.724905%
2020-04-07 21:16:37, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.73e-05, 	14148.0, 	2.91e-05, 	1909.0, 	96.907216%, 	0.250000%, 	96.657216%
2020-04-07 21:17:07, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.7e-05, 	8407.0, 	2.91e-05, 	1909.0, 	95.876289%, 	0.250000%, 	95.626289%
2020-04-07 21:17:37, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.72e-05, 	53664.0, 	2.909e-05, 	4757.0, 	96.631145%, 	0.250000%, 	96.381145%
2020-04-07 21:41:48, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.68e-05, 	8393.0, 	2.907e-05, 	10524.0, 	95.390437%, 	0.250000%, 	95.140437%
2020-04-07 21:42:18, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	8393.0, 	2.906e-05, 	4757.0, 	95.801789%, 	0.250000%, 	95.551789%
2020-04-07 21:42:48, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	8393.0, 	2.906e-05, 	4757.0, 	95.801789%, 	0.250000%, 	95.551789%
2020-04-07 21:43:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	8393.0, 	2.906e-05, 	4757.0, 	95.801789%, 	0.250000%, 	95.551789%
2020-04-07 21:43:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	8393.0, 	2.906e-05, 	4757.0, 	95.801789%, 	0.250000%, 	95.551789%
2020-04-07 21:44:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	8393.0, 	2.906e-05, 	4757.0, 	95.801789%, 	0.250000%, 	95.551789%
2020-04-07 21:44:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	8393.0, 	2.906e-05, 	4757.0, 	95.801789%, 	0.250000%, 	95.551789%
2020-04-07 21:45:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	8393.0, 	2.906e-05, 	4757.0, 	95.801789%, 	0.250000%, 	95.551789%
2020-04-07 21:45:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	8393.0, 	2.906e-05, 	4757.0, 	95.801789%, 	0.250000%, 	95.551789%
2020-04-07 21:46:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	8393.0, 	2.906e-05, 	4757.0, 	95.801789%, 	0.250000%, 	95.551789%
2020-04-07 21:46:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	8393.0, 	2.906e-05, 	4757.0, 	95.801789%, 	0.250000%, 	95.551789%
2020-04-07 21:47:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	8393.0, 	2.906e-05, 	4757.0, 	95.801789%, 	0.250000%, 	95.551789%
2020-04-07 21:47:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	8393.0, 	2.906e-05, 	4757.0, 	95.801789%, 	0.250000%, 	95.551789%
2020-04-07 21:48:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	8393.0, 	2.906e-05, 	4757.0, 	95.801789%, 	0.250000%, 	95.551789%
2020-04-07 21:48:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	8393.0, 	2.904e-05, 	4757.0, 	95.936639%, 	0.250000%, 	95.686639%
2020-04-07 21:49:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	1417.0, 	2.902e-05, 	4757.0, 	96.071675%, 	0.250000%, 	95.821675%
2020-04-07 21:49:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	8010.0, 	2.9e-05, 	4757.0, 	96.206897%, 	0.250000%, 	95.956897%
2020-04-07 21:50:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	8010.0, 	2.897e-05, 	8280.0, 	96.410079%, 	0.250000%, 	96.160079%
2020-04-07 21:50:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	13117.0, 	2.897e-05, 	8280.0, 	96.410079%, 	0.250000%, 	96.160079%
2020-04-07 21:51:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	9266.0, 	2.897e-05, 	8280.0, 	96.410079%, 	0.250000%, 	96.160079%
2020-04-07 21:51:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.7e-05, 	46835.0, 	2.897e-05, 	8280.0, 	96.755264%, 	0.250000%, 	96.505264%
2020-04-07 21:52:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	70626.0, 	2.897e-05, 	8280.0, 	96.410079%, 	0.250000%, 	96.160079%
2020-04-07 21:52:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	70587.0, 	2.897e-05, 	8280.0, 	96.410079%, 	0.250000%, 	96.160079%
2020-04-07 21:53:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	70587.0, 	2.897e-05, 	8280.0, 	96.410079%, 	0.250000%, 	96.160079%
2020-04-07 21:53:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	70587.0, 	2.897e-05, 	8280.0, 	96.410079%, 	0.250000%, 	96.160079%
2020-04-07 21:54:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.7e-05, 	70587.0, 	2.897e-05, 	8280.0, 	96.755264%, 	0.250000%, 	96.505264%
2020-04-07 21:54:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.7e-05, 	70587.0, 	2.897e-05, 	8280.0, 	96.755264%, 	0.250000%, 	96.505264%
2020-04-07 21:55:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.7e-05, 	70587.0, 	2.897e-05, 	8280.0, 	96.755264%, 	0.250000%, 	96.505264%
2020-04-07 21:55:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.7e-05, 	70587.0, 	2.897e-05, 	8280.0, 	96.755264%, 	0.250000%, 	96.505264%
2020-04-07 21:56:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.71e-05, 	70587.0, 	2.897e-05, 	8280.0, 	97.100449%, 	0.250000%, 	96.850449%
2020-04-07 21:56:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.71e-05, 	84359.0, 	2.897e-05, 	8280.0, 	97.100449%, 	0.250000%, 	96.850449%
2020-04-07 21:57:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.71e-05, 	53403.0, 	2.897e-05, 	8280.0, 	97.100449%, 	0.250000%, 	96.850449%
2020-04-07 21:57:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.71e-05, 	53317.0, 	2.897e-05, 	8280.0, 	97.100449%, 	0.250000%, 	96.850449%
2020-04-07 21:58:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.71e-05, 	53345.0, 	2.897e-05, 	8280.0, 	97.100449%, 	0.250000%, 	96.850449%
2020-04-07 21:58:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.72e-05, 	53434.0, 	2.897e-05, 	8280.0, 	97.445633%, 	0.250000%, 	97.195633%
2020-04-07 21:59:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.72e-05, 	53503.0, 	2.897e-05, 	8280.0, 	97.445633%, 	0.250000%, 	97.195633%
2020-04-07 21:59:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.72e-05, 	16817.0, 	2.897e-05, 	8280.0, 	97.445633%, 	0.250000%, 	97.195633%
2020-04-07 22:00:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.73e-05, 	53427.0, 	2.897e-05, 	8280.0, 	97.790818%, 	0.250000%, 	97.540818%
2020-04-07 22:00:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.73e-05, 	53520.0, 	2.897e-05, 	8280.0, 	97.790818%, 	0.250000%, 	97.540818%
2020-04-07 22:01:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.74e-05, 	53627.0, 	2.897e-05, 	13037.0, 	98.136003%, 	0.250000%, 	97.886003%
2020-04-07 22:01:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.74e-05, 	53639.0, 	2.896e-05, 	8308.0, 	98.204420%, 	0.250000%, 	97.954420%
2020-04-07 22:02:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.71e-05, 	53552.0, 	2.896e-05, 	8307.0, 	97.168508%, 	0.250000%, 	96.918508%
2020-04-07 22:02:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.71e-05, 	53426.0, 	2.897e-05, 	4757.0, 	97.100449%, 	0.250000%, 	96.850449%
2020-04-07 22:03:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.71e-05, 	74141.0, 	2.896e-05, 	8307.0, 	97.168508%, 	0.250000%, 	96.918508%
2020-04-07 22:03:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.71e-05, 	53553.0, 	2.896e-05, 	8304.0, 	97.168508%, 	0.250000%, 	96.918508%
2020-04-07 22:04:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.71e-05, 	53470.0, 	2.897e-05, 	4757.0, 	97.100449%, 	0.250000%, 	96.850449%
2020-04-07 22:04:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.71e-05, 	53410.0, 	2.896e-05, 	8300.0, 	97.168508%, 	0.250000%, 	96.918508%
2020-04-07 22:05:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.72e-05, 	53548.0, 	2.896e-05, 	8302.0, 	97.513812%, 	0.250000%, 	97.263812%
2020-04-07 22:05:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.73e-05, 	53548.0, 	2.897e-05, 	4757.0, 	97.790818%, 	0.250000%, 	97.540818%
2020-04-07 22:06:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.7e-05, 	2985.0, 	2.897e-05, 	4757.0, 	96.755264%, 	0.250000%, 	96.505264%
2020-04-07 22:06:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.7e-05, 	53543.0, 	2.896e-05, 	8298.0, 	96.823204%, 	0.250000%, 	96.573204%
2020-04-07 22:07:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.7e-05, 	53429.0, 	2.896e-05, 	8300.0, 	96.823204%, 	0.250000%, 	96.573204%
2020-04-07 22:07:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.7e-05, 	53497.0, 	2.897e-05, 	4757.0, 	96.755264%, 	0.250000%, 	96.505264%
2020-04-07 22:08:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.7e-05, 	53497.0, 	2.896e-05, 	8300.0, 	96.823204%, 	0.250000%, 	96.573204%
2020-04-07 22:08:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.7e-05, 	53455.0, 	2.896e-05, 	8300.0, 	96.823204%, 	0.250000%, 	96.573204%
2020-04-07 22:09:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.7e-05, 	5010.0, 	2.897e-05, 	4757.0, 	96.755264%, 	0.250000%, 	96.505264%
2020-04-07 22:09:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.7e-05, 	53455.0, 	2.896e-05, 	8301.0, 	96.823204%, 	0.250000%, 	96.573204%
2020-04-07 22:10:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.71e-05, 	17346.0, 	2.896e-05, 	8301.0, 	97.168508%, 	0.250000%, 	96.918508%
2020-04-07 22:10:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.71e-05, 	67784.0, 	2.896e-05, 	8301.0, 	97.168508%, 	0.250000%, 	96.918508%
2020-04-07 22:11:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.71e-05, 	67784.0, 	2.896e-05, 	8301.0, 	97.168508%, 	0.250000%, 	96.918508%
2020-04-07 22:11:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.71e-05, 	67784.0, 	2.896e-05, 	8301.0, 	97.168508%, 	0.250000%, 	96.918508%
2020-04-07 22:12:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.71e-05, 	5010.0, 	2.896e-05, 	8301.0, 	97.168508%, 	0.250000%, 	96.918508%
2020-04-07 22:12:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.71e-05, 	5010.0, 	2.896e-05, 	8301.0, 	97.168508%, 	0.250000%, 	96.918508%
2020-04-07 22:13:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.71e-05, 	5010.0, 	2.896e-05, 	8301.0, 	97.168508%, 	0.250000%, 	96.918508%
2020-04-07 22:13:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.71e-05, 	5010.0, 	2.896e-05, 	8301.0, 	97.168508%, 	0.250000%, 	96.918508%
2020-04-07 22:14:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.71e-05, 	5010.0, 	2.895e-05, 	12783.0, 	97.236615%, 	0.250000%, 	96.986615%
2020-04-07 22:14:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.71e-05, 	5010.0, 	2.895e-05, 	12783.0, 	97.236615%, 	0.250000%, 	96.986615%
2020-04-07 22:15:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.67e-05, 	5010.0, 	2.895e-05, 	17540.0, 	95.854922%, 	0.250000%, 	95.604922%
2020-04-07 22:15:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.68e-05, 	5010.0, 	2.895e-05, 	17540.0, 	96.200345%, 	0.250000%, 	95.950345%
2020-04-07 22:16:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	5010.0, 	2.893e-05, 	12783.0, 	96.681645%, 	0.250000%, 	96.431645%
2020-04-07 22:16:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	54236.0, 	2.892e-05, 	8309.0, 	96.749654%, 	0.250000%, 	96.499654%
2020-04-07 22:17:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	53045.0, 	2.892e-05, 	8309.0, 	96.749654%, 	0.250000%, 	96.499654%
2020-04-07 22:17:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.7e-05, 	54468.0, 	2.892e-05, 	8309.0, 	97.095436%, 	0.250000%, 	96.845436%
2020-04-07 22:18:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	53188.0, 	2.891e-05, 	12783.0, 	96.817710%, 	0.250000%, 	96.567710%
2020-04-07 22:18:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	1260.0, 	2.891e-05, 	12783.0, 	96.817710%, 	0.250000%, 	96.567710%
2020-04-07 22:19:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	53159.0, 	2.891e-05, 	12783.0, 	96.817710%, 	0.250000%, 	96.567710%
2020-04-07 22:19:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	54382.0, 	2.891e-05, 	12783.0, 	96.817710%, 	0.250000%, 	96.567710%
2020-04-07 22:20:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	17284.0, 	2.891e-05, 	12783.0, 	96.817710%, 	0.250000%, 	96.567710%
2020-04-07 22:20:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	1260.0, 	2.891e-05, 	12783.0, 	96.817710%, 	0.250000%, 	96.567710%
2020-04-07 22:21:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	1260.0, 	2.891e-05, 	12783.0, 	96.817710%, 	0.250000%, 	96.567710%
2020-04-07 22:21:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	1260.0, 	2.891e-05, 	21086.0, 	96.817710%, 	0.250000%, 	96.567710%
2020-04-07 22:22:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	1260.0, 	2.893e-05, 	4757.0, 	96.681645%, 	0.250000%, 	96.431645%
2020-04-07 22:22:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	1260.0, 	2.892e-05, 	8299.0, 	96.749654%, 	0.250000%, 	96.499654%
2020-04-07 22:23:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	1260.0, 	2.892e-05, 	8299.0, 	96.749654%, 	0.250000%, 	96.499654%
2020-04-07 22:23:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.69e-05, 	1260.0, 	2.892e-05, 	8299.0, 	96.749654%, 	0.250000%, 	96.499654%
2020-04-07 22:24:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.66e-05, 	1260.0, 	2.891e-05, 	12783.0, 	95.780007%, 	0.250000%, 	95.530007%
2020-04-07 22:24:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.66e-05, 	1260.0, 	2.891e-05, 	12783.0, 	95.780007%, 	0.250000%, 	95.530007%
2020-04-07 22:25:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.66e-05, 	1260.0, 	2.891e-05, 	12783.0, 	95.780007%, 	0.250000%, 	95.530007%
2020-04-07 22:25:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.66e-05, 	1260.0, 	2.891e-05, 	12783.0, 	95.780007%, 	0.250000%, 	95.530007%
2020-04-07 22:26:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.67e-05, 	1260.0, 	2.891e-05, 	12783.0, 	96.125908%, 	0.250000%, 	95.875908%
2020-04-07 22:26:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.67e-05, 	1260.0, 	2.891e-05, 	17540.0, 	96.125908%, 	0.250000%, 	95.875908%
