2020-04-07 22:21:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077274, 	4.66230928, 	0.007566, 	7.0, 	2.133228%, 	0.350000%, 	1.783228%
2020-04-07 22:21:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077286, 	4.74499898, 	0.007566, 	7.0, 	2.149088%, 	0.350000%, 	1.799088%
2020-04-07 22:22:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077296, 	4.75789973, 	0.007566, 	7.0, 	2.162305%, 	0.350000%, 	1.812305%
2020-04-07 22:22:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077296, 	4.88305772, 	0.007566, 	7.0, 	2.162305%, 	0.350000%, 	1.812305%
2020-04-07 22:23:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077328, 	4.9305606, 	0.007566, 	4.79993265, 	2.204600%, 	0.350000%, 	1.854600%
2020-04-07 22:23:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077364, 	7.0, 	0.007566, 	4.74303935, 	2.252181%, 	0.350000%, 	1.902181%
2020-04-07 22:24:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077463, 	7.0, 	0.007566, 	5.00788346, 	2.383029%, 	0.350000%, 	2.033029%
2020-04-07 22:24:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077478, 	7.0, 	0.007566, 	5.00718927, 	2.402855%, 	0.350000%, 	2.052855%
2020-04-07 22:25:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077478, 	7.0, 	0.007566, 	5.26662834, 	2.402855%, 	0.350000%, 	2.052855%
2020-04-07 22:25:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077505, 	7.0, 	0.007566, 	7.0, 	2.438541%, 	0.350000%, 	2.088541%
2020-04-07 22:26:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077559, 	7.0, 	0.007566, 	5.0091756, 	2.509913%, 	0.350000%, 	2.159913%
2020-04-07 22:26:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077559, 	7.0, 	0.007566, 	5.0099389, 	2.509913%, 	0.350000%, 	2.159913%
2020-04-07 22:27:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077551, 	3.07919968, 	0.007566, 	7.0294305, 	2.499339%, 	0.350000%, 	2.149339%
