2020-04-10 10:05:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:05:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:05:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:06:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:06:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:06:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:06:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:07:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:07:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:07:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:07:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:08:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:08:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:08:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:08:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:09:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	52689.56427119, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:09:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	52689.56427119, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:09:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:09:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:10:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:10:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:10:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
