2020-04-10 16:39:11, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:39:26, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:39:41, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:39:56, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:40:11, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:40:26, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	6.23455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:40:41, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	6.23455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:40:57, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	6.23455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:41:12, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	6.23455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:41:27, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:41:42, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:41:57, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:42:12, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:42:27, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	6.23455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:42:42, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	6.23455025, 	0.346821%, 	0.240000%, 	0.106821%
