2020-04-08 18:23:57, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	78.191, 	0.00079658, 	251.54261054, 	0.554872%, 	0.350000%, 	0.204872%
2020-04-08 18:24:12, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	78.191, 	0.00079625, 	93.27439999, 	0.596546%, 	0.350000%, 	0.246546%
2020-04-08 18:24:27, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	78.191, 	0.00079585, 	131.07703, 	0.647107%, 	0.350000%, 	0.297107%
2020-04-08 18:24:42, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	74.1, 	0.0007957, 	251.80552002, 	0.666080%, 	0.350000%, 	0.316080%
2020-04-08 18:24:57, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	74.1, 	0.00079563, 	131.07703, 	0.674937%, 	0.350000%, 	0.324937%
2020-04-08 18:25:12, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	74.1, 	0.00079561, 	131.07703, 	0.677468%, 	0.350000%, 	0.327468%
2020-04-08 18:25:27, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	58.391, 	0.00079556, 	131.07703, 	0.683795%, 	0.350000%, 	0.333795%
2020-04-08 18:25:42, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	83.791, 	0.00079553, 	97.9308, 	0.687592%, 	0.350000%, 	0.337592%
2020-04-08 18:25:57, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	83.791, 	0.00079566, 	97.4362, 	0.671141%, 	0.350000%, 	0.321141%
2020-04-08 18:26:12, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	83.791, 	0.0007956, 	132.02265, 	0.678733%, 	0.350000%, 	0.328733%
2020-04-08 18:26:27, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	58.391, 	0.00079556, 	97.83188, 	0.683795%, 	0.350000%, 	0.333795%
2020-04-08 18:26:42, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	28.361, 	0.00079502, 	80.0, 	0.626399%, 	0.350000%, 	0.276399%
2020-04-08 18:26:57, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	28.361, 	0.00079464, 	98.12864, 	0.674519%, 	0.350000%, 	0.324519%
2020-04-08 18:27:12, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	28.361, 	0.00079438, 	80.0, 	0.707470%, 	0.350000%, 	0.357470%
2020-04-08 18:27:27, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	28.361, 	0.000794, 	80.0, 	0.755668%, 	0.350000%, 	0.405668%
2020-04-08 18:27:42, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	28.361, 	0.00079383, 	132.02265, 	0.777244%, 	0.350000%, 	0.427244%
2020-04-08 18:27:57, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	28.361, 	0.00079379, 	96.64484, 	0.782323%, 	0.350000%, 	0.432323%
2020-04-08 18:28:12, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	28.361, 	0.00079387, 	384.24217856, 	0.772167%, 	0.350000%, 	0.422167%
2020-04-08 18:28:27, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	28.361, 	0.0007938, 	667.72269244, 	0.781053%, 	0.350000%, 	0.431053%
2020-04-08 18:28:42, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079338, 	132.02265, 	0.834405%, 	0.350000%, 	0.484405%
2020-04-08 18:28:57, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079321, 	229.85453, 	0.856015%, 	0.350000%, 	0.506015%
2020-04-08 18:29:12, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	58.391, 	0.00079319, 	97.9308, 	0.984632%, 	0.350000%, 	0.634632%
2020-04-08 18:29:27, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	58.391, 	0.00079315, 	97.73296, 	0.989725%, 	0.350000%, 	0.639725%
2020-04-08 18:29:42, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	76.891, 	0.00079504, 	98.02972, 	0.749648%, 	0.350000%, 	0.399648%
2020-04-08 18:29:57, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	76.891, 	0.00079488, 	73.93527, 	0.769928%, 	0.350000%, 	0.419928%
2020-04-08 18:30:12, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079455, 	252.18776891, 	0.811780%, 	0.350000%, 	0.461780%
2020-04-08 18:30:27, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079554, 	251.72058649, 	0.686326%, 	0.350000%, 	0.336326%
