2020-04-10 08:28:11, 	Bitfinex    , 	Kraken      , 	ETH/USD, 	159.31, 	40.3773, 	158.4, 	70.0, 	0.574495%, 	0.460000%, 	0.114495%
2020-04-10 08:28:26, 	Bitfinex    , 	Kraken      , 	ETH/USD, 	159.0, 	32.528148, 	158.18, 	183.743, 	0.518397%, 	0.460000%, 	0.058397%
2020-04-10 08:28:41, 	Bitfinex    , 	Kraken      , 	ETH/USD, 	158.58, 	154.63253446, 	157.86, 	42.457, 	0.456100%, 	0.460000%, 	-0.003900%
