2020-04-07 23:21:18, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	7544.72144368, 	2.23e-06, 	345.3632619, 	0.448430%, 	0.190000%, 	0.258430%
2020-04-07 23:21:48, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	7324.38301495, 	2.23e-06, 	345.3632619, 	0.448430%, 	0.190000%, 	0.258430%
2020-04-07 23:22:18, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	7352.6715275, 	2.23e-06, 	345.3632619, 	0.448430%, 	0.190000%, 	0.258430%
2020-04-07 23:22:48, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	7285.9344175, 	2.23e-06, 	345.3632619, 	0.448430%, 	0.190000%, 	0.258430%
2020-04-07 23:23:18, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	7732.08270857, 	2.23e-06, 	345.3632619, 	0.448430%, 	0.190000%, 	0.258430%
2020-04-07 23:23:48, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	7885.43334699, 	2.23e-06, 	345.3632619, 	0.448430%, 	0.190000%, 	0.258430%
2020-04-07 23:24:18, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	7626.47072509, 	2.23e-06, 	345.3632619, 	0.448430%, 	0.190000%, 	0.258430%
2020-04-07 23:24:48, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	7287.44669436, 	2.23e-06, 	345.3632619, 	0.448430%, 	0.190000%, 	0.258430%
2020-04-07 23:25:18, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	8033.01673086, 	2.23e-06, 	345.3632619, 	0.448430%, 	0.190000%, 	0.258430%
2020-04-07 23:25:48, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	7723.61682114, 	2.23e-06, 	345.3632619, 	0.448430%, 	0.190000%, 	0.258430%
2020-04-07 23:26:18, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	7575.95625284, 	2.23e-06, 	345.3632619, 	0.448430%, 	0.190000%, 	0.258430%
2020-04-07 23:26:48, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	7575.95625284, 	2.23e-06, 	345.3632619, 	0.448430%, 	0.190000%, 	0.258430%
2020-04-07 23:27:18, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	7575.95625284, 	2.23e-06, 	345.3632619, 	0.448430%, 	0.190000%, 	0.258430%
2020-04-07 23:27:48, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	7575.95625284, 	2.23e-06, 	345.3632619, 	0.448430%, 	0.190000%, 	0.258430%
2020-04-07 23:28:18, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.25e-06, 	7575.95625284, 	2.24e-06, 	292.56950883, 	0.446429%, 	0.190000%, 	0.256429%
2020-04-07 23:28:48, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.25e-06, 	346.65876305, 	2.24e-06, 	292.56950883, 	0.446429%, 	0.190000%, 	0.256429%
2020-04-07 23:29:18, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.25e-06, 	346.65876305, 	2.24e-06, 	292.56950883, 	0.446429%, 	0.190000%, 	0.256429%
2020-04-07 23:29:48, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.25e-06, 	346.65876305, 	2.24e-06, 	292.56950883, 	0.446429%, 	0.190000%, 	0.256429%
2020-04-07 23:30:18, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.25e-06, 	346.65876305, 	2.24e-06, 	292.56950883, 	0.446429%, 	0.190000%, 	0.256429%
2020-04-07 23:30:48, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.25e-06, 	346.65876305, 	2.24e-06, 	292.56950883, 	0.446429%, 	0.190000%, 	0.256429%
2020-04-07 23:31:18, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.25e-06, 	346.65876305, 	2.24e-06, 	292.56950883, 	0.446429%, 	0.190000%, 	0.256429%
2020-04-07 23:31:48, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.25e-06, 	346.65876305, 	2.24e-06, 	292.56950883, 	0.446429%, 	0.190000%, 	0.256429%
2020-04-07 23:32:18, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.25e-06, 	346.65876305, 	2.24e-06, 	292.56950883, 	0.446429%, 	0.190000%, 	0.256429%
2020-04-07 23:32:48, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.25e-06, 	346.65876305, 	2.24e-06, 	292.56950883, 	0.446429%, 	0.190000%, 	0.256429%
2020-04-07 23:33:18, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.25e-06, 	346.65876305, 	2.24e-06, 	292.56950883, 	0.446429%, 	0.190000%, 	0.256429%
2020-04-07 23:33:48, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.25e-06, 	346.65876305, 	2.24e-06, 	292.56950883, 	0.446429%, 	0.190000%, 	0.256429%
