2020-04-09 09:09:45, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.537e-05, 	836.0, 	3.432e-05, 	102.99846634, 	3.059441%, 	0.350000%, 	2.709441%
2020-04-09 09:10:00, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.539e-05, 	895.0, 	3.432e-05, 	102.99846634, 	3.117716%, 	0.350000%, 	2.767716%
2020-04-09 09:10:15, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.538e-05, 	895.0, 	3.432e-05, 	102.99846634, 	3.088578%, 	0.350000%, 	2.738578%
2020-04-09 09:10:30, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.538e-05, 	4337.0, 	3.432e-05, 	102.99846634, 	3.088578%, 	0.350000%, 	2.738578%
2020-04-09 09:10:45, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.538e-05, 	3442.0, 	3.432e-05, 	102.99846634, 	3.088578%, 	0.350000%, 	2.738578%
2020-04-09 09:11:00, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.538e-05, 	3384.0, 	3.432e-05, 	102.99846634, 	3.088578%, 	0.350000%, 	2.738578%
2020-04-09 09:11:15, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.538e-05, 	3384.0, 	3.432e-05, 	102.99846634, 	3.088578%, 	0.350000%, 	2.738578%
2020-04-09 09:11:30, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.538e-05, 	3326.0, 	3.432e-05, 	102.99846634, 	3.088578%, 	0.350000%, 	2.738578%
2020-04-09 09:11:45, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.546e-05, 	784.0, 	3.432e-05, 	102.99846634, 	3.321678%, 	0.350000%, 	2.971678%
2020-04-09 09:12:00, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.546e-05, 	784.0, 	3.432e-05, 	102.99846634, 	3.321678%, 	0.350000%, 	2.971678%
2020-04-09 09:12:15, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.546e-05, 	769.0, 	3.432e-05, 	102.99846634, 	3.321678%, 	0.350000%, 	2.971678%
2020-04-09 09:12:30, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.546e-05, 	769.0, 	3.432e-05, 	102.99846634, 	3.321678%, 	0.350000%, 	2.971678%
2020-04-09 09:12:45, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.546e-05, 	712.0, 	3.432e-05, 	102.99846634, 	3.321678%, 	0.350000%, 	2.971678%
2020-04-09 09:13:00, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.546e-05, 	712.0, 	3.432e-05, 	102.99846634, 	3.321678%, 	0.350000%, 	2.971678%
