2020-04-08 19:09:23, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.699e-05, 	584.20373205, 	2.662e-05, 	400.775, 	1.389932%, 	0.510000%, 	0.879932%
2020-04-08 19:09:38, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.699e-05, 	584.20373205, 	2.662e-05, 	400.775, 	1.389932%, 	0.510000%, 	0.879932%
2020-04-08 19:09:53, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.699e-05, 	584.20373205, 	2.662e-05, 	400.775, 	1.389932%, 	0.510000%, 	0.879932%
2020-04-08 19:10:08, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.699e-05, 	584.20373205, 	2.662e-05, 	400.775, 	1.389932%, 	0.510000%, 	0.879932%
2020-04-08 19:10:23, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.702e-05, 	600.25262403, 	2.662e-05, 	400.775, 	1.502630%, 	0.510000%, 	0.992630%
2020-04-08 19:10:38, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.702e-05, 	600.25262403, 	2.662e-05, 	400.775, 	1.502630%, 	0.510000%, 	0.992630%
2020-04-08 19:10:53, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.702e-05, 	769.02619726, 	2.662e-05, 	400.775, 	1.502630%, 	0.510000%, 	0.992630%
2020-04-08 19:11:08, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.662e-05, 	400.775, 	1.389932%, 	0.510000%, 	0.879932%
2020-04-08 19:11:24, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.662e-05, 	400.775, 	1.389932%, 	0.510000%, 	0.879932%
2020-04-08 19:11:39, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.661e-05, 	1745.125, 	1.428035%, 	0.510000%, 	0.918035%
2020-04-08 19:11:54, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.661e-05, 	1745.125, 	1.428035%, 	0.510000%, 	0.918035%
2020-04-08 19:12:09, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.661e-05, 	1745.125, 	1.428035%, 	0.510000%, 	0.918035%
2020-04-08 19:12:24, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.661e-05, 	1745.125, 	1.428035%, 	0.510000%, 	0.918035%
2020-04-08 19:12:39, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.661e-05, 	1745.125, 	1.428035%, 	0.510000%, 	0.918035%
2020-04-08 19:12:54, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.661e-05, 	1745.125, 	1.428035%, 	0.510000%, 	0.918035%
2020-04-08 19:13:09, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.661e-05, 	1745.125, 	1.428035%, 	0.510000%, 	0.918035%
2020-04-08 19:13:24, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.661e-05, 	1745.125, 	1.428035%, 	0.510000%, 	0.918035%
2020-04-08 19:13:39, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.661e-05, 	1745.125, 	1.428035%, 	0.510000%, 	0.918035%
2020-04-08 19:13:54, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.661e-05, 	1745.125, 	1.428035%, 	0.510000%, 	0.918035%
2020-04-08 19:14:09, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.661e-05, 	1745.125, 	1.428035%, 	0.510000%, 	0.918035%
2020-04-08 19:14:24, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.661e-05, 	1745.125, 	1.428035%, 	0.510000%, 	0.918035%
2020-04-08 19:14:39, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.661e-05, 	1745.125, 	1.428035%, 	0.510000%, 	0.918035%
2020-04-08 19:14:54, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.661e-05, 	1745.125, 	1.428035%, 	0.510000%, 	0.918035%
2020-04-08 19:15:09, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.661e-05, 	1745.125, 	1.428035%, 	0.510000%, 	0.918035%
2020-04-08 19:15:24, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.661e-05, 	1745.125, 	1.428035%, 	0.510000%, 	0.918035%
2020-04-08 19:15:39, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.661e-05, 	1745.125, 	1.428035%, 	0.510000%, 	0.918035%
2020-04-08 19:15:54, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.661e-05, 	1745.125, 	1.428035%, 	0.510000%, 	0.918035%
2020-04-08 19:16:09, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.661e-05, 	1745.125, 	1.428035%, 	0.510000%, 	0.918035%
2020-04-08 19:16:24, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.661e-05, 	1745.125, 	1.428035%, 	0.510000%, 	0.918035%
2020-04-08 19:16:39, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.704e-05, 	745.72342269, 	2.662e-05, 	400.775, 	1.577761%, 	0.510000%, 	1.067761%
2020-04-08 19:16:54, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.706e-05, 	4999.9, 	2.662e-05, 	400.775, 	1.652893%, 	0.510000%, 	1.142893%
2020-04-08 19:17:09, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.707e-05, 	744.08580534, 	2.662e-05, 	400.775, 	1.690458%, 	0.510000%, 	1.180458%
2020-04-08 19:17:24, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.707e-05, 	744.08580534, 	2.662e-05, 	400.775, 	1.690458%, 	0.510000%, 	1.180458%
2020-04-08 19:17:39, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.707e-05, 	744.08580534, 	2.662e-05, 	400.775, 	1.690458%, 	0.510000%, 	1.180458%
2020-04-08 19:17:54, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.707e-05, 	744.08580534, 	2.662e-05, 	400.775, 	1.690458%, 	0.510000%, 	1.180458%
2020-04-08 19:18:09, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.707e-05, 	744.08580534, 	2.662e-05, 	400.775, 	1.690458%, 	0.510000%, 	1.180458%
2020-04-08 19:18:24, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.707e-05, 	744.08580534, 	2.662e-05, 	400.775, 	1.690458%, 	0.510000%, 	1.180458%
2020-04-08 19:18:39, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.662e-05, 	400.775, 	1.803156%, 	0.510000%, 	1.293156%
2020-04-08 19:18:54, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.67e-05, 	1736.166, 	1.498127%, 	0.510000%, 	0.988127%
2020-04-08 19:19:09, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.67e-05, 	1736.166, 	1.498127%, 	0.510000%, 	0.988127%
2020-04-08 19:19:24, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.67e-05, 	1736.166, 	1.498127%, 	0.510000%, 	0.988127%
2020-04-08 19:19:39, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.671e-05, 	3609.604, 	1.460127%, 	0.510000%, 	0.950127%
2020-04-08 19:19:54, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.671e-05, 	3609.604, 	1.460127%, 	0.510000%, 	0.950127%
2020-04-08 19:20:09, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.671e-05, 	3609.604, 	1.460127%, 	0.510000%, 	0.950127%
2020-04-08 19:20:24, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.669e-05, 	3819.719, 	1.536156%, 	0.510000%, 	1.026156%
2020-04-08 19:20:39, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.669e-05, 	2084.694, 	1.536156%, 	0.510000%, 	1.026156%
2020-04-08 19:20:54, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.669e-05, 	3820.053, 	1.536156%, 	0.510000%, 	1.026156%
2020-04-08 19:21:09, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.669e-05, 	3820.657, 	1.536156%, 	0.510000%, 	1.026156%
2020-04-08 19:21:24, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.669e-05, 	3820.657, 	1.536156%, 	0.510000%, 	1.026156%
2020-04-08 19:21:39, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.669e-05, 	3820.657, 	1.536156%, 	0.510000%, 	1.026156%
2020-04-08 19:21:54, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.669e-05, 	3820.657, 	1.536156%, 	0.510000%, 	1.026156%
2020-04-08 19:22:09, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.669e-05, 	3820.657, 	1.536156%, 	0.510000%, 	1.026156%
2020-04-08 19:22:24, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.707e-05, 	795.30280405, 	2.669e-05, 	3820.657, 	1.423754%, 	0.510000%, 	0.913754%
2020-04-08 19:22:39, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.709e-05, 	749.58170217, 	2.669e-05, 	3820.657, 	1.498689%, 	0.510000%, 	0.988689%
2020-04-08 19:22:54, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.711e-05, 	703.89415092, 	2.669e-05, 	3820.657, 	1.573623%, 	0.510000%, 	1.063623%
2020-04-08 19:23:09, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.709e-05, 	4999.9, 	2.669e-05, 	2084.694, 	1.498689%, 	0.510000%, 	0.988689%
2020-04-08 19:23:24, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	749.03340666, 	2.669e-05, 	2084.694, 	1.536156%, 	0.510000%, 	1.026156%
2020-04-08 19:23:39, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	749.03340666, 	2.669e-05, 	2084.694, 	1.536156%, 	0.510000%, 	1.026156%
