2020-04-07 20:39:48, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.821e-05, 	233.49566671, 	3.799e-05, 	527.5652862, 	0.579100%, 	0.350000%, 	0.229100%
2020-04-07 20:58:39, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.821e-05, 	233.49566671, 	3.817e-05, 	2665.44863411, 	0.104794%, 	0.350000%, 	-0.245206%
2020-04-08 07:39:38, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.842e-05, 	563.6245, 	3.827e-05, 	423.48592404, 	0.391952%, 	0.350000%, 	0.041952%
2020-04-08 07:40:08, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.843e-05, 	507.2973, 	3.827e-05, 	423.48592404, 	0.418082%, 	0.350000%, 	0.068082%
2020-04-08 07:40:38, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.843e-05, 	507.2973, 	3.827e-05, 	423.48592404, 	0.418082%, 	0.350000%, 	0.068082%
2020-04-08 07:41:08, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.843e-05, 	51.2973, 	3.828e-05, 	423.48592404, 	0.391850%, 	0.350000%, 	0.041850%
2020-04-08 07:41:38, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.843e-05, 	51.2973, 	3.828e-05, 	423.48592404, 	0.391850%, 	0.350000%, 	0.041850%
2020-04-08 07:42:08, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.843e-05, 	234.5273, 	3.828e-05, 	423.48592404, 	0.391850%, 	0.350000%, 	0.041850%
2020-04-08 07:42:38, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.843e-05, 	230.8378, 	3.828e-05, 	423.48592404, 	0.391850%, 	0.350000%, 	0.041850%
2020-04-08 07:43:08, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.843e-05, 	230.8378, 	3.828e-05, 	423.48592404, 	0.391850%, 	0.350000%, 	0.041850%
2020-04-08 07:43:38, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.843e-05, 	230.8378, 	3.828e-05, 	423.48592404, 	0.391850%, 	0.350000%, 	0.041850%
2020-04-08 07:44:08, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.843e-05, 	230.8378, 	3.828e-05, 	423.48592404, 	0.391850%, 	0.350000%, 	0.041850%
2020-04-08 07:44:38, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.843e-05, 	230.8378, 	3.828e-05, 	423.48592404, 	0.391850%, 	0.350000%, 	0.041850%
2020-04-08 07:45:08, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.843e-05, 	230.8378, 	3.828e-05, 	423.48592404, 	0.391850%, 	0.350000%, 	0.041850%
2020-04-08 07:45:38, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.843e-05, 	230.8378, 	3.828e-05, 	423.48592404, 	0.391850%, 	0.350000%, 	0.041850%
2020-04-08 07:46:08, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.843e-05, 	230.8378, 	3.828e-05, 	423.48592404, 	0.391850%, 	0.350000%, 	0.041850%
2020-04-08 07:46:38, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.843e-05, 	230.8378, 	3.828e-05, 	423.48592404, 	0.391850%, 	0.350000%, 	0.041850%
2020-04-08 07:47:08, 	Bittrex     , 	Binance     , 	MTL/BTC, 	3.843e-05, 	230.8378, 	3.837e-05, 	423.48592404, 	0.156372%, 	0.350000%, 	-0.193628%
