2020-04-07 22:36:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33476, 	0.051, 	0.329, 	4.275, 	1.750760%, 	0.250000%, 	1.500760%
2020-04-07 22:37:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33479, 	1.819, 	0.329, 	1.179, 	1.759878%, 	0.250000%, 	1.509878%
2020-04-07 22:37:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33479, 	1.819, 	0.329, 	6.538, 	1.759878%, 	0.250000%, 	1.509878%
2020-04-07 22:38:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33478, 	3.039, 	0.329, 	3.037, 	1.756839%, 	0.250000%, 	1.506839%
2020-04-07 22:38:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33476, 	0.051, 	0.329, 	2.033, 	1.750760%, 	0.250000%, 	1.500760%
2020-04-07 22:39:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33481, 	1.819, 	0.329, 	2.033, 	1.765957%, 	0.250000%, 	1.515957%
2020-04-07 22:39:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33483, 	1.18, 	0.329, 	3.037, 	1.772036%, 	0.250000%, 	1.522036%
2020-04-07 22:40:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33479, 	3.052, 	0.329, 	0.439, 	1.759878%, 	0.250000%, 	1.509878%
2020-04-07 22:40:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33476, 	0.051, 	0.329, 	0.439, 	1.750760%, 	0.250000%, 	1.500760%
2020-04-07 22:41:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33444, 	0.047, 	0.329, 	6.538, 	1.653495%, 	0.250000%, 	1.403495%
2020-04-07 22:41:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33415, 	0.034, 	0.329, 	1.179, 	1.565350%, 	0.250000%, 	1.315350%
2020-04-07 22:42:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33404, 	0.173, 	0.329, 	1.579, 	1.531915%, 	0.250000%, 	1.281915%
2020-04-07 22:42:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33383, 	0.035, 	0.329, 	0.008, 	1.468085%, 	0.250000%, 	1.218085%
