2020-04-07 22:38:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007758, 	0.961, 	0.007566, 	11.022, 	2.537669%, 	0.250000%, 	2.287669%
2020-04-07 22:38:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007766, 	0.127, 	0.007566, 	0.02, 	2.643405%, 	0.250000%, 	2.393405%
2020-04-07 22:39:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007764, 	76.565, 	0.007566, 	15.346, 	2.616971%, 	0.250000%, 	2.366971%
2020-04-07 22:39:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007769, 	0.491, 	0.007566, 	1.815, 	2.683056%, 	0.250000%, 	2.433056%
2020-04-07 22:40:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007765, 	0.056, 	0.007566, 	0.886, 	2.630188%, 	0.250000%, 	2.380188%
2020-04-07 22:40:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007766, 	1.38, 	0.007566, 	1.416, 	2.643405%, 	0.250000%, 	2.393405%
2020-04-07 22:41:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007765, 	2.915, 	0.007566, 	2.228, 	2.630188%, 	0.250000%, 	2.380188%
2020-04-07 22:41:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007767, 	0.026, 	0.007566, 	3.919, 	2.656622%, 	0.250000%, 	2.406622%
2020-04-07 22:42:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007765, 	23.604, 	0.007566, 	1.643, 	2.630188%, 	0.250000%, 	2.380188%
2020-04-07 22:42:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007757, 	21.909, 	0.007566, 	3.959, 	2.524451%, 	0.250000%, 	2.274451%
2020-04-07 22:43:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007765, 	1.603, 	0.007566, 	0.02, 	2.630188%, 	0.250000%, 	2.380188%
2020-04-07 22:43:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007765, 	1.064, 	0.007566, 	13.516, 	2.630188%, 	0.250000%, 	2.380188%
2020-04-07 22:44:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007776, 	3.059, 	0.007566, 	1.051, 	2.775575%, 	0.250000%, 	2.525575%
2020-04-07 22:44:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007776, 	3.776, 	0.007566, 	0.895, 	2.775575%, 	0.250000%, 	2.525575%
2020-04-07 22:45:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007773, 	2.927, 	0.007566, 	2.226, 	2.735924%, 	0.250000%, 	2.485924%
2020-04-07 22:45:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007777, 	2.374, 	0.007566, 	2.227, 	2.788792%, 	0.250000%, 	2.538792%
2020-04-07 22:46:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007775, 	55.86, 	0.007566, 	2.231, 	2.762358%, 	0.250000%, 	2.512358%
2020-04-07 22:46:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007774, 	0.02, 	0.007566, 	5.136, 	2.749141%, 	0.250000%, 	2.499141%
2020-04-07 22:47:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007783, 	4.429, 	0.007566, 	0.613, 	2.868094%, 	0.250000%, 	2.618094%
2020-04-07 22:47:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007777, 	3.428, 	0.007566, 	0.679, 	2.788792%, 	0.250000%, 	2.538792%
2020-04-07 22:48:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007778, 	3.333, 	0.007566, 	1.933, 	2.802009%, 	0.250000%, 	2.552009%
2020-04-07 22:48:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007779, 	1.405, 	0.007566, 	3.185, 	2.815226%, 	0.250000%, 	2.565226%
2020-04-07 22:49:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007782, 	2.623, 	0.007566, 	1.567, 	2.854877%, 	0.250000%, 	2.604877%
2020-04-07 22:49:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007782, 	9.08, 	0.007566, 	6.387, 	2.854877%, 	0.250000%, 	2.604877%
2020-04-07 22:50:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007784, 	0.448, 	0.007566, 	4.597, 	2.881311%, 	0.250000%, 	2.631311%
2020-04-07 22:50:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007774, 	0.013, 	0.007566, 	42.869, 	2.749141%, 	0.250000%, 	2.499141%
2020-04-07 22:51:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007777, 	3.853, 	0.007566, 	0.54, 	2.788792%, 	0.250000%, 	2.538792%
2020-04-07 22:51:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007789, 	44.337, 	0.007566, 	30.694, 	2.947396%, 	0.250000%, 	2.697396%
2020-04-07 22:52:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.00779, 	4.717, 	0.007566, 	7.119, 	2.960613%, 	0.250000%, 	2.710613%
2020-04-07 22:52:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007791, 	1.788, 	0.007566, 	7.049, 	2.973830%, 	0.250000%, 	2.723830%
2020-04-07 22:53:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007792, 	0.332, 	0.007566, 	7.768, 	2.987047%, 	0.250000%, 	2.737047%
2020-04-07 22:53:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007793, 	1.695, 	0.007566, 	5.812, 	3.000264%, 	0.250000%, 	2.750264%
2020-04-07 22:54:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007793, 	0.5, 	0.007566, 	6.762, 	3.000264%, 	0.250000%, 	2.750264%
2020-04-07 22:54:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007789, 	42.286, 	0.007566, 	63.92, 	2.947396%, 	0.250000%, 	2.697396%
2020-04-07 22:55:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.00779, 	1.819, 	0.007566, 	5.812, 	2.960613%, 	0.250000%, 	2.710613%
2020-04-07 22:55:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007784, 	32.801, 	0.007566, 	2.233, 	2.881311%, 	0.250000%, 	2.631311%
2020-04-07 22:56:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007783, 	9.226, 	0.007566, 	2.065, 	2.868094%, 	0.250000%, 	2.618094%
2020-04-07 22:56:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007783, 	242.058, 	0.007566, 	4.464, 	2.868094%, 	0.250000%, 	2.618094%
2020-04-07 22:57:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007783, 	241.286, 	0.007566, 	4.736, 	2.868094%, 	0.250000%, 	2.618094%
2020-04-07 22:57:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007785, 	1.401, 	0.007566, 	3.784, 	2.894528%, 	0.250000%, 	2.644528%
2020-04-07 22:58:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007785, 	2.898, 	0.007566, 	2.104, 	2.894528%, 	0.250000%, 	2.644528%
2020-04-07 22:58:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007784, 	8.756, 	0.007566, 	1.928, 	2.881311%, 	0.250000%, 	2.631311%
2020-04-07 22:59:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007784, 	2.248, 	0.007566, 	3.083, 	2.881311%, 	0.250000%, 	2.631311%
2020-04-07 22:59:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007785, 	3.0, 	0.007566, 	4.349, 	2.894528%, 	0.250000%, 	2.644528%
2020-04-07 23:00:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007785, 	2.102, 	0.007566, 	12.41, 	2.894528%, 	0.250000%, 	2.644528%
2020-04-07 23:00:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.00778, 	2.885, 	0.007566, 	0.528, 	2.828443%, 	0.250000%, 	2.578443%
2020-04-07 23:01:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007776, 	4.174, 	0.007566, 	9.742, 	2.775575%, 	0.250000%, 	2.525575%
2020-04-07 23:01:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007778, 	3.589, 	0.007566, 	0.69, 	2.802009%, 	0.250000%, 	2.552009%
2020-04-07 23:02:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007773, 	0.805, 	0.007566, 	2.233, 	2.735924%, 	0.250000%, 	2.485924%
2020-04-07 23:02:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007775, 	0.966, 	0.007566, 	0.02, 	2.762358%, 	0.250000%, 	2.512358%
2020-04-07 23:03:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007773, 	10.0, 	0.007566, 	2.231, 	2.735924%, 	0.250000%, 	2.485924%
2020-04-07 23:03:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007774, 	33.541, 	0.007566, 	0.02, 	2.749141%, 	0.250000%, 	2.499141%
2020-04-07 23:04:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007779, 	1.285, 	0.007566, 	4.765, 	2.815226%, 	0.250000%, 	2.565226%
2020-04-07 23:04:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.00778, 	2.595, 	0.007566, 	2.946, 	2.828443%, 	0.250000%, 	2.578443%
2020-04-07 23:05:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.00778, 	1.899, 	0.007566, 	2.234, 	2.828443%, 	0.250000%, 	2.578443%
2020-04-07 23:05:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007781, 	1.778, 	0.007566, 	2.234, 	2.841660%, 	0.250000%, 	2.591660%
2020-04-07 23:06:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.00778, 	0.712, 	0.007566, 	2.237, 	2.828443%, 	0.250000%, 	2.578443%
