2020-04-10 13:19:05, 	Bittrex     , 	Binance     , 	RLC/BTC, 	4.69e-05, 	147.08115672, 	4.662e-05, 	1386.0, 	0.600601%, 	0.350000%, 	0.250601%
2020-04-10 13:19:20, 	Bittrex     , 	Binance     , 	RLC/BTC, 	4.69e-05, 	147.08115672, 	4.662e-05, 	1386.0, 	0.600601%, 	0.350000%, 	0.250601%
2020-04-10 13:19:35, 	Bittrex     , 	Binance     , 	RLC/BTC, 	4.653e-05, 	1000.0, 	4.648e-05, 	1559.0, 	0.107573%, 	0.350000%, 	-0.242427%
