2020-04-07 21:08:07, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	14.75177732, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:08:37, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	14.75177732, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:09:07, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	14.75177732, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:09:37, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	14.75177732, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:10:07, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	14.75177732, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:10:37, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	14.75177732, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:11:07, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	14.75177732, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:11:37, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	14.75177732, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:12:07, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	14.75177732, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:12:37, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	14.75177732, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:13:07, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	14.75177732, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:13:37, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	14.75177732, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:14:07, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	14.75177732, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:14:37, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	14.75177732, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:15:07, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	14.75177732, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:15:37, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	10.61901896, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:16:07, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	10.61901896, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:16:37, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	10.61901896, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:17:07, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	10.61901896, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:17:37, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	10.61901896, 	1.0076, 	17.26324009, 	0.883287%, 	0.400000%, 	0.483287%
2020-04-07 21:41:48, 	OKEX        , 	Bittrex     , 	DAI/USDT, 	1.0165, 	0.02995834, 	1.01399999, 	5.48265677, 	0.246549%, 	0.400000%, 	-0.153451%
