2020-04-08 13:56:07, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 13:56:22, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 13:56:37, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 13:56:52, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 13:57:07, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 13:57:22, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 13:57:37, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 13:57:52, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 13:58:07, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 13:58:22, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 13:58:37, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 13:58:52, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 13:59:07, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 13:59:22, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 13:59:37, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 13:59:52, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:00:07, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:00:22, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:00:37, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:00:52, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:01:07, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:01:22, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:01:37, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:01:52, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:02:07, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:02:22, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:02:37, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:02:52, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:03:07, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:03:22, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:03:37, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
