2020-04-10 16:26:44, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.195e-05, 	385.08417137, 	2.186e-05, 	20.0, 	0.411711%, 	0.350000%, 	0.061711%
2020-04-10 16:26:59, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.195e-05, 	385.08417137, 	2.186e-05, 	20.0, 	0.411711%, 	0.350000%, 	0.061711%
2020-04-10 16:27:14, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.195e-05, 	385.08417137, 	2.186e-05, 	20.0, 	0.411711%, 	0.350000%, 	0.061711%
2020-04-10 16:27:29, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.195e-05, 	385.08417137, 	2.186e-05, 	20.0, 	0.411711%, 	0.350000%, 	0.061711%
2020-04-10 16:27:44, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.195e-05, 	385.08417137, 	2.186e-05, 	20.0, 	0.411711%, 	0.350000%, 	0.061711%
2020-04-10 16:27:59, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.195e-05, 	385.08417137, 	2.186e-05, 	20.0, 	0.411711%, 	0.350000%, 	0.061711%
2020-04-10 16:28:14, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.195e-05, 	385.08417137, 	2.186e-05, 	20.0, 	0.411711%, 	0.350000%, 	0.061711%
2020-04-10 16:28:29, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.195e-05, 	385.08417137, 	2.186e-05, 	20.0, 	0.411711%, 	0.350000%, 	0.061711%
2020-04-10 16:28:44, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.195e-05, 	385.08417137, 	2.186e-05, 	20.0, 	0.411711%, 	0.350000%, 	0.061711%
2020-04-10 16:28:59, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.195e-05, 	385.08417137, 	2.186e-05, 	20.0, 	0.411711%, 	0.350000%, 	0.061711%
2020-04-10 16:29:14, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.195e-05, 	385.08417137, 	2.186e-05, 	20.0, 	0.411711%, 	0.350000%, 	0.061711%
2020-04-10 16:29:29, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.195e-05, 	385.08417137, 	2.186e-05, 	20.0, 	0.411711%, 	0.350000%, 	0.061711%
2020-04-10 16:29:44, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.195e-05, 	385.08417137, 	2.19e-05, 	118.0, 	0.228311%, 	0.350000%, 	-0.121689%
