2020-04-08 20:27:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:36:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:36:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:37:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:37:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:37:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:37:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:38:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:38:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:38:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:38:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:39:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:39:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:39:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:39:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:40:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:40:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:40:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:40:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:41:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:41:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:41:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:41:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:42:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:42:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:42:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:42:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:43:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:43:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:43:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.0217, 	712.451, 	0.812372%, 	0.510000%, 	0.302372%
2020-04-08 20:43:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.0217, 	372.968, 	0.812372%, 	0.510000%, 	0.302372%
2020-04-08 20:44:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.0217, 	372.968, 	0.812372%, 	0.510000%, 	0.302372%
2020-04-08 20:44:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.0217, 	372.968, 	0.812372%, 	0.510000%, 	0.302372%
2020-04-08 20:44:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.0217, 	372.968, 	0.812372%, 	0.510000%, 	0.302372%
2020-04-08 20:44:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02169, 	372.968, 	0.813358%, 	0.510000%, 	0.303358%
2020-04-08 20:45:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02169, 	372.968, 	0.813358%, 	0.510000%, 	0.303358%
2020-04-08 20:45:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02169, 	372.968, 	0.813358%, 	0.510000%, 	0.303358%
2020-04-08 20:45:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02169, 	372.968, 	0.813358%, 	0.510000%, 	0.303358%
2020-04-08 20:45:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02169, 	372.968, 	0.813358%, 	0.510000%, 	0.303358%
2020-04-08 20:46:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02169, 	372.968, 	0.813358%, 	0.510000%, 	0.303358%
2020-04-08 20:46:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02169, 	372.968, 	0.813358%, 	0.510000%, 	0.303358%
2020-04-08 20:46:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02169, 	372.968, 	0.813358%, 	0.510000%, 	0.303358%
2020-04-08 20:46:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02169, 	372.968, 	0.813358%, 	0.510000%, 	0.303358%
2020-04-08 20:47:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02169, 	372.968, 	0.813358%, 	0.510000%, 	0.303358%
2020-04-08 20:47:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02168, 	729.855, 	0.814345%, 	0.510000%, 	0.304345%
2020-04-08 20:47:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02168, 	729.855, 	0.814345%, 	0.510000%, 	0.304345%
2020-04-08 20:47:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02168, 	729.855, 	0.814345%, 	0.510000%, 	0.304345%
2020-04-08 20:48:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02168, 	729.855, 	0.814345%, 	0.510000%, 	0.304345%
2020-04-08 20:48:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02168, 	729.855, 	0.814345%, 	0.510000%, 	0.304345%
2020-04-08 20:48:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02168, 	729.855, 	0.814345%, 	0.510000%, 	0.304345%
2020-04-08 20:48:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02168, 	729.855, 	0.814345%, 	0.510000%, 	0.304345%
2020-04-08 20:49:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02168, 	729.855, 	0.814345%, 	0.510000%, 	0.304345%
2020-04-08 20:49:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02168, 	729.855, 	0.814345%, 	0.510000%, 	0.304345%
2020-04-08 20:49:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02168, 	729.855, 	0.814345%, 	0.510000%, 	0.304345%
2020-04-08 20:49:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02168, 	390.372, 	0.814345%, 	0.510000%, 	0.304345%
2020-04-08 20:50:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02168, 	390.372, 	0.814345%, 	0.510000%, 	0.304345%
2020-04-08 20:50:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02168, 	390.372, 	0.814345%, 	0.510000%, 	0.304345%
2020-04-08 20:50:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02168, 	390.372, 	0.814345%, 	0.510000%, 	0.304345%
2020-04-08 20:50:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02168, 	390.372, 	0.814345%, 	0.510000%, 	0.304345%
2020-04-08 20:51:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02168, 	390.372, 	0.814345%, 	0.510000%, 	0.304345%
2020-04-08 20:51:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02168, 	390.372, 	0.814345%, 	0.510000%, 	0.304345%
2020-04-08 20:51:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02168, 	390.372, 	0.814345%, 	0.510000%, 	0.304345%
2020-04-08 20:51:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02168, 	390.372, 	0.814345%, 	0.510000%, 	0.304345%
2020-04-08 20:52:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02168, 	390.372, 	0.814345%, 	0.510000%, 	0.304345%
2020-04-08 20:52:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02168, 	390.372, 	0.814345%, 	0.510000%, 	0.304345%
2020-04-08 20:52:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02168, 	390.372, 	0.814345%, 	0.510000%, 	0.304345%
2020-04-08 20:52:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02168, 	390.372, 	0.814345%, 	0.510000%, 	0.304345%
2020-04-08 20:53:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02168, 	390.372, 	0.814345%, 	0.510000%, 	0.304345%
2020-04-08 20:53:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02168, 	390.372, 	0.814345%, 	0.510000%, 	0.304345%
2020-04-08 20:53:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02168, 	390.372, 	0.814345%, 	0.510000%, 	0.304345%
2020-04-08 20:53:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02168, 	390.372, 	0.814345%, 	0.510000%, 	0.304345%
2020-04-08 20:54:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02236, 	740.487, 	0.747291%, 	0.510000%, 	0.237291%
2020-04-08 20:54:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02236, 	740.487, 	0.747291%, 	0.510000%, 	0.237291%
2020-04-08 20:54:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02236, 	740.487, 	0.747291%, 	0.510000%, 	0.237291%
2020-04-08 20:54:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02236, 	740.487, 	0.747291%, 	0.510000%, 	0.237291%
2020-04-08 20:55:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02236, 	740.487, 	0.747291%, 	0.510000%, 	0.237291%
2020-04-08 20:55:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02236, 	740.487, 	0.747291%, 	0.510000%, 	0.237291%
2020-04-08 20:55:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02236, 	740.487, 	0.747291%, 	0.510000%, 	0.237291%
2020-04-08 20:55:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02236, 	740.487, 	0.747291%, 	0.510000%, 	0.237291%
2020-04-08 20:56:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02236, 	740.487, 	0.747291%, 	0.510000%, 	0.237291%
2020-04-08 20:56:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.0209, 	431.004, 	0.891370%, 	0.510000%, 	0.381370%
2020-04-08 20:56:42, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.0209, 	431.004, 	0.891370%, 	0.510000%, 	0.381370%
2020-04-08 20:56:57, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.0209, 	431.004, 	0.891370%, 	0.510000%, 	0.381370%
2020-04-08 20:57:12, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.0209, 	431.004, 	0.891370%, 	0.510000%, 	0.381370%
2020-04-08 20:57:27, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.0209, 	431.004, 	0.891370%, 	0.510000%, 	0.381370%
2020-04-08 20:57:42, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.0209, 	431.004, 	0.891370%, 	0.510000%, 	0.381370%
2020-04-08 20:57:57, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	339.483, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 20:58:12, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	765.854, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 20:58:27, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	765.854, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 20:58:42, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	765.854, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 20:58:57, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	765.854, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 20:59:12, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	765.854, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 20:59:27, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	765.854, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 20:59:42, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	765.854, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 20:59:57, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	765.854, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 21:00:12, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	763.618, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 21:00:27, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	763.618, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 21:00:42, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	763.618, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 21:00:57, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	763.618, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 21:01:12, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	763.618, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 21:01:27, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	763.618, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 21:01:42, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	763.618, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 21:01:57, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	763.618, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 21:02:12, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	763.618, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 21:02:27, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	763.618, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 21:02:42, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	763.618, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 21:02:57, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	763.618, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 21:03:12, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	763.618, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 21:03:27, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	763.618, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 21:03:42, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	763.618, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 21:03:57, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	763.618, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 21:04:12, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	763.618, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 21:04:27, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	763.618, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 21:04:42, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	763.618, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 21:04:57, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	763.618, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 21:05:12, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	763.618, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 21:05:27, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	763.618, 	0.749261%, 	0.510000%, 	0.239261%
2020-04-08 21:05:42, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02234, 	763.618, 	0.749261%, 	0.510000%, 	0.239261%
