2020-04-10 14:05:51, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.64, 	6.06, 	127.01, 	1.9, 	0.496024%, 	0.460000%, 	0.036024%
2020-04-10 14:06:06, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.64, 	6.06, 	127.04, 	166.9968, 	0.472292%, 	0.460000%, 	0.012292%
2020-04-10 14:06:21, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.68, 	6.06, 	127.04, 	17.3772, 	0.503778%, 	0.460000%, 	0.043778%
2020-04-10 14:06:36, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.68, 	6.06, 	127.03, 	12.001, 	0.511690%, 	0.460000%, 	0.051690%
2020-04-10 14:06:51, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.72, 	6.782, 	127.11, 	31.2641653, 	0.479899%, 	0.460000%, 	0.019899%
2020-04-10 14:07:06, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.73, 	6.06, 	127.11, 	31.0, 	0.487767%, 	0.460000%, 	0.027767%
2020-04-10 14:07:21, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.73, 	6.06, 	127.03, 	31.0, 	0.551051%, 	0.460000%, 	0.091051%
2020-04-10 14:07:36, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.73, 	6.06, 	127.03, 	29.36684243, 	0.551051%, 	0.460000%, 	0.091051%
2020-04-10 14:07:51, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.63, 	6.06, 	127.03, 	1045.16684243, 	0.472329%, 	0.460000%, 	0.012329%
2020-04-10 14:08:06, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.63, 	6.06, 	127.03, 	334.06684243, 	0.472329%, 	0.460000%, 	0.012329%
2020-04-10 14:08:21, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.63, 	6.06, 	127.03, 	104.14264243, 	0.472329%, 	0.460000%, 	0.012329%
2020-04-10 14:08:36, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.63, 	6.06, 	127.03, 	141.64264243, 	0.472329%, 	0.460000%, 	0.012329%
2020-04-10 14:08:51, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.63, 	6.06, 	127.03, 	104.14264243, 	0.472329%, 	0.460000%, 	0.012329%
2020-04-10 14:09:06, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.65, 	6.06, 	127.03, 	104.14264243, 	0.488074%, 	0.460000%, 	0.028074%
2020-04-10 14:09:21, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.63, 	6.06, 	127.03, 	113.08525532, 	0.472329%, 	0.460000%, 	0.012329%
