2020-04-08 18:08:21, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	586.4, 	0.00015951, 	3.41040097, 	0.244499%, 	0.190000%, 	0.054499%
2020-04-08 18:08:36, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	586.4, 	0.00015951, 	3.41040097, 	0.244499%, 	0.190000%, 	0.054499%
2020-04-08 18:08:51, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	586.4, 	0.00015951, 	3.41040097, 	0.244499%, 	0.190000%, 	0.054499%
2020-04-08 18:09:06, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	586.4, 	0.00015951, 	3.41040097, 	0.244499%, 	0.190000%, 	0.054499%
2020-04-08 18:09:21, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	586.4, 	0.00015951, 	3.41040097, 	0.244499%, 	0.190000%, 	0.054499%
2020-04-08 18:09:36, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	586.4, 	0.00015951, 	3.41040097, 	0.244499%, 	0.190000%, 	0.054499%
2020-04-08 18:09:51, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	595.06, 	0.00015951, 	3.41040097, 	0.244499%, 	0.190000%, 	0.054499%
2020-04-08 18:10:06, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	595.06, 	0.00015951, 	3.41040097, 	0.244499%, 	0.190000%, 	0.054499%
2020-04-08 18:10:21, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	318.25, 	0.00015951, 	3.41040097, 	0.244499%, 	0.190000%, 	0.054499%
2020-04-08 18:10:36, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	318.25, 	0.00015951, 	3.41040097, 	0.244499%, 	0.190000%, 	0.054499%
2020-04-08 18:10:51, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	318.25, 	0.00015951, 	3.41040097, 	0.244499%, 	0.190000%, 	0.054499%
2020-04-08 18:11:06, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	318.25, 	0.00015951, 	3.41040097, 	0.244499%, 	0.190000%, 	0.054499%
2020-04-08 18:11:21, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	318.25, 	0.00015951, 	4.09222036, 	0.244499%, 	0.190000%, 	0.054499%
2020-04-08 18:11:36, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.00016, 	6.49, 	0.00015951, 	4.09222036, 	0.307191%, 	0.190000%, 	0.117191%
2020-04-08 18:11:51, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.00016, 	6.49, 	0.00015951, 	4.09222036, 	0.307191%, 	0.190000%, 	0.117191%
2020-04-08 18:12:06, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.00016, 	6.49, 	0.00015951, 	4.09222036, 	0.307191%, 	0.190000%, 	0.117191%
2020-04-08 18:12:21, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.00016, 	6.49, 	0.00015951, 	4.09222036, 	0.307191%, 	0.190000%, 	0.117191%
2020-04-08 18:12:36, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.00016, 	6.49, 	0.00015951, 	4.09222036, 	0.307191%, 	0.190000%, 	0.117191%
2020-04-08 18:12:51, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.00016, 	6.49, 	0.00015951, 	4.09222036, 	0.307191%, 	0.190000%, 	0.117191%
2020-04-08 18:13:06, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.00016, 	6.49, 	0.00015951, 	4.09222036, 	0.307191%, 	0.190000%, 	0.117191%
2020-04-08 18:13:21, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.00016, 	6.49, 	0.00015951, 	4.09222036, 	0.307191%, 	0.190000%, 	0.117191%
2020-04-08 18:13:36, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.00016, 	6.49, 	0.00015951, 	4.09222036, 	0.307191%, 	0.190000%, 	0.117191%
2020-04-08 18:13:51, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001605, 	336.26, 	0.00015951, 	4.09222036, 	0.620651%, 	0.190000%, 	0.430651%
2020-04-08 18:14:06, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001606, 	36.8, 	0.00016029, 	0.67674454, 	0.193399%, 	0.190000%, 	0.003399%
2020-04-08 18:14:21, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001599, 	27.83, 	0.00016029, 	0.67674454, 	-0.243309%, 	0.190000%, 	-0.433309%
2020-04-08 18:42:17, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:42:32, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:42:47, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:43:02, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:43:17, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:43:32, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:43:47, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:44:02, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:44:17, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:44:32, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:44:47, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:45:02, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:45:17, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:45:32, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:45:47, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:46:02, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:46:17, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:46:32, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:46:47, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:47:02, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:47:17, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:47:32, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:47:47, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:48:02, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:48:17, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:48:32, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:48:47, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:49:02, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:49:17, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:49:32, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:49:47, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:50:02, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:50:17, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:50:32, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:50:47, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:51:02, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001607, 	0.63, 	0.00016029, 	0.07608324, 	0.255786%, 	0.190000%, 	0.065786%
2020-04-08 18:51:17, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001603, 	0.63, 	0.00016029, 	0.07608324, 	0.006239%, 	0.190000%, 	-0.183761%
2020-04-09 01:09:31, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001712, 	39.0, 	0.00016987, 	0.00692914, 	0.782952%, 	0.190000%, 	0.592952%
2020-04-09 01:09:46, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001712, 	58.76, 	0.00016987, 	0.00692914, 	0.782952%, 	0.190000%, 	0.592952%
2020-04-09 01:10:01, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001712, 	224.98, 	0.00016987, 	0.00692914, 	0.782952%, 	0.190000%, 	0.592952%
