2020-04-10 08:12:48, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.31e-06, 	10.28453922, 	8.24e-06, 	42.0, 	0.849515%, 	0.350000%, 	0.499515%
2020-04-10 08:13:03, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.31e-06, 	10.28453922, 	8.24e-06, 	42.0, 	0.849515%, 	0.350000%, 	0.499515%
2020-04-10 08:13:18, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.31e-06, 	10.28453922, 	8.24e-06, 	42.0, 	0.849515%, 	0.350000%, 	0.499515%
2020-04-10 08:13:33, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.31e-06, 	10.28453922, 	8.24e-06, 	42.0, 	0.849515%, 	0.350000%, 	0.499515%
2020-04-10 08:13:48, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.31e-06, 	10.28453922, 	8.24e-06, 	22490.0, 	0.849515%, 	0.350000%, 	0.499515%
2020-04-10 08:14:03, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.31e-06, 	10.28453922, 	8.24e-06, 	22490.0, 	0.849515%, 	0.350000%, 	0.499515%
2020-04-10 08:14:18, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.31e-06, 	10.28453922, 	8.24e-06, 	22490.0, 	0.849515%, 	0.350000%, 	0.499515%
2020-04-10 08:14:33, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.31e-06, 	10.28453922, 	8.24e-06, 	6871.0, 	0.849515%, 	0.350000%, 	0.499515%
2020-04-10 08:14:48, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.31e-06, 	10.28453922, 	8.24e-06, 	6871.0, 	0.849515%, 	0.350000%, 	0.499515%
2020-04-10 08:15:03, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.31e-06, 	10.28453922, 	8.24e-06, 	6871.0, 	0.849515%, 	0.350000%, 	0.499515%
2020-04-10 08:15:18, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.31e-06, 	10.28453922, 	8.24e-06, 	6871.0, 	0.849515%, 	0.350000%, 	0.499515%
2020-04-10 08:15:33, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.31e-06, 	10.28453922, 	8.24e-06, 	6871.0, 	0.849515%, 	0.350000%, 	0.499515%
2020-04-10 08:15:48, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.31e-06, 	10.28453922, 	8.24e-06, 	6871.0, 	0.849515%, 	0.350000%, 	0.499515%
2020-04-10 08:16:03, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.31e-06, 	10.28453922, 	8.24e-06, 	6871.0, 	0.849515%, 	0.350000%, 	0.499515%
2020-04-10 08:16:18, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.31e-06, 	10.28453922, 	8.24e-06, 	6871.0, 	0.849515%, 	0.350000%, 	0.499515%
2020-04-10 08:16:33, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.31e-06, 	10.28453922, 	8.24e-06, 	5435.0, 	0.849515%, 	0.350000%, 	0.499515%
2020-04-10 08:16:48, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.31e-06, 	10.28453922, 	8.24e-06, 	5435.0, 	0.849515%, 	0.350000%, 	0.499515%
2020-04-10 08:17:03, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.31e-06, 	10.28453922, 	8.24e-06, 	5435.0, 	0.849515%, 	0.350000%, 	0.499515%
2020-04-10 08:17:18, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.31e-06, 	10.28453922, 	8.24e-06, 	5435.0, 	0.849515%, 	0.350000%, 	0.499515%
2020-04-10 08:17:33, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.27e-06, 	0.25219338, 	8.2e-06, 	11797.0, 	0.853659%, 	0.350000%, 	0.503659%
2020-04-10 08:17:48, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.2e-06, 	73.80030487, 	8.22e-06, 	42.0, 	-0.243309%, 	0.350000%, 	-0.593309%
