2020-04-07 22:10:51, 	Binance     , 	OKEX        , 	XMR/USDT, 	54.94, 	0.96901, 	53.66, 	28.68954, 	2.385389%, 	0.250000%, 	2.135389%
2020-04-07 22:11:21, 	Binance     , 	OKEX        , 	XMR/USDT, 	54.98, 	0.5, 	53.66, 	6.5, 	2.459933%, 	0.250000%, 	2.209933%
2020-04-07 22:11:51, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.01, 	52.98449, 	53.66, 	2.85868, 	2.515840%, 	0.250000%, 	2.265840%
2020-04-07 22:12:21, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.06, 	40.97035, 	53.66, 	21.5226, 	2.609020%, 	0.250000%, 	2.359020%
2020-04-07 22:12:51, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.12, 	42.76495, 	53.66, 	0.2, 	2.720835%, 	0.250000%, 	2.470835%
2020-04-07 22:13:21, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.15, 	21.89991, 	53.74, 	9.51937, 	2.623744%, 	0.250000%, 	2.373744%
2020-04-07 22:13:51, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.16, 	57.91529, 	53.74, 	36.24, 	2.642352%, 	0.250000%, 	2.392352%
2020-04-07 22:14:21, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.17, 	10.16979, 	53.74, 	58.95548, 	2.660960%, 	0.250000%, 	2.410960%
2020-04-07 22:14:51, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.32, 	15.4932, 	53.74, 	8.87799, 	2.940082%, 	0.250000%, 	2.690082%
2020-04-07 22:15:21, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.3, 	22.26886, 	53.74, 	5.67911, 	2.902866%, 	0.250000%, 	2.652866%
2020-04-07 22:15:51, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.34, 	31.73138, 	53.74, 	4.84091, 	2.977298%, 	0.250000%, 	2.727298%
2020-04-07 22:16:21, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.39, 	24.2229, 	53.74, 	18.5, 	3.070339%, 	0.250000%, 	2.820339%
2020-04-07 22:16:51, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.42, 	9.02812, 	53.74, 	43.26938, 	3.126163%, 	0.250000%, 	2.876163%
2020-04-07 22:17:21, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.39, 	20.69601, 	53.81, 	6.40277, 	2.936257%, 	0.250000%, 	2.686257%
2020-04-07 22:17:51, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.3, 	27.11719, 	53.81, 	21.82652, 	2.769002%, 	0.250000%, 	2.519002%
2020-04-07 22:18:21, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.31, 	8.56053, 	53.81, 	23.67709, 	2.787586%, 	0.250000%, 	2.537586%
2020-04-07 22:18:51, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.32, 	0.4682, 	53.81, 	1.70953, 	2.806170%, 	0.250000%, 	2.556170%
2020-04-07 22:19:21, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.34, 	0.45269, 	53.81, 	8.08196, 	2.843338%, 	0.250000%, 	2.593338%
2020-04-07 22:19:51, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.32, 	0.97861, 	53.81, 	52.99621, 	2.806170%, 	0.250000%, 	2.556170%
2020-04-07 22:20:21, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.36, 	0.61174, 	53.81, 	29.8009, 	2.880505%, 	0.250000%, 	2.630505%
2020-04-07 22:20:51, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.4, 	0.87982, 	53.81, 	29.79021, 	2.954841%, 	0.250000%, 	2.704841%
2020-04-07 22:21:21, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.38, 	11.06196, 	53.81, 	26.95681, 	2.917673%, 	0.250000%, 	2.667673%
2020-04-07 22:21:51, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.39, 	0.56058, 	53.81, 	42.75696, 	2.936257%, 	0.250000%, 	2.686257%
2020-04-07 22:22:21, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.39, 	0.55891, 	53.81, 	42.65152, 	2.936257%, 	0.250000%, 	2.686257%
2020-04-07 22:22:51, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.39, 	0.55477, 	53.81, 	36.05, 	2.936257%, 	0.250000%, 	2.686257%
2020-04-07 22:23:21, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.4, 	0.55334, 	53.96, 	42.57778, 	2.668643%, 	0.250000%, 	2.418643%
2020-04-07 22:23:51, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.47, 	0.00061, 	54.31, 	78.83649, 	2.135887%, 	0.250000%, 	1.885887%
2020-04-07 22:24:21, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.47, 	0.00061, 	54.37, 	36.85323, 	2.023175%, 	0.250000%, 	1.773175%
2020-04-07 22:24:51, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.48, 	0.00047, 	54.31, 	19.56518, 	2.154299%, 	0.250000%, 	1.904299%
2020-04-07 22:25:21, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.48, 	0.00047, 	54.33, 	19.56518, 	2.116694%, 	0.250000%, 	1.866694%
2020-04-07 22:25:51, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.43, 	18.03686, 	54.27, 	53.22965, 	2.137461%, 	0.250000%, 	1.887461%
2020-04-07 22:26:21, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.41, 	0.87904, 	54.27, 	41.67742, 	2.100608%, 	0.250000%, 	1.850608%
2020-04-07 22:26:51, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.41, 	0.87927, 	54.26, 	23.11449, 	2.119425%, 	0.250000%, 	1.869425%
2020-04-07 22:27:21, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.35, 	0.87973, 	54.26, 	0.00018, 	2.008846%, 	0.250000%, 	1.758846%
2020-04-07 22:27:51, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.45, 	0.47582, 	54.26, 	9.26461, 	2.193144%, 	0.250000%, 	1.943144%
2020-04-07 22:28:21, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.49, 	19.15012, 	54.26, 	0.32022, 	2.266863%, 	0.250000%, 	2.016863%
2020-04-07 22:28:51, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.49, 	19.87531, 	54.26, 	0.32022, 	2.266863%, 	0.250000%, 	2.016863%
2020-04-07 22:29:21, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.5, 	23.64781, 	54.26, 	35.09388, 	2.285293%, 	0.250000%, 	2.035293%
2020-04-07 22:29:51, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.51, 	16.33857, 	54.26, 	1.83137, 	2.303723%, 	0.250000%, 	2.053723%
2020-04-07 22:30:21, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.49, 	42.70243, 	54.26, 	7.60538, 	2.266863%, 	0.250000%, 	2.016863%
2020-04-07 22:30:51, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.49, 	42.32485, 	54.26, 	3.77137, 	2.266863%, 	0.250000%, 	2.016863%
2020-04-07 22:31:21, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.49, 	42.37216, 	54.26, 	4.1573, 	2.266863%, 	0.250000%, 	2.016863%
