2020-04-08 18:37:58, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034161, 	59.088, 	0.034042, 	126.27, 	0.349568%, 	0.360000%, 	-0.010432%
2020-04-08 18:46:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034181, 	59.053, 	0.034009, 	5.23, 	0.505748%, 	0.360000%, 	0.145748%
2020-04-08 18:47:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034181, 	59.053, 	0.034009, 	5.23, 	0.505748%, 	0.360000%, 	0.145748%
2020-04-08 18:47:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034181, 	59.053, 	0.034009, 	5.23, 	0.505748%, 	0.360000%, 	0.145748%
2020-04-08 18:47:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034181, 	59.053, 	0.034009, 	5.23, 	0.505748%, 	0.360000%, 	0.145748%
2020-04-08 18:47:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034181, 	59.053, 	0.034009, 	5.23, 	0.505748%, 	0.360000%, 	0.145748%
2020-04-08 18:48:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034181, 	59.053, 	0.034046, 	5.21, 	0.396522%, 	0.360000%, 	0.036522%
2020-04-08 18:48:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034181, 	59.053, 	0.034038, 	126.28, 	0.420119%, 	0.360000%, 	0.060119%
2020-04-08 18:48:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034181, 	59.053, 	0.03402, 	86.55, 	0.473251%, 	0.360000%, 	0.113251%
2020-04-08 18:48:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034181, 	59.053, 	0.034007, 	126.4, 	0.511659%, 	0.360000%, 	0.151659%
2020-04-08 18:49:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034183, 	59.05, 	0.033991, 	126.47, 	0.564855%, 	0.360000%, 	0.204855%
2020-04-08 18:49:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034183, 	59.05, 	0.033966, 	258.18, 	0.638874%, 	0.360000%, 	0.278874%
2020-04-08 18:49:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034184, 	59.048, 	0.033952, 	15.04, 	0.683318%, 	0.360000%, 	0.323318%
