2020-04-07 21:53:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33494722, 	55.92575532, 	0.329, 	4.524, 	1.807666%, 	0.400000%, 	1.407666%
2020-04-07 21:53:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.3350313, 	0.35477086, 	0.329, 	4.524, 	1.833222%, 	0.400000%, 	1.433222%
2020-04-07 21:54:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33503137, 	0.35434947, 	0.329, 	15.7348752, 	1.833243%, 	0.400000%, 	1.433243%
2020-04-07 21:54:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33548231, 	80.900352, 	0.329, 	4.523, 	1.970307%, 	0.400000%, 	1.570307%
2020-04-07 21:55:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33549044, 	2.08298112, 	0.329, 	4.522, 	1.972778%, 	0.400000%, 	1.572778%
2020-04-07 21:55:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.3355553, 	4.52, 	0.329, 	4.522, 	1.992492%, 	0.400000%, 	1.592492%
2020-04-07 21:56:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33555535, 	58.108093, 	0.329, 	4.522, 	1.992508%, 	0.400000%, 	1.592508%
2020-04-07 21:56:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33555549, 	88.550652, 	0.329, 	4.522, 	1.992550%, 	0.400000%, 	1.592550%
2020-04-07 21:57:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33555563, 	98.56165476, 	0.329, 	16.22051101, 	1.992593%, 	0.400000%, 	1.592593%
2020-04-07 21:57:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33603677, 	4.90644853, 	0.329, 	4.52, 	2.138836%, 	0.400000%, 	1.738836%
2020-04-07 21:58:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33610318, 	2.02511853, 	0.329, 	4.5974, 	2.159021%, 	0.400000%, 	1.759021%
2020-04-07 21:58:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33610328, 	25.571181, 	0.329, 	0.0774, 	2.159052%, 	0.400000%, 	1.759052%
2020-04-07 21:59:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33610338, 	0.38659793, 	0.329, 	0.0774, 	2.159082%, 	0.400000%, 	1.759082%
2020-04-07 21:59:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33603665, 	4.91259793, 	0.329, 	0.0774, 	2.138799%, 	0.400000%, 	1.738799%
2020-04-07 22:00:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.336552, 	62.0, 	0.329, 	4.30028912, 	2.295441%, 	0.400000%, 	1.895441%
2020-04-07 22:00:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33659814, 	62.0, 	0.329, 	1.99533286, 	2.309465%, 	0.400000%, 	1.909465%
2020-04-07 22:01:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33659814, 	0.0774, 	0.329, 	69.15151686, 	2.309465%, 	0.400000%, 	1.909465%
2020-04-07 22:01:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.3366318, 	0.0774, 	0.329, 	16.51189872, 	2.319696%, 	0.400000%, 	1.919696%
2020-04-07 22:02:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33666546, 	0.0774, 	0.329, 	4.541, 	2.329927%, 	0.400000%, 	1.929927%
2020-04-07 22:02:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33669913, 	0.0775, 	0.329, 	4.54, 	2.340161%, 	0.400000%, 	1.940161%
2020-04-07 22:03:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.3367328, 	0.0775, 	0.329, 	4.54, 	2.350395%, 	0.400000%, 	1.950395%
2020-04-07 22:03:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33676647, 	0.0776, 	0.329, 	4.544, 	2.360629%, 	0.400000%, 	1.960629%
2020-04-07 22:04:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.329, 	4.543, 	1.962176%, 	0.400000%, 	1.562176%
2020-04-07 22:04:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.329, 	4.543, 	1.962176%, 	0.400000%, 	1.562176%
2020-04-07 22:05:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.329, 	4.546, 	1.962176%, 	0.400000%, 	1.562176%
2020-04-07 22:05:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.332, 	4.546, 	1.040831%, 	0.400000%, 	0.640831%
2020-04-07 22:06:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.332, 	4.546, 	1.040831%, 	0.400000%, 	0.640831%
2020-04-07 22:06:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33567783, 	4.545, 	0.332, 	4.544, 	1.107780%, 	0.400000%, 	0.707780%
2020-04-07 22:07:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33567784, 	15.458341, 	0.332, 	4.544, 	1.107783%, 	0.400000%, 	0.707783%
2020-04-07 22:07:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.332, 	15.88176202, 	1.040831%, 	0.400000%, 	0.640831%
2020-04-07 22:08:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.332, 	4.557, 	1.040831%, 	0.400000%, 	0.640831%
2020-04-07 22:08:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.332, 	4.548, 	1.040831%, 	0.400000%, 	0.640831%
2020-04-07 22:09:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.332, 	4.556, 	1.040831%, 	0.400000%, 	0.640831%
2020-04-07 22:09:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.332, 	4.557, 	1.040831%, 	0.400000%, 	0.640831%
2020-04-07 22:10:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.332, 	4.557, 	1.040831%, 	0.400000%, 	0.640831%
2020-04-07 22:10:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.332, 	4.557, 	1.040831%, 	0.400000%, 	0.640831%
2020-04-07 22:11:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.332, 	6.139891, 	1.040831%, 	0.400000%, 	0.640831%
2020-04-07 22:11:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.332, 	35.327378, 	1.040831%, 	0.400000%, 	0.640831%
2020-04-07 22:12:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.332, 	4.538, 	1.040831%, 	0.400000%, 	0.640831%
2020-04-07 22:12:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.332, 	4.538, 	1.040831%, 	0.400000%, 	0.640831%
2020-04-07 22:13:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.332, 	4.538, 	1.040831%, 	0.400000%, 	0.640831%
2020-04-07 22:13:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.332, 	4.53, 	1.040831%, 	0.400000%, 	0.640831%
2020-04-07 22:14:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.332, 	4.528, 	1.040831%, 	0.400000%, 	0.640831%
2020-04-07 22:14:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.332, 	4.522, 	1.040831%, 	0.400000%, 	0.640831%
2020-04-07 22:15:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.332, 	4.522, 	1.040831%, 	0.400000%, 	0.640831%
2020-04-07 22:15:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.332, 	4.522, 	1.040831%, 	0.400000%, 	0.640831%
