2020-04-08 10:31:13, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:31:28, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:31:43, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.84e-06, 	349.5, 	1.302083%, 	0.350000%, 	0.952083%
2020-04-08 10:31:58, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:32:13, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:32:28, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:32:43, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:32:58, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:33:13, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:33:28, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:33:43, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:33:58, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:34:13, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:34:28, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.84e-06, 	349.5, 	1.302083%, 	0.350000%, 	0.952083%
2020-04-08 10:34:43, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:34:58, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.84e-06, 	349.5, 	1.302083%, 	0.350000%, 	0.952083%
2020-04-08 10:35:13, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.84e-06, 	349.5, 	1.302083%, 	0.350000%, 	0.952083%
2020-04-08 10:35:28, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:35:43, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:35:58, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:36:13, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:36:28, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	706.0, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:36:43, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.84e-06, 	706.0, 	1.302083%, 	0.350000%, 	0.952083%
2020-04-08 10:36:58, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	674.8, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:37:13, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	674.8, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:37:28, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	674.8, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:37:43, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	674.8, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:37:58, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	674.8, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:38:13, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:38:28, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	365.3, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:38:43, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	365.3, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:38:58, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	365.3, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:39:13, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	365.3, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:39:28, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	365.3, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:39:43, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	365.3, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:39:58, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:40:13, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	335.2, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:40:28, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	335.2, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:40:43, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	335.2, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:40:58, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	335.2, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:41:13, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	281.9, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:41:28, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	530.0, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:41:43, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	281.9, 	1.038961%, 	0.350000%, 	0.688961%
