2020-04-08 21:45:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	3269.6, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:46:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	3269.6, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:46:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:46:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:46:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:47:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:47:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:47:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:47:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:48:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:48:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:48:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:48:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:49:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:49:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:49:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:49:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:50:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:50:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:50:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:50:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:51:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:51:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:51:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:51:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:52:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:52:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:52:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:52:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:53:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:53:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:53:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:53:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:54:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:54:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:54:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:54:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:55:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:55:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:55:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:55:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:56:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:56:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:56:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:56:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:57:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:57:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:57:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:57:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:58:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:58:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:58:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:58:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:59:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:59:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:59:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 21:59:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:00:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:00:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:00:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:00:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:01:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
