2020-04-09 12:58:32, 	Poloniex    , 	Binance     , 	XTZ/USDT, 	2.04768353, 	216.9356279, 	2.0344, 	9.33, 	0.652946%, 	0.190000%, 	0.462946%
2020-04-09 12:58:47, 	Poloniex    , 	Binance     , 	XTZ/USDT, 	2.04768397, 	12.64778672, 	2.0365, 	1238.0, 	0.549176%, 	0.190000%, 	0.359176%
2020-04-09 12:59:02, 	Poloniex    , 	Binance     , 	XTZ/USDT, 	2.00479968, 	4902.0, 	2.0426, 	6606.11, 	-1.850598%, 	0.190000%, 	-2.040598%
