2020-04-09 00:41:28, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	11.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:41:43, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	11.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:41:58, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	11.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:42:13, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	11.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:42:28, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	11.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:42:43, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	11.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:42:58, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	11.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:43:13, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	11.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:43:28, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	11.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:43:43, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	11.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:43:58, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	11.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:44:13, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	11.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:44:28, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	11.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:44:43, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	11.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:44:58, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	11.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:45:13, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	11.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:45:28, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	11.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:45:43, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	11.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:45:58, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	11.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:46:13, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	11.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:46:28, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	11.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:46:43, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	11.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:46:58, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	11.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:47:13, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	11.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
