2020-04-08 10:03:21, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	127.0, 	155.21, 	4.3, 	0.844018%, 	0.600000%, 	0.244018%
2020-04-08 10:03:36, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	7.39898632, 	155.14, 	0.7, 	0.889519%, 	0.600000%, 	0.289519%
2020-04-08 10:03:51, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	45.5851494, 	155.25, 	2.68, 	0.818035%, 	0.600000%, 	0.218035%
2020-04-08 10:04:06, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	6.04, 	155.13, 	0.7, 	0.896023%, 	0.600000%, 	0.296023%
2020-04-08 10:04:21, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	6.01979148, 	155.17, 	108.3400369, 	0.870014%, 	0.600000%, 	0.270014%
2020-04-08 10:04:36, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	39.39791905, 	155.1, 	233.56635779, 	0.915538%, 	0.600000%, 	0.315538%
2020-04-08 10:04:51, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	4.32576267, 	155.08, 	106.9, 	0.928553%, 	0.600000%, 	0.328553%
2020-04-08 10:05:06, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	15.0, 	155.21, 	14.23368641, 	0.844018%, 	0.600000%, 	0.244018%
2020-04-08 10:05:21, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	79.96902328, 	155.29, 	0.36, 	0.792066%, 	0.600000%, 	0.192066%
2020-04-08 10:05:36, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	0.3561328, 	155.15, 	16.01910762, 	0.883016%, 	0.600000%, 	0.283016%
2020-04-08 10:05:51, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	48.80550484, 	155.2, 	4.24, 	0.850515%, 	0.600000%, 	0.250515%
2020-04-08 10:06:06, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	48.61868032, 	155.2, 	4.24, 	0.850515%, 	0.600000%, 	0.250515%
2020-04-08 10:06:21, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	4.51, 	155.19, 	106.8, 	0.857014%, 	0.600000%, 	0.257014%
2020-04-08 10:06:36, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	155.97, 	41.856537, 	155.18, 	84.0, 	0.509086%, 	0.600000%, 	-0.090914%
2020-04-08 13:23:56, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	155.97, 	1.06315779, 	154.93, 	31.06, 	0.671271%, 	0.600000%, 	0.071271%
2020-04-08 13:24:11, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	155.97, 	1.06315779, 	154.87, 	79.653, 	0.710273%, 	0.600000%, 	0.110273%
2020-04-08 13:24:26, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	155.97, 	18.463, 	155.08, 	17.46, 	0.573897%, 	0.600000%, 	-0.026103%
2020-04-08 13:31:10, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	155.97, 	0.0177669, 	154.97, 	5.572, 	0.645286%, 	0.600000%, 	0.045286%
2020-04-08 13:31:25, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	155.97, 	35.9214803, 	155.15, 	9.93114742, 	0.528521%, 	0.600000%, 	-0.071479%
2020-04-08 14:11:28, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	57.25558905, 	155.52, 	40.06, 	0.643004%, 	0.600000%, 	0.043004%
2020-04-08 14:11:43, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	21.79835959, 	155.56, 	40.06, 	0.617125%, 	0.600000%, 	0.017125%
2020-04-08 14:11:58, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	1.8, 	155.51, 	0.13393333, 	0.649476%, 	0.600000%, 	0.049476%
2020-04-08 14:12:13, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	1.8, 	155.51, 	0.13393333, 	0.649476%, 	0.600000%, 	0.049476%
2020-04-08 14:12:28, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	2.61490941, 	155.46, 	4.122, 	0.681847%, 	0.600000%, 	0.081847%
2020-04-08 14:12:43, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	1.6145465, 	155.45, 	1.604, 	0.688324%, 	0.600000%, 	0.088324%
2020-04-08 14:12:58, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	57.0, 	155.44, 	0.56, 	0.694802%, 	0.600000%, 	0.094802%
2020-04-08 14:13:13, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	36.35428806, 	155.44, 	0.52800183, 	0.694802%, 	0.600000%, 	0.094802%
2020-04-08 14:13:28, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	40.01431754, 	155.44, 	0.52800183, 	0.694802%, 	0.600000%, 	0.094802%
2020-04-08 14:13:43, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	37.60530298, 	155.44, 	0.0626137, 	0.694802%, 	0.600000%, 	0.094802%
2020-04-08 14:13:58, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	1.8, 	155.4, 	76.46389642, 	0.720721%, 	0.600000%, 	0.120721%
2020-04-08 14:14:13, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	6.3, 	155.52, 	37.62142462, 	0.643004%, 	0.600000%, 	0.043004%
2020-04-08 14:14:28, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	4.24, 	155.39, 	77.78274503, 	0.727203%, 	0.600000%, 	0.127203%
