2020-04-10 10:21:20, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.78e-05, 	300.0, 	0.530973%, 	0.190000%, 	0.340973%
2020-04-10 10:21:35, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.78e-05, 	300.0, 	0.530973%, 	0.190000%, 	0.340973%
2020-04-10 10:21:50, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.78e-05, 	300.0, 	0.530973%, 	0.190000%, 	0.340973%
2020-04-10 10:22:05, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.78e-05, 	300.0, 	0.530973%, 	0.190000%, 	0.340973%
2020-04-10 10:22:20, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.78e-05, 	300.0, 	0.530973%, 	0.190000%, 	0.340973%
2020-04-10 10:22:35, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.78e-05, 	300.0, 	0.530973%, 	0.190000%, 	0.340973%
2020-04-10 10:22:50, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.78e-05, 	300.0, 	0.530973%, 	0.190000%, 	0.340973%
2020-04-10 10:23:05, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.774e-05, 	37.0, 	0.620018%, 	0.190000%, 	0.430018%
2020-04-10 10:23:20, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.774e-05, 	37.0, 	0.620018%, 	0.190000%, 	0.430018%
2020-04-10 10:23:35, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.774e-05, 	37.0, 	0.620018%, 	0.190000%, 	0.430018%
2020-04-10 10:23:50, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.774e-05, 	37.0, 	0.620018%, 	0.190000%, 	0.430018%
