2020-04-08 18:31:45, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.871, 	10.235, 	5.8204, 	81.6, 	0.869356%, 	0.460000%, 	0.409356%
2020-04-08 18:32:00, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.871, 	79.461, 	5.8189, 	300.0, 	0.895358%, 	0.460000%, 	0.435358%
2020-04-08 18:32:15, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.867, 	60.102, 	5.8187, 	80.0, 	0.830082%, 	0.460000%, 	0.370082%
2020-04-08 18:32:30, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.871, 	60.061, 	5.8135, 	42.4, 	0.989077%, 	0.460000%, 	0.529077%
2020-04-08 18:32:45, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.867, 	78.502, 	5.8082, 	13.6, 	1.012362%, 	0.460000%, 	0.552362%
2020-04-08 18:33:00, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.867, 	78.502, 	5.8105, 	57.96355057, 	0.972378%, 	0.460000%, 	0.512378%
2020-04-08 18:33:15, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.867, 	60.102, 	5.8083, 	300.0, 	1.010623%, 	0.460000%, 	0.550623%
2020-04-08 18:33:30, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.867, 	60.102, 	5.8072, 	69.6, 	1.029756%, 	0.460000%, 	0.569756%
2020-04-08 18:33:45, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.867, 	70.307, 	5.8084, 	16.8, 	1.008884%, 	0.460000%, 	0.548884%
2020-04-08 18:34:00, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.867, 	70.307, 	5.8086, 	3113.61531483, 	1.005406%, 	0.460000%, 	0.545406%
2020-04-08 18:34:15, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.867, 	70.307, 	5.8075, 	300.0, 	1.024537%, 	0.460000%, 	0.564537%
2020-04-08 18:34:30, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.868, 	60.091, 	5.806, 	130.91203285, 	1.067861%, 	0.460000%, 	0.607861%
2020-04-08 18:34:45, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.868, 	10.206, 	5.8013, 	44.0, 	1.149742%, 	0.460000%, 	0.689742%
2020-04-08 18:35:00, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.868, 	10.206, 	5.802, 	857.22783165, 	1.137539%, 	0.460000%, 	0.677539%
2020-04-08 18:35:15, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.868, 	10.206, 	5.8091, 	2239.65869302, 	1.013926%, 	0.460000%, 	0.553926%
2020-04-08 18:35:30, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.868, 	10.206, 	5.8076, 	65.71758165, 	1.040017%, 	0.460000%, 	0.580017%
2020-04-08 18:35:45, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.868, 	10.206, 	5.8069, 	100.0, 	1.052197%, 	0.460000%, 	0.592197%
2020-04-08 18:36:00, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.868, 	10.206, 	5.8037, 	63.93490132, 	1.107914%, 	0.460000%, 	0.647914%
2020-04-08 18:36:15, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.868, 	10.206, 	5.8056, 	3120.19634226, 	1.074824%, 	0.460000%, 	0.614824%
2020-04-08 18:36:30, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.868, 	10.206, 	5.8033, 	23.2, 	1.114883%, 	0.460000%, 	0.654883%
2020-04-08 18:36:45, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.868, 	10.206, 	5.8045, 	61.60008347, 	1.093979%, 	0.460000%, 	0.633979%
2020-04-08 18:37:00, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.868, 	10.206, 	5.8031, 	100.0, 	1.118368%, 	0.460000%, 	0.658368%
2020-04-08 18:37:15, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.868, 	8.206, 	5.7994, 	100.0, 	1.182881%, 	0.460000%, 	0.722881%
2020-04-08 18:37:30, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.868, 	8.206, 	5.8015, 	80.0, 	1.146255%, 	0.460000%, 	0.686255%
2020-04-08 18:37:45, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.868, 	26.006, 	5.8075, 	80.0, 	1.041756%, 	0.460000%, 	0.581756%
2020-04-08 18:38:00, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.868, 	26.006, 	5.8056, 	84.8, 	1.074824%, 	0.460000%, 	0.614824%
2020-04-08 18:38:15, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.828, 	60.504, 	5.8048, 	16.8, 	0.399669%, 	0.460000%, 	-0.060331%
2020-04-08 18:42:00, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.868, 	451.978, 	5.8088, 	74.45908845, 	1.019143%, 	0.460000%, 	0.559143%
2020-04-08 18:42:15, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.866, 	45.183, 	5.8088, 	0.771982, 	0.984713%, 	0.460000%, 	0.524713%
2020-04-08 18:42:30, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.865, 	60.122, 	5.8088, 	0.771982, 	0.967498%, 	0.460000%, 	0.507498%
2020-04-08 18:42:45, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.865, 	60.122, 	5.8087, 	73.45086272, 	0.969236%, 	0.460000%, 	0.509236%
2020-04-08 18:43:00, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.865, 	60.122, 	5.8088, 	0.771982, 	0.967498%, 	0.460000%, 	0.507498%
2020-04-08 18:43:15, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.865, 	60.122, 	5.8088, 	0.771982, 	0.967498%, 	0.460000%, 	0.507498%
2020-04-08 18:43:30, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.866, 	451.978, 	5.8069, 	102.1, 	1.017755%, 	0.460000%, 	0.557755%
2020-04-08 18:43:45, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.844, 	60.338, 	5.8071, 	66.85319892, 	0.635429%, 	0.460000%, 	0.175429%
2020-04-08 18:44:00, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.857, 	451.978, 	5.8044, 	151.15199892, 	0.906209%, 	0.460000%, 	0.446209%
2020-04-08 18:44:15, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.857, 	451.978, 	5.804, 	64.34189359, 	0.913163%, 	0.460000%, 	0.453163%
2020-04-08 18:44:30, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.864, 	10.231, 	5.804, 	64.33237182, 	1.033770%, 	0.460000%, 	0.573770%
2020-04-08 18:44:45, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.864, 	10.231, 	5.8041, 	14.985869, 	1.032029%, 	0.460000%, 	0.572029%
2020-04-08 18:45:00, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.864, 	10.231, 	5.8037, 	80.0, 	1.038992%, 	0.460000%, 	0.578992%
2020-04-08 18:45:15, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.864, 	10.231, 	5.7919, 	14.985869, 	1.244842%, 	0.460000%, 	0.784842%
2020-04-08 18:45:30, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.864, 	10.231, 	5.8067, 	80.0, 	0.986791%, 	0.460000%, 	0.526791%
2020-04-08 18:45:45, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.864, 	10.231, 	5.8065, 	80.0, 	0.990270%, 	0.460000%, 	0.530270%
2020-04-08 18:46:00, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.864, 	10.231, 	5.8067, 	300.0, 	0.986791%, 	0.460000%, 	0.526791%
2020-04-08 18:46:15, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.864, 	10.231, 	5.808, 	319.80969119, 	0.964187%, 	0.460000%, 	0.504187%
2020-04-08 18:46:30, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.864, 	10.231, 	5.8057, 	618.70600913, 	1.004186%, 	0.460000%, 	0.544186%
2020-04-08 18:46:45, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.864, 	10.231, 	5.8061, 	300.0, 	0.997227%, 	0.460000%, 	0.537227%
2020-04-08 18:47:00, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.864, 	10.231, 	5.8069, 	776.08717344, 	0.983313%, 	0.460000%, 	0.523313%
2020-04-08 18:47:15, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.864, 	10.231, 	5.8051, 	80.0, 	1.014625%, 	0.460000%, 	0.554625%
2020-04-08 18:47:30, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.864, 	10.231, 	5.805, 	80.0, 	1.016365%, 	0.460000%, 	0.556365%
2020-04-08 18:47:45, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.864, 	10.231, 	5.8054, 	300.0, 	1.009405%, 	0.460000%, 	0.549405%
2020-04-08 18:48:00, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.864, 	10.231, 	5.8045, 	169.1, 	1.025067%, 	0.460000%, 	0.565067%
2020-04-08 18:48:15, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.864, 	10.231, 	5.7989, 	80.0, 	1.122627%, 	0.460000%, 	0.662627%
2020-04-08 18:48:30, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.865, 	60.122, 	5.7912, 	80.0, 	1.274347%, 	0.460000%, 	0.814347%
2020-04-08 18:48:45, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.865, 	10.231, 	5.7895, 	70.71026726, 	1.304085%, 	0.460000%, 	0.844085%
2020-04-08 18:49:00, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.865, 	10.231, 	5.7794, 	102.13702253, 	1.481123%, 	0.460000%, 	1.021123%
2020-04-08 18:49:15, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.865, 	10.231, 	5.7812, 	57.89242032, 	1.449526%, 	0.460000%, 	0.989526%
2020-04-08 18:49:30, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.822, 	60.566, 	5.7731, 	100.0, 	0.847032%, 	0.460000%, 	0.387032%
2020-04-08 18:49:45, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.832, 	20.4, 	5.7794, 	800.0, 	0.910129%, 	0.460000%, 	0.450129%
2020-04-08 18:50:00, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.835, 	60.431, 	5.7794, 	800.0, 	0.962038%, 	0.460000%, 	0.502038%
2020-04-08 18:50:15, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.835, 	60.431, 	5.7863, 	16.8, 	0.841643%, 	0.460000%, 	0.381643%
2020-04-08 18:50:30, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.839, 	60.39, 	5.7868, 	80.0, 	0.902053%, 	0.460000%, 	0.442053%
2020-04-08 18:50:45, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.839, 	60.39, 	5.7913, 	41.6, 	0.823649%, 	0.460000%, 	0.363649%
2020-04-08 18:51:00, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.839, 	90.361, 	5.7886, 	159.4723605, 	0.870677%, 	0.460000%, 	0.410677%
2020-04-08 18:51:15, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.839, 	29.971, 	5.7912, 	80.0, 	0.825390%, 	0.460000%, 	0.365390%
2020-04-08 18:51:30, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.838, 	111.776, 	5.7885, 	125.6, 	0.855144%, 	0.460000%, 	0.395144%
2020-04-08 18:51:45, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.838, 	111.776, 	5.786, 	80.0, 	0.898721%, 	0.460000%, 	0.438721%
2020-04-08 18:52:00, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.835, 	29.992, 	5.7862, 	381.1, 	0.843386%, 	0.460000%, 	0.383386%
2020-04-08 18:52:15, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.825, 	60.535, 	5.7823, 	72.60744465, 	0.738460%, 	0.460000%, 	0.278460%
